JSE_STOCK,TARGET_STOCK,TARGET_MARKET,PERCENT_CHANGE_CORR,DAILY_SIMILARITY_10
AGL.JO_2021-09-15_2023-09-15,BHP.AX_2021-09-15_2023-09-15,asx,0.34579038793296657,0.6109979633401222
AGL.JO_2021-09-15_2023-09-15,000001.SZ_2021-09-15_2023-09-15,ssx,0.33775582721083275,0.5901287553648069
AGL.JO_2021-09-15_2023-09-15,600031.SS_2021-09-15_2023-09-15,ssx,0.3050779338154713,0.5836909871244635
AGL.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.30066381089986455,0.5665236051502146
AGL.JO_2021-09-15_2023-09-15,601166.SS_2021-09-15_2023-09-15,ssx,0.2934964374924303,0.5793991416309013
AGL.JO_2021-09-15_2023-09-15,601318.SS_2021-09-15_2023-09-15,ssx,0.29298219976377204,0.5815450643776824
AGL.JO_2021-09-15_2023-09-15,600000.SS_2021-09-15_2023-09-15,ssx,0.2900763618450097,0.5600858369098712
AMS.JO_2021-09-15_2023-09-15,601211.SS_2021-09-15_2023-09-15,ssx,0.21744876054905019,0.5300429184549357
AMS.JO_2021-09-15_2023-09-15,601318.SS_2021-09-15_2023-09-15,ssx,0.2150590888529155,0.5622317596566524
AMS.JO_2021-09-15_2023-09-15,601628.SS_2021-09-15_2023-09-15,ssx,0.21103642035656733,0.592274678111588
AMS.JO_2021-09-15_2023-09-15,600000.SS_2021-09-15_2023-09-15,ssx,0.21006063099784844,0.5343347639484979
AMS.JO_2021-09-15_2023-09-15,002352.SZ_2021-09-15_2023-09-15,ssx,0.20818942453868575,0.5386266094420601
AMS.JO_2021-09-15_2023-09-15,601601.SS_2021-09-15_2023-09-15,ssx,0.2026843796897009,0.555793991416309
AMS.JO_2021-09-15_2023-09-15,601319.SS_2021-09-15_2023-09-15,ssx,0.19634025475313102,0.5171673819742489
AMS.JO_2021-09-15_2023-09-15,601919.SS_2021-09-15_2023-09-15,ssx,0.1955461673431567,0.5300429184549357
AMS.JO_2021-09-15_2023-09-15,600030.SS_2021-09-15_2023-09-15,ssx,0.19478917333446638,0.5429184549356223
AMS.JO_2021-09-15_2023-09-15,000001.SZ_2021-09-15_2023-09-15,ssx,0.19083019219914424,0.5836909871244635
ANG.JO_2021-09-15_2023-09-15,NST.AX_2021-09-15_2023-09-15,asx,0.2994273483492333,0.5926680244399185
ANG.JO_2021-09-15_2023-09-15,EVN.AX_2021-09-15_2023-09-15,asx,0.27235347325805254,0.5539714867617108
ANG.JO_2021-09-15_2023-09-15,NCM.AX_2021-09-15_2023-09-15,asx,0.25555033482755485,0.5906313645621182
ANG.JO_2021-09-15_2023-09-15,601899.SS_2021-09-15_2023-09-15,ssx,0.19468872330559733,0.5321888412017167
ANG.JO_2021-09-15_2023-09-15,601601.SS_2021-09-15_2023-09-15,ssx,0.15096030704613672,0.5450643776824035
ANG.JO_2021-09-15_2023-09-15,000001.SZ_2021-09-15_2023-09-15,ssx,0.14884710335052104,0.5257510729613734
ANG.JO_2021-09-15_2023-09-15,6098.T_2021-09-15_2023-09-15,jpx,0.14830244611690693,0.5063559322033898
ANG.JO_2021-09-15_2023-09-15,601328.SS_2021-09-15_2023-09-15,ssx,0.1421932403672308,0.48283261802575106
ANG.JO_2021-09-15_2023-09-15,TCL.AX_2021-09-15_2023-09-15,asx,0.13786846337544165,0.5254582484725051
