Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_FMG.AX_2021-09-15_2023-09-15_Close_percent,asx_RIO.AX_2021-09-15_2023-09-15_Close_percent,ssx_601899.SS_2021-09-15_2023-09-15_Close_percent,asx_BHP.AX_2021-09-15_2023-09-15_Close_percent,ssx_000001.SZ_2021-09-15_2023-09-15_Close_percent,ssx_600031.SS_2021-09-15_2023-09-15_Close_percent,ssx_000725.SZ_2021-09-15_2023-09-15_Close_percent,ssx_601166.SS_2021-09-15_2023-09-15_Close_percent,ssx_601318.SS_2021-09-15_2023-09-15_Close_percent,ssx_600000.SS_2021-09-15_2023-09-15_Close_percent
2021-09-15,59648.0,59289.0,58427.0,59144.0,55691.84765625,2255139,1496449.5452436197,2255139,0.6635730858468677,0.0,0.0,0.0,-109621.04631276104,58953.333333333336,50.0,1000.0,59144.0,59144.0,59144.0,0.0,0.0,0.0,0.0,58953.333333333336,59815.333333333336,58091.333333333336,2.9243469410833427,0.6105955143078099,0.0,0.0,58427.0,59289.0,58858.0,1.4574597592317056,0.8317865429234339,0.0,0.0,0.0,0.0,0.0,59144.0,59144.0,59144.0,59144.0,0.0,0.0,0.0,-5.379320996798356,1.0,2989.016000000004,-48.10672638199316,-48.10672638199316,0.0,58858.0,58858.0,58858.0,58858.0,0.0,0.0,0.0,0.0,0.0,62385.83849609375,63475.047,4.0,4.0,0.0,47505.0,59289.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,83.17865429234338,83.17865429234338,-16.82134570765661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59144.0,-4.81067263819932,0.0,0.0,-0.0,53231.36328125,2,0.0892225212375112,0.0464484249759635,0.0417682097655498,0.0737037661506141,-0.1096989980035375,-0.0592012109289726,-0.0421498828724721,0.0052961506895201,0.0161125780693454,-0.0232737694680932
2021-09-16,59000.0,59140.0,56218.0,56531.0,53231.36328125,7738454,-4584142.646405935,-5483315,-0.4587081589580379,-20220580302.0,-44518427.06566454,-44518427.06566454,-450374.6181497757,57670.24943367883,0.0,1000.0,57837.5,60450.5,55224.5,9.035660255024853,0.25,0.0,0.0,58124.833333333336,60016.833333333336,56232.833333333336,6.510126193910233,0.078796687808315,0.0,0.0,56218.0,59289.0,57753.5,5.309703911821915,0.1019211983067404,0.0,0.0,-208.44444444444525,-41.68888888888905,-166.7555555555562,57837.5,57837.5,58742.0,58950.444444444445,0.1075087876748185,0.4630567839402074,-0.3555479962653888,-0.0086289659559718,2.3490046590427784,4295.516000000003,-69.13419429052024,-58.6204603362567,-10.513733954263545,57753.5,57753.5,57753.5,57753.5,0.0,0.0,0.0,0.0,-66.66666666666667,62385.83849609375,63475.047,4.0,8.0,-4.0,47505.0,59289.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,8.262935586061245,10.192119830674049,46.68538706150871,-89.80788016932595,0.0,0.0,-0.3535926597481137,-0.0707185319496227,-0.2828741277984909,16.436092092191515,3.287218418438304,13.148873673753211,58650.25411898291,-4.418030569457598,-4.518598800179063,-4.418030569457598,-4.418033300290176,49505.328125,3,-3.1986534529700634,-0.9175127519102376,-3.559043006716678,0.9687029527514426,-2.2541086365454674,0.7524501424162224,0.7067034305538016,-1.3262539934940634,0.0808567381525904,-0.761694781764561
2021-09-17,56000.0,56253.0,52574.0,52574.0,49505.328125,4314343,-8898485.646405935,-9797658,-0.6219265760208834,-19770762437.571423,-278461274.40493256,-161489850.73529854,-643878.299232915,56503.334412664415,0.0,930.0030071995895,56083.0,61484.66715005654,50681.33284994346,19.26311770075261,0.1751928707821927,0.0,0.0,56683.333333333336,59171.0,54195.66666666666,8.777418406351076,-0.3259413104649598,0.0,1.0,52574.0,59289.0,55931.5,11.97332525007578,0.0,0.0,0.0,-685.0383032605314,-170.35877176321753,-514.6795314973139,56083.0,56083.0,57793.07692307692,58478.11522633745,0.0706392359781116,0.9100940068463392,-0.8394547708682277,-0.0357214040106522,3.9350582324079233,6050.016000000003,-97.3719994535595,-71.5376400420243,-25.834359411535203,55931.5,55931.5,55931.5,55931.5,0.0,0.0,0.0,0.0,-100.0,62385.83849609375,63475.047,4.0,12.0,-8.0,47505.0,59289.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,4.041316978695933,0.0,31.123591374339146,-100.0,0.0,0.0,-1.1714438822269069,-0.2908636020050795,-0.8805802802218273,18.03269968786092,6.236314672322826,11.796385015538087,58502.84561592291,-6.999699280041039,-7.256745929211661,-11.108480995536318,-6.99969891164227,46752.0,4,-11.478257884147894,-4.697592421981497,-2.7002622448917606,-3.665448789519303,-2.8825895632038936,-1.3069424904512488,-1.578937871536354,0.4301120691335995,-1.6764324819191927,-0.1096437851641667
2021-09-20,50101.0,51269.0,47505.0,49650.0,46752.0,3911489,-8351874.8031540755,-13709147,-0.4584049608126533,-18580252637.34694,-483696771.2295753,-268892157.5667241,-519535.71266987687,54994.36491592536,0.0,878.2791742583715,54474.75,61749.44056042936,47200.05943957064,26.708486263560115,0.1683879568538486,0.0,0.0,54881.16666666667,57687.91666666667,52074.41666666667,10.228463316195294,-0.4318903833021593,0.0,1.0,47505.0,59289.0,53397.0,21.632040532540305,0.1820264765784114,0.0,0.0,-1283.8849071391014,-393.0639988383944,-890.8209083007071,54474.75,54474.75,56540.29585798817,57824.18076512727,0.1311149509618587,1.174158973908316,-1.0430440229464573,-0.0836340154249914,5.573246988696964,7658.266000000003,-123.25598358206209,-84.46722592703375,-38.788757655028334,53397.0,53397.0,53397.0,53397.0,0.0,0.0,0.0,0.0,-111.1191038947694,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,59154.7,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,19.182144529420945,18.20264765784114,9.464922496171727,-81.79735234215886,0.0,0.0,-2.2203252863262173,-0.6767559388693072,-1.54356934745691,17.951405398866434,8.579332817631549,9.372072581234884,58451.89723650622,-5.561684482824214,-5.722331046971085,-16.05234681455431,-5.561680387306794,47273.66015625,0,-3.7328096109586255,-3.6032501667742167,-2.7002622448917606,-4.162406178238996,-2.8825895632038936,-1.3069424904512488,-1.578937871536354,0.4301120691335995,-1.6764324819191927,-0.1096437851641667
2021-09-21,50600.0,51156.0,50033.0,50204.0,47273.66015625,2354645,-9989432.901996462,-11354502,-0.4855350886818438,-15739577499.15452,57589254.43113505,-187271804.5672593,-191271.296498543,54475.91542023528,12.028788962025205,888.079107038616,53620.6,60969.75326823437,46271.44673176562,27.41167860200884,0.2675514528477896,0.0,0.0,53997.8,56467.8,51527.8,9.148520865664898,-0.2679757085020249,0.0,1.0,47505.0,59289.0,53397.0,21.97662838535936,0.2290393754243041,0.0,0.0,-1694.2418200680331,-653.2995630843222,-1040.9422569837109,53620.6,53620.6,55565.48111060537,57259.7229306734,0.3323231579369303,1.1431473846214075,-0.8108242266844774,-0.1415337419934698,6.924374373976823,8512.416000000005,-137.00310314889597,-94.97440137140616,-42.02870177748977,53397.0,53397.0,53397.0,53397.0,0.0,0.0,0.0,0.0,-71.34799546620789,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,58688.712,0.0,0.0,6.314714434941493,0.0,0.0,0.0,-99.53731860550378,21.033519553072622,22.903937542430413,13.702195066757184,-77.09606245756959,0.0,0.0,-2.958871844558728,-1.1331791200071917,-1.8256927245515369,13.948119092274691,9.65309007256018,4.295029019714512,58306.700217098856,1.1158106747230612,1.1096314307017965,-15.115649939131616,1.1158028667222766,48413.0390625,1,0.3401381667985816,0.4934922561434405,-2.7002622448917606,0.5862040836891254,-2.8825895632038936,-1.3069424904512488,-1.578937871536354,0.4301120691335995,-1.6764324819191927,-0.1096437851641667
2021-09-22,51164.0,52538.0,51113.0,51414.0,48413.0390625,1849014,-11057319.584101724,-9505488,-0.4931221585800475,-13171451150.703876,94870833.8606414,-130843276.88167918,70837.69665096517,54246.05059411096,19.789082318558783,909.4832923528684,53252.833333333336,60160.32380061272,46345.34286605395,25.942245829596743,0.3668957024230547,0.0,0.0,53612.8888888889,55908.72222222223,51317.05555555556,8.56448283580233,0.0211131276467015,0.0,0.0,47505.0,59289.0,53397.0,22.12840005383125,0.3317209775967413,0.0,0.0,-1899.9147083164128,-902.6225921307404,-997.292116185673,53252.833333333336,53252.833333333336,54926.791708973775,56826.70641729019,0.4210171947750991,1.0085128661295588,-0.5874956713544597,-0.1995089846864525,8.135326091747348,8880.182666666668,-142.92212479540137,-102.96568860873872,-39.95643618666266,53397.0,53397.0,53397.0,53397.0,0.0,0.0,0.0,0.0,-41.786687896552685,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,58241.36352,0.0,0.0,18.43026260637454,0.0,0.0,0.0,-98.1485890436362,25.3512669628918,33.17209775967414,24.75956098664856,-66.82790224032587,-1013.0166666666628,0.0,-3.3433482742514573,-1.5752129508560446,-1.768135323395413,9.276385012028824,9.57774906045391,-0.3013640484250857,58100.92120662381,2.4101665205959577,2.3815804116837924,-13.069795752739076,2.410177046761561,48932.81640625,2,4.203384106516253,2.67475211934547,-0.9250727410245788,2.4105968826433326,-2.9681705937382645,-2.19447601960006,-3.030308834685428,-2.997855529874087,-1.8488137008711192,-0.8781592698958605
2021-09-23,52289.0,52363.0,50749.0,51966.0,48932.81640625,2444036,-9815616.04011164,-7061452,-0.3947226715482789,-11097085576.031897,-17797323.771008283,-112002284.69656736,70804.4041473305,53995.09422117774,28.165778512359665,909.4832923528684,53069.0,59527.19585598685,46610.80414401315,24.33886395442481,0.4146046338175466,0.0,0.0,53338.57142857143,55537.0,51140.142857142855,8.243297533277985,0.1878289687439083,0.0,0.0,47505.0,59289.0,53397.0,22.20505379788577,0.3785641547861507,0.0,0.0,-1995.3687978749288,-1121.1718332795783,-874.1969645953511,53069.0,53069.0,54471.28529220858,56466.65409008351,0.4480386903837132,1.0161511813935722,-0.5681124910098589,-0.2529965929808092,9.274788047546846,9064.016000000003,-145.88083089351406,-109.09642322084947,-36.784407672664585,53397.0,53397.0,53397.0,53397.0,0.0,0.0,0.0,0.0,-38.27322196912176,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,57811.9089792,0.0,0.0,23.303162940308496,0.0,0.0,0.0,-96.55284199718464,29.77337420626232,37.85641547861507,31.31081692690654,-62.14358452138493,-1918.057142857142,0.0,-3.5337117632145123,-1.9669127133277384,-1.566799049886774,7.0033051962397455,9.062860287611077,-2.0595550913713314,57955.909063011415,1.0736375306336754,1.067914966192518,-12.136480454483966,1.0736308932785192,49860.328125,3,1.040987824745642,0.6003846832946635,-1.213822388244708,-0.7242738047048363,-1.668518818306964,1.8955560490922487,-0.5514672511058194,0.5518642961335729,0.9209012155496624,-0.0
2021-09-27,53222.0,53949.0,52251.0,52951.0,49860.328125,2304719,-10220095.581925536,-4756733,-0.3761282253264322,-9187480748.741625,113754084.55434264,-79751374.80358021,69925.3476396591,53914.95947694229,34.7594382987795,926.7222763610192,53054.25,59095.84322943874,47012.65677056126,22.775152714207582,0.4914550685490628,0.0,0.0,53302.54166666667,55438.41666666667,51166.66666666667,8.014158174133348,0.4177054680946517,0.0,0.0,47505.0,59289.0,53397.0,22.211227187265862,0.4621520706042091,0.0,0.0,-1968.840021342432,-1290.7054708921492,-678.1345504502829,53054.25,53054.25,54237.395247253415,56206.23526859585,0.5481269205442421,0.933751247455295,-0.385624326911053,-0.2975783100831703,10.373634239611842,9078.766000000003,-146.11822480981772,-113.72414841947052,-32.39407639034721,53397.0,53397.0,53397.0,53397.0,0.0,0.0,0.0,0.0,-6.6311446338314415,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,57399.632620032,0.0,0.0,31.201232574641665,0.0,0.0,0.0,-94.39783054056184,32.527774892565134,46.21520706042091,39.08124009957004,-53.78479293957909,-2134.087500000001,0.0,-3.502885421757617,-2.2741072550137145,-1.2287781667439024,4.729407419391112,8.196169713967084,-3.466762294575972,57797.43630134548,1.8954701150752484,1.8777299033384764,-10.47105369944542,1.895479939371597,48682.34375,0,2.6727522362141087,1.1476981577953609,-2.0309484233126938,-0.0,1.2680116992191586,-2.704785322949064,1.149428104206763,1.004462887566547,1.9134603455977413,-0.0
2021-09-28,52950.0,52950.0,50979.0,51700.0,48682.34375,1670102,-10668337.062392306,-6426835,-0.3698897054949355,-8173454584.921393,-134008012.6842552,-86533454.5386646,4228.071122041867,53796.91216522726,32.63664906494809,904.8278915953372,52903.77777777778,58663.09538996281,47144.460165592754,21.77280282847485,0.3954930202815225,0.0,0.0,53144.07407407407,55261.62962962964,51026.51851851852,7.969112614904289,0.1590233322839051,0.0,0.0,47505.0,59289.0,53397.0,22.27440174404684,0.3559911744738628,0.0,0.0,-2025.4133158387049,-1437.6470398814604,-587.7662759572445,52903.77777777778,52903.77777777778,53847.02674767597,55872.440063514674,0.5328915097034286,0.978776253224556,-0.4458847435211274,-0.3379968915753398,11.469375595616096,9229.238222222222,-148.54000041173316,-117.5925764186108,-30.94742399312236,53397.0,53397.0,53397.0,53397.0,0.0,0.0,0.0,0.0,-35.81938049393042,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,57003.84731523073,0.0,0.0,27.34916934560524,0.0,0.0,0.0,-92.65173226390004,34.956269347032226,35.599117447386284,39.890246662140754,-64.40088255261371,-1456.1222222222204,0.0,-3.625066872927432,-2.544299178596458,-1.0807676943309734,0.983521451797806,6.753640061533228,-5.770118609735422,57694.00711782327,-2.36256161356726,-2.3909176095964213,-12.586230217773563,-2.3625684372689904,49435.6484375,1,-5.587298893184737,-2.9859758539713823,0.888450437281918,-2.253472022673833,2.276597864833164,0.7148590570911892,-1.515158416493108,1.988953498183136,0.5306143139394379,0.1108593400830955
2021-09-29,51725.0,52765.0,51537.0,52500.0,49435.6484375,3368482,-8753678.72688742,-3058353,-0.2717654073306463,-6620848844.218337,6798967.606179876,-76163185.41145965,12666.323813114766,53636.952801675405,40.073747842523375,904.8278915953372,52863.4,58332.53691179879,47394.263088201216,20.69158212221985,0.4667772076416642,0.0,0.0,53056.4,55085.0,51027.8,7.646956823305005,0.3628610864635704,0.0,0.0,47505.0,59289.0,53397.0,22.29141523246708,0.4238798370672098,2345.1,0.0,-1982.8378250213864,-1546.6851969094455,-436.1526281119409,52863.4,52863.4,53639.791863418126,55622.62968843951,0.5759266318757896,0.9868029743735466,-0.4108763424977569,-0.3707106561527188,12.48903183373976,9269.616000000002,-149.18986066924555,-128.82403578386106,-20.365824885384484,53322.5,53397.0,53359.75,53397.0,0.0,0.0,0.0,0.0,-24.1730591704858,62385.83849609375,63475.047,4.0,16.0,-12.0,47505.0,56623.8934226215,0.0,0.0,33.04215977620602,0.0,0.0,0.0,-90.49846792082732,43.17793046528188,42.38798370672098,41.40076940484273,-57.61201629327902,-1033.5,0.0,-3.564804174358364,-2.7484001777488394,-0.8164039966095245,3.026746640512408,6.008261377329064,-2.981514736816656,57653.968355723,1.5473887814313247,1.5355388083195365,-11.233599350737189,1.5473878812582882,50178.59375,2,-0.4707493594965513,-0.5950539326084794,-1.956944567321031,-1.3018574658669309,1.0016817589493598,-0.7097850940604218,-3.269217598310931,0.2708616942583717,-0.1421132424381426,-0.1107365782432339
