Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_LYC.AX_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,asx_PLS.AX_2021-09-15_2023-09-15_Close_percent,asx_MIN.AX_2021-09-15_2023-09-15_Close_percent,jpx_8015.T_2021-09-15_2023-09-15_Close_percent,asx_NAB.AX_2021-09-15_2023-09-15_Close_percent,asx_ANZ.AX_2021-09-15_2023-09-15_Close_percent,jpx_4689.T_2021-09-15_2023-09-15_Close_percent,asx_AKE.AX_2021-09-15_2023-09-15_Close_percent,jpx_6902.T_2021-09-15_2023-09-15_Close_percent
2021-09-15,14450.0,14647.0,14349.0,14529.0,12632.28125,3310205,688700.3691275168,3310205,0.2080536912751678,0.0,0.0,0.0,-356336.33325570205,14508.333333333336,50.0,1000.0,14529.0,14529.0,14529.0,0.0,0.0,0.0,0.0,14508.333333333334,14806.333333333334,14210.333333333334,4.107983917288914,0.5346756152125269,0.0,0.0,14349.0,14647.0,14498.0,2.0510702732466104,0.6040268456375839,0.0,0.0,0.0,0.0,0.0,14529.0,14529.0,14529.0,14529.0,0.0,0.0,0.0,-9.734546669265294,1.0,1761.3700000000008,-108.12338823488972,-108.12338823488972,0.0,14498.0,14498.0,14498.0,14498.0,0.0,0.0,0.0,0.0,0.0,16182.05275,16042.054,4.0,4.0,0.0,13484.0,14647.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.40268456375839,60.40268456375839,-39.59731543624161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14529.0,-10.812338823488975,0.0,0.0,-0.0,12143.6474609375,2,0.0127161825256247,0.0144934285836706,0.1771564586608763,0.1041252929628131,0.1452433221557323,0.0428382926657673,0.0228364508472385,-0.0342323973043468,0.0759763886481088,0.0650963858219417
2021-09-16,14500.0,14532.0,13848.0,13967.0,12143.6474609375,13869901,-8355123.967129794,-10559696,-0.4863255190119196,-7794884362.0,-1518914.9511593485,-1518914.9511593485,-894415.8017713038,14191.324358379006,0.0,1000.0,14248.0,14810.0,13686.0,7.8888265019651875,0.25,0.0,0.0,14312.0,14803.0,13821.0,6.861375069871436,0.1486761710794297,0.0,0.0,13848.0,14647.0,14247.5,5.607804604154969,0.1489361702127659,0.0,0.0,-44.83190883190946,-8.966381766381891,-35.865527065527566,14248.0,14248.0,14442.53846153846,14487.37037037037,0.0697044607045863,0.3043380552074564,-0.23463359450287,-0.0075549332369743,2.197039305768249,2042.3700000000008,-125.37284297410068,-116.7481156044952,-8.62472736960548,14247.5,14247.5,14247.5,14247.5,0.0,0.0,0.0,0.0,-66.66666666666667,16182.05275,16042.054,4.0,8.0,-4.0,13484.0,14647.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,12.118126272912424,14.893617021276595,37.64815079251749,-85.1063829787234,0.0,0.0,-0.3094551163239387,-0.0618910232647877,-0.2475640930591509,20.583714775778464,4.116742955155693,16.46697182062277,14106.03555935616,-3.8681258173308586,-3.9449247765567454,-3.8681258173308586,-3.86813576575885,12039.3134765625,3,-0.3851056882939332,1.039268734542972,-4.8979665789806575,0.6486087595384902,0.408160558980839,0.2132204644208428,0.9416850174973206,-0.5138591435211595,-4.0899757612646965,-0.266871144927606
2021-09-17,13954.0,14094.0,13842.0,13847.0,12039.3134765625,10084157,-18039116.00681233,-20643853,-0.6616395978432402,-6854200716.0,-554771.2119119129,-1036843.0815356306,-623145.0753606639,14093.806022472225,0.0,991.4083196105104,14114.333333333334,14708.889376855632,13519.777289811036,8.424854783869321,0.27518239344639,0.0,0.0,14183.888888888889,14595.22222222222,13772.555555555557,5.800007833614034,0.0904916261480291,0.0,0.0,13842.0,14647.0,14244.5,5.703422053231939,0.0062111801242236,0.0,0.0,-89.0183683573996,-24.976779084585434,-64.04158927281416,14114.333333333334,14114.333333333334,14350.917159763314,14439.935528120714,0.1490944855892707,0.5174864546443452,-0.3683919690550744,-0.0214464730181119,3.2895894204585856,2176.036666666667,-133.57809961754504,-122.3581102755118,-11.21998934203323,14244.5,14244.5,14244.5,14244.5,0.0,0.0,0.0,0.0,-78.97260273972596,16182.05275,16042.054,4.0,12.0,-8.0,13484.0,14647.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,10.048622366288493,0.6211180124223602,25.305806532485786,-99.37888198757764,0.0,0.0,-0.616473447433632,-0.1728075080985565,-0.4436659393350753,26.24968492134116,8.543331348392785,17.706353572948366,13921.64485591372,-0.8591680389489542,-0.8628801651056506,-4.694060155550972,-0.8591651290159064,11932.37109375,4,-2.8350549038644743,0.172351340789632,-1.7167264899171926,-8.529187490370546,-0.4065013806732196,-1.099291398991724,-0.6099710339211271,0.3262202529691791,-0.3198265736159555,-0.0637188359807083
2021-09-20,13800.0,13823.0,13484.0,13724.0,11932.37109375,4106109,-16331265.360794635,-24749962,-0.5205952087783541,-5947179386.142858,-2596509.2499979907,-1556731.8043564174,-123113.55994273328,14039.249737321146,0.0,982.6018472112836,14016.75,14632.698658574724,13400.801341425276,8.788751437740183,0.2623584401682035,0.0,0.0,14057.166666666666,14450.416666666666,13663.916666666666,5.595010848558861,0.0763933036660317,0.0,0.0,13484.0,14647.0,14065.5,8.297215831059269,0.2063628546861565,0.0,0.0,-132.43490082486642,-46.46840343264164,-85.96649739222478,14016.75,14016.75,14254.468365953571,14386.90326677844,0.1382558164654036,0.6477655329483977,-0.509509716482994,-0.0406052584612315,4.356719243024443,2273.620000000001,-139.5683462069923,-126.66066925838192,-12.90767694861036,14065.5,14065.5,14065.5,14065.5,0.0,0.0,0.0,0.0,-99.45498146936974,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14630.9,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,22.79273638071384,20.63628546861565,12.050340167438202,-79.36371453138435,0.0,0.0,-0.9205240236144416,-0.3223508112017336,-0.5981732124127079,21.606627185281884,11.155990515770604,10.45063666951128,13788.577661417508,-0.8882790496136383,-0.8922477676373219,-5.5406428522265845,-0.8882764205840346,11941.0654296875,0,-11.803711816821677,-3.5966014881625483,-9.606997336293858,-5.30460330042493,-0.4065013806732196,-1.9720294676014447,-2.021664175683341,0.3262202529691791,-8.663105738712034,-0.0637188359807083
2021-09-21,13650.0,13931.0,13657.0,13734.0,11941.0654296875,3114931,-17695468.71845887,-21635031,-0.5131307304580989,-5093132429.551021,1235886.1239622964,-858577.3222767389,-34204.009848574766,14015.290700930382,9.856525372802182,983.3178205770746,13960.2,14555.750703131143,13364.649296868856,8.532122793815912,0.3100917362612954,0.0,0.0,14000.533333333336,14369.933333333334,13631.133333333337,5.2769418307873925,0.1392347951633257,0.0,0.0,13484.0,14647.0,14065.5,8.33082620592828,0.2149613069647463,0.0,0.0,-164.14375217886482,-70.00347318188628,-94.14027899697854,13960.2,13960.2,14174.396309653024,14338.540061831887,0.2546686888403895,0.6444967376798685,-0.3898280488394789,-0.062271869424677,5.373945909795253,2330.17,-143.0397222408086,-129.9364798548673,-13.103242385941314,14065.5,14065.5,14065.5,14065.5,0.0,0.0,0.0,0.0,-60.60930365296847,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14585.024,0.0,0.0,1.4756829604867503,0.0,0.0,0.0,-99.95898060162386,23.570283270978084,21.49613069647464,14.25117805917088,-78.50386930352536,0.0,0.0,-1.144773118260506,-0.4868352726134881,-0.657937845647018,16.191807223191574,12.163153857254798,4.028653365936776,13754.270570548886,0.0728650539201458,0.0728385202281245,-5.471814990708235,0.0728634390364675,12201.0322265625,1,1.5037579428341843,-1.013294724046219,0.9661830745521768,-0.1750504741171141,-2.551019535155106,-0.8778381331624132,0.0368443594731644,-0.4877350764075743,1.4051508910433768,-1.3132716240420024
2021-09-22,13780.0,14193.0,13792.0,14033.0,12201.0322265625,3268339,-17035280.541401513,-18366692,-0.4512221772246902,-4225937316.615161,2435441.9783259938,-199773.4621561924,73424.01106462264,14014.486403422128,18.43411215786476,983.3178205770746,13972.333333333334,14518.695443618772,13425.971223047896,7.82062805475732,0.5555187352166238,0.0,0.0,14001.444444444443,14376.111111111111,13626.77777777778,5.3518287795703525,0.5421115065243169,0.0,0.0,13484.0,14647.0,14065.5,8.323591860104491,0.472055030094583,0.0,0.0,-163.26443341428785,-88.65566522836659,-74.60876818592126,13972.333333333334,13972.333333333334,14152.643031244868,14315.907464659156,0.36014768320091,0.6050279737351416,-0.2448802905342316,-0.0805648796890789,6.420187724880106,2318.036666666667,-142.29490592703957,-131.99621753356266,-10.298688393476908,14065.5,14065.5,14065.5,14065.5,0.0,0.0,0.0,0.0,1.456224471674399,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14540.98304,0.0,0.0,33.21154657996985,0.0,0.0,0.0,-98.6690054500107,31.759656652360515,47.2055030094583,29.77930639151619,-52.7944969905417,-96.39999999999964,0.0,-1.140440686818696,-0.6175563554545298,-0.5228843313641662,11.873522617602344,12.105227609324308,-0.2317049917219638,13902.713815221174,2.177078782583375,2.153718857051423,-3.413861931309792,2.177082090419489,12187.1201171875,2,2.074072096082901,0.3780493865914565,2.8708239925753816,2.2358660643291586,-1.5706756869614082,-0.7010981069712017,-0.2210005030335224,-0.3403731978827693,2.540418832623331,-1.7183493879378062
2021-09-23,14170.0,14164.0,13874.0,14017.0,12187.1201171875,4137262,-17092346.224160135,-22503954,-0.4080204672632543,-3631688584.527281,185750.86615254244,-135519.40743806993,66437.13455131884,14014.86633690216,27.209633401314207,983.3178205770746,13978.714285714286,14485.512317377748,13471.916254050824,7.2509963549564835,0.5377721615848119,0.0,0.0,14003.857142857143,14366.42857142857,13641.285714285714,5.178165199383841,0.5181245074862105,0.0,0.0,13484.0,14647.0,14065.5,8.319792337329204,0.4582975064488392,0.0,0.0,-161.99129838888803,-103.32279186047089,-58.66850652841714,13978.714285714286,13978.714285714286,14131.774872591812,14293.7661709807,0.42290488510263,0.6386966179337003,-0.2157917328310702,-0.095885964902696,7.429693542955578,2311.6557142857146,-141.9032050398926,-133.41150146303835,-8.491703576854263,14065.5,14065.5,14065.5,14065.5,0.0,0.0,0.0,0.0,5.336944799739287,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14498.7037184,0.0,0.0,32.60628694452126,0.0,0.0,0.0,-97.59195540452326,33.70229007633588,45.82975064488392,38.17712811693895,-54.17024935511608,-131.028571428571,0.0,-1.1333003244292876,-0.7207051492494814,-0.4125951751798062,9.743909162513615,11.63296391996217,-1.8890547574485552,13964.977362678415,-0.1140169600228002,-0.1140820088078697,-3.523986509739141,-0.1140240359722355,11997.580078125,3,-0.0,2.607500895103413,-0.4651130598487043,2.4657018973418445,-1.5706756869614082,0.5945689686974305,1.07051391699693,-0.3403731978827693,0.225219637743379,-1.7183493879378062
2021-09-27,14067.0,14069.0,13667.0,13799.0,11997.580078125,4098054,-18499140.880876552,-26602008,-0.4022517944606735,-3240501039.8805265,-1481239.6322742454,-327765.1538432379,-68452.3428061804,13999.72962905574,24.618514038932403,968.0247275553294,13956.25,14444.992007607289,13467.507992392711,7.003915917345801,0.3391278040843654,0.0,0.0,13984.0,14351.5,13616.5,5.256006864988558,0.2482993197278911,0.0,0.0,13484.0,14647.0,14065.5,8.333184057321988,0.2708512467755804,0.0,0.0,-176.53808663521158,-117.96585081541905,-58.57223581979255,13956.25,13956.25,14080.578738346918,14257.11682498213,0.428261852757659,0.6901917747145455,-0.2619299219568864,-0.1113244758365194,8.46890515631091,2334.120000000001,-143.28219678251634,-134.6453383779731,-8.636858404543233,14065.5,14065.5,14065.5,14065.5,0.0,0.0,0.0,0.0,-52.0355638745905,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14458.115569664,0.0,0.0,25.72675593449064,0.0,0.0,0.0,-96.6975905287508,35.686658095163125,27.08512467755804,40.04012611063342,-72.91487532244196,-132.47500000000036,0.0,-1.238245353547721,-0.8242131901091293,-0.4140321634385916,7.89083154332458,10.884537444634653,-2.993705901310072,13876.56855756468,-1.5552543340229708,-1.5674752911502663,-5.024433890839008,-1.555248797418443,12281.8896484375,0,2.745665536498308,1.2206033591736087,-2.336461815937355,2.6724044719912,1.5706866612680417,0.8409423354599426,1.313393900417566,-1.742801843352666,-0.1116096968667506,-1.1611658383305894
2021-09-28,13999.0,14239.0,13782.0,14126.0,12281.8896484375,4143006,-16404973.734268237,-22459002,-0.3272358077626529,-2584034753.8975945,1571865.93502399,-90311.26773483436,34443.181057550646,14003.801431278456,31.32723320549495,968.0247275553294,13975.111111111111,14448.09261833189,13502.129603890333,6.768912296442892,0.6595082329703609,0.0,0.0,13991.222222222224,14368.666666666666,13613.777777777776,5.39544635128374,0.6785398881365918,0.0,0.0,13484.0,14647.0,14065.5,8.321937412542933,0.5520206362854686,0.0,0.0,-159.83784282095985,-126.3402492165272,-33.49759360443264,13975.111111111111,13975.111111111111,14087.566624755083,14247.404467576043,0.501720883106843,0.6846440222006609,-0.1829231390938178,-0.121570746141907,9.550151725287735,2315.258888888889,-142.12438937168952,-135.4763440439416,-6.648045327747923,14065.5,14065.5,14065.5,14065.5,0.0,0.0,0.0,0.0,23.38479988007777,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14419.15094687744,0.0,0.0,44.606374618833634,0.0,0.0,0.0,-94.46707012328564,45.11817334416872,55.20206362854686,42.70564631699627,-44.79793637145314,-62.4777777777781,0.0,-1.1218734133976165,-0.8837452347668266,-0.2381281786307896,6.42168029228504,9.99196601416473,-3.570285721879689,13951.773676062066,2.3697369374592325,2.3420945217312195,-2.773762819189207,2.369724298243085,12556.638671875,1,-1.2658249071425018,0.1604178477833642,-1.4354029454092796,-3.652385780305977,0.7216392480127922,-0.3263208931374493,-0.5401428439743938,0.9540402604340272,-2.011165981424128,0.0645578984603076
2021-09-29,14102.0,14492.0,14123.0,14442.0,12556.638671875,2822713,-14347223.606896965,-19636289,-0.2709340216898492,-2087461602.1979384,3882541.3706600703,351116.80319793284,161322.70907019192,14022.37968699787,35.33300200325628,989.6795352792062,14021.8,14550.775462568918,13492.82453743108,7.545043611646414,0.8971828844001004,0.0,0.0,14027.333333333334,14403.933333333334,13650.733333333334,5.3695166579535245,1.0505399185696571,1.0,0.0,13484.0,14647.0,14065.5,8.294227559942376,0.823731728288908,384.8,0.0,-119.72411512807594,-125.01702239883696,5.2929072707610345,14021.8,14021.8,14142.094836331224,14261.8189514593,0.5973008557063173,0.6597625000682888,-0.0624616443619715,-0.1233934170791176,10.613448352124214,2268.570000000001,-139.2583471093659,-138.9357839188834,-0.3225631904824979,14008.0,14065.5,14036.75,14065.5,0.0,0.0,0.0,0.0,118.26783114992708,16182.05275,16042.054,4.0,16.0,-12.0,13484.0,14419.15094687744,1.0,0.0,56.19450622218181,0.0,0.0,0.0,-91.14729239927904,52.6596694729824,82.3731728288908,54.88678704499856,-17.626827171109202,9.399999999999636,0.0,-0.8394729700016667,-0.8748907818137948,0.0354178118121281,2.790246753341084,8.551622162000001,-5.7613754086589175,14056.064889769445,2.2370097692198776,2.212355704225999,-0.5988023952095856,2.237025663819196,12448.826171875,2,-4.843307030080879,-1.7120505953568994,-3.883493005975837,-5.599127722667134,-1.7616510945433248,-0.9094290480840924,-0.4706836319418244,-1.504057947699394,-3.192710057359648,-1.6534315840327736
