Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,ssx_601088.SS_2021-09-15_2023-09-15_Close_percent,ssx_601985.SS_2021-09-15_2023-09-15_Close_percent,ssx_601225.SS_2021-09-15_2023-09-15_Close_percent,asx_SQ2.AX_2021-09-15_2023-09-15_Close_percent,ssx_600188.SS_2021-09-15_2023-09-15_Close_percent,ssx_601919.SS_2021-09-15_2023-09-15_Close_percent,ssx_600030.SS_2021-09-15_2023-09-15_Close_percent,jpx_9984.T_2021-09-15_2023-09-15_Close_percent,jpx_6594.T_2021-09-15_2023-09-15_Close_percent,asx_ANZ.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,20441.0,20590.0,20018.0,20314.0,18533.224609375,990154,34620.769230769234,990154,0.0349650349650349,0.0,0.0,0.0,140347.84273932097,20307.33333333333,50.0,1000.0,20314.0,20314.0,20314.0,0.0,0.0,0.0,0.0,20307.33333333333,20879.33333333333,19735.33333333333,5.633432914218181,0.5058275058275069,0.0,0.0,20018.0,20590.0,20304.0,2.815792064586,0.5174825174825175,0.0,0.0,0.0,0.0,0.0,20314.0,20314.0,20314.0,20314.0,0.0,0.0,0.0,12.53092025343235,1.0,-2539.905999999999,142.89932302597248,142.89932302597248,0.0,20304.0,20304.0,20304.0,20304.0,0.0,0.0,0.0,0.0,0.0,17796.5265,17903.458,4.0,4.0,0.0,19775.0,20590.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,51.74825174825175,51.74825174825175,-48.25174825174825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20314.0,14.289932302597252,0.0,0.0,0.0,18287.8046875,2,-0.13157215266731706,-0.04859171709059645,-0.13047017369131322,0.061631427095129754,-0.11557592127995754,0.07610068455278457,0.015648443038015478,-0.061628576091673576,0.11203144186721595,-0.02283645084723856
2021-09-16,20270.0,20341.0,19827.0,20045.0,18287.8046875,3041780,-426972.3046991918,-2051626,-0.1058976423471197,-818238820.0,-3717560.112828672,-3717560.112828672,101212.78425837812,20129.038250460777,0.0,1000.0,20179.5,20448.5,19910.5,2.6660720037661982,0.25,0.0,0.0,20189.166666666664,20732.166666666664,19646.166666666664,5.379122466669419,0.3672498465316167,0.0,0.0,19827.0,20590.0,20208.5,3.781064942144256,0.2857142857142857,0.0,0.0,-21.45868945869006,-4.291737891738012,-17.166951566952047,20179.5,20179.5,20272.615384615383,20294.07407407408,0.0969997351276582,0.2291355972210627,-0.1321358620934045,-0.0025863474697253,1.9837101530683887,-2405.405999999999,135.3321300089894,139.11572651748094,-3.7835965084915415,20208.5,20208.5,20208.5,20208.5,0.0,0.0,0.0,0.0,-66.66666666666565,17796.5265,17903.458,4.0,8.0,-4.0,19775.0,20590.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,20.07366482504604,28.571428571428573,40.15984015984016,-71.42857142857143,0.0,0.0,-0.1057386968253151,-0.021147739365063,-0.084590957460252,14.329630047500013,2.8659260095000025,11.463704038000008,20213.79352925854,-1.3242099044993627,-1.3330557422838396,-1.3242099044993627,1.3242159799372075,18472.09765625,3,-1.2680271948335644,1.1940206172504162,-1.9071852281278296,0.061631427095129754,-6.905074460752189,5.542723018994352,2.8963419285350085,1.386792449302476,0.0,-0.9416850174973206
2021-09-17,20417.0,20426.0,19775.0,20247.0,18472.09765625,2731496,802410.6876203166,679870,0.1186396085448236,-622524389.7142857,393246.0453905113,-1662157.0337190805,-12753.376328416132,20137.23467412245,47.409865368147855,1010.0773260164632,20202.0,20430.67152570153,19973.32847429847,2.263850368295527,0.598394410633214,0.0,0.0,20175.888888888887,20754.888888888887,19596.888888888887,5.739524074390225,0.561408558817887,0.0,0.0,19775.0,20590.0,20182.5,4.034254034254034,0.5791411042944785,0.0,0.0,-21.912549411124928,-7.815900195615396,-14.096649215509531,20202.0,20202.0,20268.674556213016,20290.58710562414,0.2316055691845022,0.3338436024362294,-0.1022380332517271,-0.004847123200531,2.996085732298696,-2427.905999999999,136.59801731666315,138.27649011720834,-1.6784728005451657,20182.5,20182.5,20182.5,20182.5,0.0,0.0,0.0,0.0,-20.20287404902744,17796.5265,17903.458,4.0,8.0,-4.0,19775.0,20590.0,0.0,1.0,44.71146245059289,0.0,0.0,0.0,-98.3450761920367,39.72366148531951,57.91411042944785,46.07793024970939,-42.08588957055215,0.0,0.0,-0.1079936686753199,-0.0385169252271144,-0.0694767434482055,21.0556338199323,6.503867571586462,14.55176624834584,20226.765240633333,1.007732601646305,1.00268883349095,-0.3298217977749318,-1.007736969522469,18600.736328125,4,6.649388987187919,-4.229608093999502,6.86213164622572,0.061631427095129754,9.94810341618792,-1.1247004635723243,-1.844588426968216,-1.819012051160556,0.5769839444433273,0.6099710339211271
2021-09-20,20021.0,20519.0,19775.0,20388.0,18600.736328125,1135569,1538088.4537493489,1815439,0.1947194136560023,-510718729.8979592,3046578.41135149,-92578.5520288904,35434.27216339913,20150.18735892991,56.09662055755078,1017.1114991269644,20248.5,20503.774362206623,19993.225637793374,2.52141504019188,0.7732354295083591,0.0,0.0,20188.75,20809.0,19568.5,6.1445111757785895,0.6606207174526401,0.0,0.0,19775.0,20590.0,20182.5,4.024989505395461,0.7521472392638037,0.0,0.0,-10.770558782278384,-8.406831912947993,-2.3637268693303923,20248.5,20248.5,20287.03231679563,20297.80287557791,0.3525996072726103,0.4190559558221899,-0.0664563485495796,-0.0054275868092675,4.051539434366198,-2474.405999999999,139.21418441918888,138.51091369270347,0.7032707264854139,20182.5,20182.5,20182.5,20182.5,0.0,0.0,0.0,0.0,32.73241428066365,17796.5265,17903.458,16.0,8.0,8.0,19775.0,20573.7,0.0,0.0,58.619528313050125,0.0,0.0,0.0,-95.868190234671,52.51914550584443,75.21472392638037,53.90008764241893,-24.78527607361963,0.0,0.0,-0.0530626829332223,-0.0414260767683359,-0.0116366061648863,17.154691907282327,8.634032438725637,8.52065946855669,20296.05039702137,0.6963994665876383,0.6939858048415459,0.3642807915723134,-0.6963944987129054,18530.486328125,0,6.649388987187919,-4.229608093999502,6.86213164622572,0.061631427095129754,9.94810341618792,-1.1247004635723243,-1.844588426968216,-1.819012051160556,0.5769839444433273,2.021664175683341
2021-09-21,20897.0,21444.0,20241.0,20311.0,18530.486328125,828439,806059.6449380438,987000,0.0923592519291507,-446871740.341108,100995547.04691596,25179452.847707324,4779.304865640652,20199.08682013362,60.90920727826875,1013.2701421800948,20261.0,20494.734892559925,20027.265107440075,2.3072394507667475,0.6069587844852495,0.0,0.0,20284.066666666666,21020.866666666665,19547.266666666663,7.2648154051948755,0.5182772348896134,0.0,0.0,19775.0,21444.0,20609.5,8.237500616948818,0.3211503894547633,0.0,0.0,-8.06078767668805,-8.337623065696006,0.2768353890079549,20261.0,20261.0,20290.719652673222,20298.78044034992,0.5625932664924175,0.3809102236101585,0.1816830428822589,-0.0055871073804273,5.24894117000721,-2486.905999999999,139.9174551456743,138.79222198329765,1.1252331623766452,20609.5,20609.5,20609.5,20609.5,0.0,0.0,0.0,0.0,157.08086134915482,17796.5265,17903.458,16.0,8.0,8.0,19775.0,20573.7,1.0,0.0,51.06494067329844,0.0,0.0,0.0,-93.8797693892842,37.269272529858846,32.115038945476336,55.081291100434846,-67.88496105452367,0.0,0.0,-0.0397106993712036,-0.0410830012889095,0.0013723019177058,12.125679561903002,9.332361863361111,2.793317698541891,20302.541813503307,-0.3776731410633727,-0.3783881268446976,-0.014768140198873,0.377673220891694,19107.998046875,1,6.649388987187919,-4.229608093999502,6.86213164622572,0.061631427095129754,9.94810341618792,-1.1247004635723243,-1.844588426968216,4.984233520425661,3.1918855581289165,-0.0368443594731644
2021-09-22,20700.0,21244.0,20422.0,20944.0,19107.998046875,889139,1046192.075594978,1876139,0.1087904849714173,-302629350.72094977,-878265.378079243,19967909.202550013,24581.561762230725,20261.11877535357,65.06052651383288,1013.2701421800948,20374.83333333333,20926.81813586165,19822.84853080502,5.418300051812092,1.0155637112286915,1.0,0.0,20381.722222222223,21132.722222222223,19630.722222222223,7.369347808902857,0.8743527148986534,0.0,0.0,19775.0,21444.0,20609.5,8.191478048900196,0.7004194128220491,0.0,0.0,44.6498396872521,2.2598694848936143,42.38997020235848,20374.83333333333,20374.83333333333,20391.22432149273,20346.57448180548,0.6322780110964937,0.4780709719678422,0.1542070391286515,0.0006403883271278,6.423110157246654,-2600.739333333331,146.32190722820147,140.0471695241149,6.274737704086533,20609.5,20609.5,20609.5,20609.5,0.0,0.0,0.0,0.0,126.51504246437337,17796.5265,17903.458,24.0,8.0,16.0,19775.0,20573.7,0.0,0.0,77.14328248417438,0.0,0.0,0.0,-87.17985370514111,43.44812648906217,70.04194128220492,59.12390138468721,-29.958058717795087,16.233333333333576,0.0,0.2194464710862231,0.011022893186117,0.208423577900106,8.265583382025927,9.119006167094074,-0.8534227850681475,20568.265635875032,3.116537836640254,3.068959795819559,3.1013094417642995,-3.116549174823703,18605.298828125,2,-9.990746506697036,-10.000002171249804,-5.96114577195938,0.061631427095129754,-9.99038854100968,-2.030944492654484,1.0019317758029302,-1.8960339341526264,2.8849750785527,0.2210005030335224
2021-09-23,21100.0,21179.0,20226.0,20393.0,18605.298828125,1078618,345599.6915446109,797521,0.0323135474897475,-344299231.7608141,-11530171.015132328,14718229.16626962,-666.1992611764435,20295.227953362857,57.72090738745552,1013.2701421800948,20377.42857142857,20888.625326552254,19866.23181630489,5.017284230262852,0.5152303671877378,0.0,0.0,20412.809523809523,21192.666666666664,19632.95238095237,7.640860430775263,0.4872992611589441,0.0,0.0,19775.0,21444.0,20609.5,8.19043479480097,0.3702816057519473,0.0,0.0,41.48409372239985,10.10471433239486,31.379379390004985,20377.42857142857,20377.42857142857,20391.497502801543,20350.013409079143,0.6520426531877912,0.5500450094997305,0.1019976436880607,0.0055794651048816,7.6051525716830914,-2603.3345714285715,146.4679196266527,140.9644195387632,5.503500087889506,20609.5,20609.5,20609.5,20609.5,0.0,0.0,0.0,0.0,48.5610045516532,17796.5265,17903.458,24.0,8.0,16.0,19808.38,20573.7,0.0,0.0,51.44375700301978,0.0,0.0,0.0,-82.27297080527086,39.01256732495512,37.028160575194725,46.395046934292,-62.97183942480528,94.59999999999854,0.0,0.2038529060815839,0.0495888957652104,0.1542640103163735,6.262717291433395,8.547748391961939,-2.285031100528544,20513.700063545853,-2.6308250572956493,-2.666050445733425,0.3888943585704352,2.630831432559276,18306.966796875,3,1.471826132619583,-3.689058611900293,-2.718082041050124,0.061631427095129754,6.433777717462505,1.090040240728186,-1.9852110545524653,-1.8960339341526264,2.8849750785527,-1.07051391699693
2021-09-27,20336.0,20591.0,19975.0,20066.0,18306.966796875,827329,-237291.19481902543,-29808,-0.0205936819761907,-333761710.50926924,-31234490.75277187,8153554.892120836,-41642.70193244289,20289.156366550706,53.20402773317651,997.0224426511932,20338.5,20859.16207851158,19817.83792148842,5.119965371208114,0.2383139552058439,0.0,0.0,20387.541666666664,21146.916666666664,19628.166666666664,7.449402310643142,0.288285322359398,0.0,0.0,19775.0,21444.0,20609.5,8.20611156181626,0.1743559017375674,0.0,0.0,12.445585132012638,10.572888492318418,1.8726966396942208,20338.5,20338.5,20341.420963909,20328.975378776984,0.6476940549515025,0.6526763169126679,-0.0049822619611654,0.0062871934369359,8.706629219572775,-2564.405999999999,144.27773364988386,141.37858380265328,2.899149847230575,20609.5,20609.5,20609.5,20609.5,0.0,0.0,0.0,0.0,-48.52329718376183,17796.5265,17903.458,24.0,8.0,16.0,19841.0924,20573.7,0.0,0.0,42.41329721233883,0.0,0.0,0.0,-78.73895527219705,38.72961749311474,17.43559017375674,41.5018973437188,-82.56440982624326,149.53749999999854,0.0,0.0612209169430426,0.0519153000007768,0.0093056169422657,2.951501459307868,7.428499005431124,-4.476997546123257,20389.44379852627,-1.603491394105816,-1.616486420678953,-1.220832923107218,1.6034788476443111,17722.15625,0,-0.1369866951556844,2.890941459519852,-0.7513698683828949,0.061631427095129754,-1.3402098347175553,10.00466344114649,1.4976956842803446,0.0452568127599448,0.7933514358939675,-1.313393900417566
2021-09-28,19950.0,19960.0,19167.0,19425.0,17722.15625,1617573,-802319.8467736283,-1647381,-0.0610588983303265,-434204936.5793736,-35272813.035331324,2725258.901189316,-64938.84407324265,20194.143361752453,46.355020444324815,997.0224426511932,20237.0,20992.40717497254,19481.59282502746,7.465604338316359,-0.0374584905349332,0.0,1.0,20290.85185185185,21053.962962962964,19527.74074074074,7.521725718395265,-0.0673170258202291,0.0,1.0,19167.0,21444.0,20305.5,11.251667737312845,0.1133069828722002,0.0,0.0,-61.581116300709255,-3.857912466287118,-57.72320383442214,20237.0,20237.0,20200.43312330761,20262.01423960832,0.5868855362032804,0.7424236025103051,-0.1555380663070247,-0.0020453842293848,9.794791610495444,-2462.905999999999,138.5671753508223,141.06620508578317,-2.499029734960857,20305.5,20305.5,20305.5,20305.5,0.0,0.0,0.0,0.0,-181.49296101037032,17796.5265,17903.458,24.0,36.0,-12.0,19841.0924,21444.0,0.0,1.0,30.945699501120814,0.0,0.0,0.0,-76.59019577897952,37.20208501329513,11.330698287220024,21.93148301205716,-88.66930171277997,127.12222222222408,0.0,-0.3039239612236086,-0.0192525522441002,-0.2846714089795084,5.486449064349996,7.0400890172149,-1.553639952864904,20180.778075608683,-3.194458287650748,-3.246594424970972,-4.376292212267396,3.1944699160913217,17583.482421875,1,-4.012762329801859,-4.194861674395568,-3.389825365394429,0.061631427095129754,-9.56256688359369,5.946215104067164,-0.8187127566539232,-2.385263791788816,1.5993916685559952,0.5401428439743938
2021-09-29,19650.0,19731.0,19038.0,19273.0,17583.482421875,1729077,-1358718.3619251433,-3376458,-0.091378200424929,-409721331.9251774,-7174174.429478849,1625321.8644484086,-65202.6666491928,20095.6711975617,40.79088915681995,997.0224426511932,20140.6,21061.53569808103,19219.66430191897,9.145067158684746,0.0289573409914328,0.0,0.0,20196.5,20952.6,19440.4,7.4874359418711025,-0.1106996429043789,0.0,1.0,19038.0,21444.0,20241.0,11.94601948303427,0.097672485453034,777.8,0.0,-131.0028212260513,-29.28689421823996,-101.71592700781136,20140.6,20140.6,20057.751104337207,20188.75392556326,0.602579988277679,0.783084574930158,-0.180504586652479,-0.0175336369565689,10.848759580604408,-2366.5059999999976,133.14355150816684,139.98223047269366,-6.838678964526821,20241.0,20241.0,20241.0,20241.0,0.0,0.0,0.0,0.0,-166.40538245476543,17796.5265,17903.458,24.0,40.0,-16.0,19841.0924,21398.46,0.0,0.0,28.94701415334132,0.0,0.0,0.0,-75.09649176790091,34.74330683174093,9.767248545303408,12.844512335426725,-90.2327514546966,-71.15000000000146,0.0,-0.6488900786500442,-0.145180057525289,-0.5037100211247552,7.956514298416138,7.2233740734551475,0.7331402249609908,20015.708641527344,-0.7824967824967777,-0.7855743536795856,-5.124544649010532,0.7824884634170814,18358.0546875,2,2.8057787120439883,5.454543449920422,6.557374951921773,0.061631427095129754,9.996911105541171,9.070922010454652,0.9667417194861656,1.1390599141827806,2.909227061053514,0.4706836319418244
