Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_LYC.AX_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,asx_PLS.AX_2021-09-15_2023-09-15_Close_percent,asx_AKE.AX_2021-09-15_2023-09-15_Close_percent,jpx_8316.T_2021-09-15_2023-09-15_Close_percent,asx_ALQ.AX_2021-09-15_2023-09-15_Close_percent,asx_SOL.AX_2021-09-15_2023-09-15_Close_percent,jpx_8306.T_2021-09-15_2023-09-15_Close_percent,jpx_8015.T_2021-09-15_2023-09-15_Close_percent,asx_QAN.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,6100.0,6182.0,6075.0,6162.0,5592.66552734375,9401389,5886851.0560747655,9401389,0.6261682242990654,0.0,0.0,0.0,-488151.0093422464,6139.666666666667,50.0,1000.0,6162.0,6162.0,6162.0,0.0,0.0,0.0,0.0,6139.666666666667,6246.666666666667,6032.666666666667,3.485531244910147,0.6043613707165095,0.0,0.0,6075.0,6182.0,6128.5,1.736449204803635,0.8130841121495327,0.0,0.0,0.0,0.0,0.0,6162.0,6162.0,6162.0,6162.0,0.0,0.0,0.0,-4.512577870111195,1.0,335.0559999999996,-51.57043436288675,-51.57043436288675,0.0,6128.5,6128.5,6128.5,6128.5,0.0,0.0,0.0,0.0,0.0,6469.56,6444.458,4.0,4.0,0.0,5868.0,6182.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,81.30841121495327,81.30841121495327,-18.69158878504673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6162.0,-5.157043436288678,0.0,0.0,0.0,5429.296875,2,-0.012716182525624743,-0.014493428583670608,-0.1771564586608763,-0.07597638864810889,-0.15177962057580696,-0.005460956647689912,0.03605903994681105,-0.16434577062912445,-0.1452433221557323,-0.01656002419242683
2021-09-16,6199.0,6204.0,5934.0,5982.0,5429.296875,42238093,-21333253.321703017,-32836704,-0.413119041777046,-7602856740.0,-38034.3875846857,-38034.3875846857,-1718663.1106443682,6058.145129799456,0.0,1000.0,6072.0,6252.0,5892.0,5.928853754940711,0.25,0.0,0.0,6089.833333333334,6278.333333333334,5901.333333333334,6.190645611538356,0.2139699381078675,0.0,0.0,5934.0,6204.0,6069.0,4.446640316205533,0.1777777777777777,0.0,0.0,-14.358974358974592,-2.8717948717949184,-11.487179487179674,6072.0,6072.0,6134.307692307692,6148.666666666667,0.1864011004889778,0.3583525032656319,-0.171951402776654,-0.0057053310613437,2.229739252995067,425.0559999999996,-65.4228622933217,-58.49664832810423,-6.926213965217471,6069.0,6069.0,6069.0,6069.0,0.0,0.0,0.0,0.0,-66.66666666666727,6469.56,6444.458,4.0,8.0,-4.0,5868.0,6182.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,12.73209549071618,17.77777777777778,49.543094496365526,-82.22222222222223,0.0,0.0,-0.2335298876554471,-0.0467059775310894,-0.1868239101243577,22.13545959793049,4.427091919586099,17.708367678344395,5985.150116202216,-2.921129503407982,-2.964643996672045,-2.921129503407982,2.9211232380160226,5516.4267578125,3,0.3851056882939332,-1.039268734542972,4.8979665789806575,4.0899757612646965,0.8517008732170979,-0.6245092379802202,5.318076650868235,0.8600382855619415,-0.408160558980839,-0.368323785612958
2021-09-17,6003.0,6155.0,5937.0,6078.0,5516.4267578125,46525648,-7674347.48684063,13688944,-0.0781779384068521,-5878668318.857143,-10776.851512095009,-24405.61954839036,-487179.077343032,6057.444407910766,52.48387420636235,1000.0,6074.0,6221.078210486802,5926.921789513198,4.842878185275014,0.5135982073305105,0.0,0.0,6078.777777777778,6277.111111111112,5880.444444444445,6.525434572008266,0.4980392156862721,0.0,0.0,5934.0,6204.0,6069.0,4.445176160684886,0.5333333333333333,0.0,0.0,-17.78712835123133,-5.854861567682201,-11.93226678354913,6074.0,6074.0,6125.6449704142005,6143.432098765432,0.3845917174327735,0.5658992413653667,-0.1813075239325932,-0.0119343316964438,3.5038629237315773,423.0559999999996,-65.11503056153427,-60.70277573924758,-4.412254822286691,6069.0,6069.0,6069.0,6069.0,0.0,0.0,0.0,0.0,-36.31386861313887,6469.56,6444.458,4.0,8.0,-4.0,5868.0,6182.0,0.0,1.0,36.48208469055374,0.0,0.0,0.0,-98.8217967599411,31.764705882352946,53.333333333333336,50.80650744202146,-46.66666666666666,0.0,0.0,-0.289530804040396,-0.0952709428329507,-0.1942598612074452,34.60202319509751,10.46207817468838,24.13994502040913,6042.513331431176,1.604814443329983,1.5920734286845928,-1.363193768257054,-1.6048096985394693,5376.6552734375,4,2.8350549038644743,-0.172351340789632,1.7167264899171926,0.3198265736159555,-0.3284489325802866,-0.853370822601434,1.3706028201954863,-1.277592825160795,0.4065013806732196,-1.4678973090459664
2021-09-20,5855.0,6022.0,5868.0,5924.0,5376.6552734375,13194556,-11272862.7595679,494388,-0.1012292972841886,-5329138791.020409,-117881.95070754936,-55564.39660144336,412336.1327113951,6043.291926113489,45.80037648094481,974.662717999342,6036.5,6218.431305717296,5854.568694282704,6.027708298427758,0.1908173676969744,0.0,0.0,6043.583333333334,6230.833333333334,5856.333333333334,6.196654854322077,0.1806853582554501,0.0,0.0,5868.0,6204.0,6036.0,5.566139319141887,0.1666666666666666,0.0,0.0,-32.55520195369809,-11.19492964488538,-21.36027230881271,6036.5,6036.5,6094.622667273554,6127.177869227252,0.3883734384709337,0.7160356267900894,-0.3276621883191556,-0.0231067045504079,4.7102528432972814,460.5559999999996,-70.88687553254883,-63.24880068757288,-7.638074844975947,6036.0,6036.0,6036.0,6036.0,0.0,0.0,0.0,0.0,-128.95674300254493,6469.56,6444.458,4.0,16.0,-12.0,5868.0,6204.0,0.0,0.0,22.378195604283007,0.0,0.0,0.0,-97.89069080147512,30.434782608695656,16.666666666666668,29.259259259259263,-83.33333333333333,0.0,0.0,-0.5313245779464191,-0.1824816698556444,-0.3488429080907747,28.78805753490364,14.127274046731433,14.660783488172209,5978.697414142837,-2.53372820006581,-2.566379808904884,-3.862382343394999,2.533732260236249,5432.9267578125,0,11.803711816821677,3.5966014881625483,9.606997336293858,8.663105738712034,-0.3284489325802866,1.4615318616593242,2.724790872052125,-1.277592825160795,0.4065013806732196,2.712479017656861
2021-09-21,5969.0,6011.0,5925.0,5986.0,5432.9267578125,8017085,-7916873.68980046,8511473,-0.0663183768792042,-4496824782.303207,24672.309199665466,-35505.220151166155,-250408.1649760629,6038.638430656944,49.71477508726646,984.8634419216849,6026.4,6194.064426757735,5858.735573242265,5.56433116811811,0.3795212533116066,0.0,0.0,6029.666666666667,6196.666666666667,5862.666666666667,5.539278014262812,0.3692614770459073,0.0,0.0,5868.0,6204.0,6036.0,5.57546794105934,0.3511904761904761,0.0,0.0,-38.808761591484654,-16.717696034205233,-22.09106555727942,6026.4,6026.4,6077.911487693007,6116.720249284492,0.4788510226534644,0.7447873172412881,-0.2659362945878236,-0.035105555376971,5.787885572505766,470.656,-72.44142577807541,-65.0873257056734,-7.354100072402019,6036.0,6036.0,6036.0,6036.0,0.0,0.0,0.0,0.0,-62.97134238310737,6469.56,6444.458,4.0,16.0,-12.0,5868.0,6190.56,0.0,0.0,33.521106794609125,0.0,0.0,0.0,-96.37504849835784,34.417040358744394,35.11904761904762,35.03968253968254,-64.88095238095238,0.0,0.0,-0.6344701083235634,-0.2728793575492282,-0.3615907507743352,21.55216072157757,15.61225138170066,5.939909339876911,5981.686626511204,1.0465901417960888,1.0411513024953578,-2.856215514443361,-1.046589031902414,5528.2255859375,1,-1.5037579428341843,1.013294724046219,-0.9661830745521768,-1.4051508910433768,1.0576693275758655,-0.5464376820530532,-0.0280062679848924,1.4950917964407466,2.551019535155106,-2.23048109677508
2021-09-22,6050.0,6174.0,6025.0,6091.0,5528.2255859375,11538890,-9233391.340807172,20050363,-0.0705293107812912,-3681337891.974178,169804.02794376234,5556.629467819544,286308.8695821423,6043.753032127048,54.5375439675509,984.8634419216849,6037.166666666667,6197.617766867182,5876.715566466152,5.315443785457241,0.6677561988233731,0.0,0.0,6040.833333333333,6204.833333333333,5876.833333333333,5.4297144433715,0.6529471544715456,0.0,0.0,5868.0,6204.0,6036.0,5.565524666648262,0.6636904761904762,0.0,0.0,-34.889940662783374,-20.352144959920864,-14.53779570286251,6037.166666666667,6037.166666666667,6079.925104971006,6114.815045633789,0.5928077439185239,0.6544540147492289,-0.061646270830705,-0.0437503692755377,6.8582323887389816,459.8893333333326,-70.78426495528636,-66.03681558060889,-4.747449374677473,6036.0,6036.0,6036.0,6036.0,0.0,0.0,0.0,0.0,65.49364613880796,6469.56,6444.458,4.0,16.0,-12.0,5868.0,6177.6576000000005,0.0,0.0,47.31493337410112,0.0,0.0,0.0,-93.83946697264484,38.14814814814815,66.36904761904762,39.38492063492064,-33.63095238095238,-17.16666666666697,0.0,-0.5705804738558057,-0.3324195808105437,-0.238160893045262,17.117896424384437,15.913380390237418,1.2045160341470194,6016.923735083531,1.7540928833945868,1.738886242384119,-1.152223304122035,-1.7540974206575015,5578.14404296875,2,-2.074072096082901,-0.3780493865914565,-2.8708239925753816,-2.540418832623331,0.9926196654364076,1.2422304606256347,0.252030246738073,-1.422936291891702,1.5706756869614082,0.5454583601518124
2021-09-23,6121.0,6177.0,6053.0,6146.0,5578.14404296875,19486555,509886.15919282846,39536918,0.0033901505759252,-3002323832.4064384,9863.210813814962,6274.393025485447,378360.9052820287,6054.322816726318,60.9002057228502,984.8634419216849,6052.714285714285,6219.652133124509,5885.776438304061,5.516131756102664,0.7794025313399404,0.0,0.0,6052.904761904762,6211.190476190476,5894.619047619048,5.230074501813373,0.7940734055354994,0.0,0.0,5868.0,6204.0,6036.0,5.551228492529916,0.8273809523809523,0.0,0.0,-27.03456881650345,-21.68862973123738,-5.345939085266071,6052.714285714285,6052.714285714285,6090.090473437005,6117.125042253509,0.6444792028733637,0.6806858996640021,-0.0362066967906383,-0.0479483911195266,7.891706767120076,444.3417142857143,-68.39123970698635,-66.3731618843771,-2.018077822609257,6036.0,6036.0,6036.0,6036.0,0.0,0.0,0.0,0.0,81.75535590877587,6469.56,6444.458,4.0,16.0,-12.0,5868.0,6177.6576000000005,1.0,0.0,52.83539342179447,0.0,0.0,0.0,-91.07923970078708,41.943521594684384,82.73809523809524,61.40873015873016,-17.261904761904763,-18.300000000000185,0.0,-0.4419489323786014,-0.3543254511241552,-0.0876234812544461,17.327966193516424,16.19629755089322,1.131668642623204,6051.985020980227,0.9029715974388396,0.8989191853945755,-0.2596559558584843,-0.9029743134620104,5556.361328125,3,0.0,-2.607500895103413,0.4651130598487043,-0.225219637743379,0.9926196654364076,-1.8081678995771284,-5.951732380836532,-1.422936291891702,1.5706756869614082,-4.5703840875511474
2021-09-27,6147.0,6171.0,6034.0,6122.0,5556.361328125,18255994,5706847.954813266,21280924,0.0338367634449177,-2636012407.2055187,-9380.480734163257,4037.982488392775,104668.78654951377,6060.241214234397,53.85745116952792,981.0175710127814,6061.375,6224.116935284057,5898.633064715943,5.369802570672728,0.6862611498818126,0.0,0.0,6059.916666666667,6215.541666666667,5904.291666666667,5.136209243801482,0.6994645247657286,0.0,0.0,5868.0,6204.0,6036.0,5.54329669423192,0.7559523809523809,0.0,0.0,-22.48651886495645,-21.8482075579812,-0.638311306975254,6061.375,6061.375,6094.999631369774,6117.48615023473,0.66241721294449,0.7107247580999678,-0.0483075451554778,-0.049653378793051,8.91593561056319,435.6809999999996,-67.0582183684425,-66.45879394488527,-0.5994244235572239,6036.0,6036.0,6036.0,6036.0,0.0,0.0,0.0,0.0,56.66185666185631,6469.56,6444.458,4.0,16.0,-12.0,5874.18,6177.6576000000005,0.0,0.0,50.35585442765935,0.0,0.0,0.0,-88.8126284983141,46.41180196965389,75.5952380952381,74.90079365079366,-24.404761904761905,-13.1875,0.0,-0.367577764995735,-0.3569759138984712,-0.0106018510972638,16.6457227350169,16.286182587717956,0.3595401472989437,6071.281737102267,-0.3904978848031204,-0.3912623185073016,-0.6491398896462219,0.3905011178620867,5714.28466796875,0,-2.745665536498308,-1.2206033591736087,2.336461815937355,0.1116096968667506,-2.388057832696944,-0.7843181149374772,-1.2257472317223943,-1.2269958700689472,-1.5706866612680417,-2.8368852488815293
2021-09-28,6125.0,6311.0,6125.0,6296.0,5714.28466796875,21358141,23620127.503200367,42639065,0.124305763050888,-1728536844.176159,100584.59675867856,16106.3092721785,535753.6132783527,6080.895994918879,59.46309062852677,981.0175710127814,6087.444444444444,6300.258627578957,5874.630261309932,6.991905555006173,0.9899944930449832,0.0,0.0,6080.37037037037,6239.37037037037,5921.37037037037,5.229944569653408,1.1780805963195895,1.0,0.0,5868.0,6311.0,6089.5,7.277273805829851,0.9661399548532732,0.0,0.0,-4.786633360297856,-18.43589271844453,13.649259358146676,6087.444444444444,6087.444444444444,6125.9227650051935,6130.709398365491,0.7446928440112388,0.6628525096257243,0.0818403343855145,-0.0439894898859685,9.989942261541898,409.6115555555552,-63.04571725340757,-66.07956320138776,3.0338459479801827,6089.5,6089.5,6089.5,6089.5,0.0,0.0,0.0,0.0,156.92635567132368,6469.56,6444.458,36.0,16.0,20.0,5880.236400000001,6177.6576000000005,0.0,0.0,63.66822285597382,0.0,0.0,0.0,-84.72358413214502,57.118344302161454,96.61399548532732,84.98244293955355,-3.386004514672686,23.766666666667334,0.0,-0.0780763374883503,-0.301195998616447,0.2231196611280966,17.310083877811053,16.490962845736576,0.8191210320744773,6102.979901890911,2.8422084286181093,2.802567059188199,2.1746186303148285,-2.842207886020276,5855.87158203125,1,1.2658249071425018,-0.1604178477833642,1.4354029454092796,2.011165981424128,-1.6763845856721389,1.3229590312053006,-0.4036215326557055,-1.8034065814082112,-0.7216392480127922,1.0344899593718253
2021-09-29,6307.0,6452.0,6304.0,6452.0,5855.87158203125,19998986,43619113.50320037,62638051,0.2076948956504084,-1035911321.2938508,118406.00318436146,27472.94192908772,1102570.4910678964,6111.5370292900725,63.6975855537172,1005.3248678803154,6123.9,6421.566188876063,5826.233811123936,9.72145818436172,1.0511207054433185,1.0,0.0,6112.6,6270.5,5954.7,5.166377646173481,1.5747308423052562,1.0,0.0,5868.0,6452.0,6160.0,9.536406538317085,1.0,168.6,0.0,21.57979127566341,-10.432755919622943,32.01254719528636,6123.9,6123.9,6176.088493465933,6154.50870219027,0.8500511729806663,0.6146754513616811,0.2353757216189852,-0.0285783978013385,11.048179272750298,373.156,-57.43462885343755,-66.7311403670045,9.296511513566948,6160.0,6160.0,6160.0,6160.0,0.0,0.0,0.0,0.0,209.6160331454448,6469.56,6444.458,40.0,16.0,24.0,5897.466944000001,6177.6576000000005,0.0,0.0,71.14026975168409,0.0,0.0,0.0,-79.39683946688282,61.906540409888734,100.0,90.7364111935218,-0.0,75.65000000000055,0.0,0.3506338575487525,-0.1708300273834071,0.5214638849321597,16.930449812952457,16.578860239179754,0.3515895737727028,6118.964513290331,2.477763659466325,2.447564914785972,4.706264199935095,-2.477771449787255,5854.96337890625,2,4.843307030080879,1.7120505953568994,3.883493005975837,3.192710057359648,1.397051934092346,-0.1577279889833107,3.844211102156336,0.5627993313142099,1.7616510945433248,3.4843173735210087
