Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,jpx_8802.T_2021-09-15_2023-09-15_Close_percent,asx_ANZ.AX_2021-09-15_2023-09-15_Close_percent,jpx_8591.T_2021-09-15_2023-09-15_Close_percent,asx_NAB.AX_2021-09-15_2023-09-15_Close_percent,jpx_8830.T_2021-09-15_2023-09-15_Close_percent,asx_SCG.AX_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,jpx_6723.T_2021-09-15_2023-09-15_Close_percent,jpx_7733.T_2021-09-15_2023-09-15_Close_percent,jpx_8015.T_2021-09-15_2023-09-15_Close_percent
2021-09-15,5500.0,5520.0,5394.0,5481.0,4761.7783203125,186730,71135.23809523809,186730,0.3809523809523809,0.0,0.0,0.0,-27590.95197108884,5465.0,50.0,1000.0,5481.0,5481.0,5481.0,0.0,0.0,0.0,0.0,5465.0,5591.0,5339.0,4.611161939615736,0.5634920634920635,0.0,0.0,5394.0,5520.0,5457.0,2.2988505747126435,0.6904761904761905,0.0,0.0,0.0,0.0,0.0,5481.0,5481.0,5481.0,5481.0,0.0,0.0,0.0,-15.12797443393158,1.0,978.4520000000002,-151.47600756225145,-151.47600756225145,0.0,5457.0,5457.0,5457.0,5457.0,0.0,0.0,0.0,0.0,0.0,6471.053,6491.851,4.0,4.0,0.0,5590.0,5520.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,69.04761904761905,69.04761904761905,-30.95238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5481.0,-15.147600756225144,0.0,0.0,0.0,4885.1455078125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-16,5505.0,5660.0,5505.0,5623.0,4885.1455078125,888059,535217.6832565285,1074789,0.4979746566596126,126104378.0,2190451.310104396,2190451.310104396,-5277.565539791234,5573.240528140872,100.0,1000.0,5552.0,5694.0,5410.0,5.115273775216139,0.75,0.0,0.0,5530.5,5671.0,5390.0,5.080914926317693,0.8291814946619217,0.0,0.0,5394.0,5660.0,5527.0,4.79106628242075,0.8609022556390977,0.0,0.0,11.327635327635107,2.2655270655270217,9.062108262108088,5552.0,5552.0,5502.846153846153,5491.518518518518,0.213748702240022,0.0120534982466177,0.2016952039934043,0.005060093960956,2.0364894620949983,907.4520000000002,-140.48436306980844,-145.98018531602992,5.495822246221479,5527.0,5527.0,5527.0,5527.0,0.0,0.0,0.0,0.0,66.66666666666667,6471.053,6491.851,8.0,4.0,4.0,5590.0,5520.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,46.55737704918032,86.09022556390977,77.5689223057644,-13.909774436090226,0.0,0.0,0.206275100219293,0.0412550200438586,0.1650200801754344,23.439921016781938,4.687984203356388,18.75193681342555,5511.924444444445,2.590768108009489,2.5577763246085183,2.590768108009489,-2.590779729785993,4897.30810546875,3,1.4084540712266431,-0.9416850174973206,0.138031671398835,-0.2132204644208428,1.6145354028339938,-1.7006702406320215,-1.039268734542972,2.183098591549296,-0.0834988905882596,-0.408160558980839
2021-09-17,5650.0,5652.0,5590.0,5637.0,4897.30810546875,663938,877895.3606758832,1738727,0.5049069581802568,109417342.85714288,359521.52158785914,1274986.4158461276,24660.60501654415,5593.51417138324,100.0,1002.4897741419172,5580.333333333333,5721.276190154418,5439.390476512248,5.051413541165466,0.7010270968843794,0.0,0.0,5562.444444444444,5676.777777777777,5448.11111111111,4.11090248092366,0.826044703595726,0.0,0.0,5394.0,5660.0,5527.0,4.766740338092109,0.9135338345864662,0.0,0.0,21.190282546407616,6.050478161703141,15.139804384704476,5580.333333333333,5580.333333333333,5523.485207100592,5502.294924554184,0.3161233631239417,0.0650617091175182,0.2510616540064234,0.0137809318226035,2.976982374877529,879.1186666666672,-136.0980260657819,-142.68613223261391,6.588106166832006,5527.0,5527.0,5527.0,5527.0,0.0,0.0,0.0,0.0,65.564424173318,6471.053,6491.851,12.0,4.0,8.0,5590.0,5520.0,0.0,1.0,100.0,0.0,0.0,0.0,100.0,51.49863760217984,91.35338345864662,82.16374269005848,-8.646616541353383,0.0,0.0,0.3851171708707441,0.1100274502092357,0.2750897206615084,30.077264772982865,9.765840317281684,20.311424455701182,5528.641676751327,0.24897741419172,0.2486679789372559,2.846195949644214,-0.2489710416363095,4841.7060546875,4,1.3165242094942755,0.6099710339211271,0.2303646959118026,1.099291398991724,-1.0000066379250967,0.0,-0.172351340789632,-3.383729301655862,0.1251335244247116,0.4065013806732196
2021-09-21,5540.0,5595.0,5502.0,5539.0,4812.16796875,149718,924039.441154766,1302741,0.4249017875714018,77417643.81341109,93175.16931831844,-592933.2898251857,-4163.566079147984,5585.215113902386,78.24287329634,985.0613551484972,5570.6,5684.397012263064,5456.802987736936,4.085628559331636,0.3611562844596008,0.0,0.0,5557.666666666666,5683.666666666666,5431.666666666666,4.534276974749596,0.4259259259259283,0.0,0.0,5394.0,5660.0,5527.0,4.775069112842423,0.5451127819548872,0.0,0.0,22.454535491599017,12.134497921247233,10.320037570351786,5570.6,5570.6,5532.317811001016,5509.863275509417,0.3840718138983791,0.2692268107228833,0.1148450031754957,0.0289803405980474,5.014678910851021,888.8519999999999,-137.60486183657687,-140.40902128126868,2.804159444691805,5527.0,5527.0,5527.0,5527.0,0.0,0.0,0.0,0.0,-19.21079958463097,6471.053,6491.851,12.0,4.0,8.0,5590.0,5644.0,0.0,1.0,57.37614428745764,0.0,0.0,0.0,97.60832738966124,53.36391437308868,54.51127819548872,71.05263157894737,-45.48872180451128,0.0,0.0,0.4075334426428752,0.2203992935447012,0.1871341490981739,18.89138370733557,14.158195703910042,4.7331880034255285,5530.369123227682,-0.6100843351875107,-0.6119529536432466,1.0582010582010692,0.6100759856931575,4935.5341796875,1,1.75986188376325,-0.0368443594731644,2.1703939464712505,0.8778381331624132,1.2947494417934848,0.0,1.013294724046219,4.456824512534823,2.8607160865705623,2.551019535155106
2021-09-22,5525.0,5786.0,5525.0,5681.0,4935.5341796875,294448,981575.25724672,1597189,0.3975339223512439,72331068.41149522,9484526.979296854,1422558.7639992223,6635.179600326504,5594.610229142611,81.07911701926241,985.0613551484972,5589.0,5721.524211624392,5456.475788375608,4.742322835011333,0.8471063848346145,0.0,0.0,5575.38888888889,5723.88888888889,5426.888888888889,5.326982671861471,0.8555929667040759,0.0,0.0,5394.0,5786.0,5590.0,7.01377706208624,0.7321428571428571,0.0,0.0,32.65192400780961,16.237983138559706,16.413940869249906,5589.0,5589.0,5555.191993923936,5522.540069916126,0.4831616024572218,0.2690821870827608,0.2140794153744609,0.0392098320220622,6.171184374103206,870.4520000000002,-134.75632298219728,-139.46690489809012,4.7105819158928455,5590.0,5590.0,5590.0,5590.0,0.0,0.0,0.0,0.0,110.64862989940956,6471.053,6491.851,24.0,4.0,20.0,5502.0,5644.0,1.0,0.0,74.89263703157947,0.0,0.0,0.0,96.50786580090453,55.19125683060109,73.21428571428571,65.00626566416041,-26.785714285714285,22.31666666666661,0.0,0.591248295067699,0.2945690938493008,0.2966792012183982,16.808362838069304,14.688229130741895,2.120133707327408,5543.238559150912,2.5636396461455213,2.531329452402176,3.648969166210536,-2.563630607631211,4983.31689453125,2,-0.6356582566683215,0.2210005030335224,1.4869069244148818,0.7010981069712017,-1.4660466542673731,-0.6825953128001316,-0.3780493865914565,1.3848396501457785,0.5374027278941895,1.5706756869614082
2021-09-27,5765.0,5891.0,5699.0,5822.0,5058.0322265625,596872,1218973.0457082584,2495347,0.3620010595100311,62503260.955384254,2283906.767280087,1680175.8998512551,11865.786221757076,5643.660337496982,86.53964798427388,985.0613551484972,5636.5,5841.673097651715,5431.326902348285,7.280159590232047,0.952057316780609,0.0,0.0,5623.041666666667,5771.416666666667,5474.666666666667,5.277392870110335,1.1704577365908442,1.0,0.0,5394.0,5891.0,5642.5,8.817528608178835,0.8611670020120724,0.0,0.0,60.41363062918117,29.62010631920644,30.79352430997473,5636.5,5636.5,5619.776516359741,5559.36288573056,0.6352152942730179,0.3208627767557704,0.3143525175172475,0.072127479345459,8.345082743902386,822.9520000000002,-127.40275800485864,-136.9636825745177,9.560924569659065,5642.5,5642.5,5642.5,5642.5,0.0,0.0,0.0,0.0,146.15514050143008,6471.053,6491.851,32.0,4.0,28.0,5507.68,5644.0,0.0,0.0,82.80398138808192,0.0,0.0,0.0,94.9278471716628,60.93482554312048,86.11670020120724,82.19196129155887,-13.883299798792756,37.6875,0.0,1.0867006142780724,0.5348751225211348,0.5518254917569376,20.766225175434062,15.98069227436249,4.785532901071573,5600.730464372687,1.4993026499302564,1.4881742026112477,6.221492428388986,-1.4993092675531727,5039.78759765625,0,-1.6033805738037756,-1.313393900417566,-2.877366575362373,-0.8409423354599426,-1.5928305983911455,-1.3793039563513505,-1.2206033591736087,-0.4149377593360981,-0.8515831437616015,-1.5706866612680417
2021-09-28,5881.0,5911.0,5701.0,5801.0,5039.78759765625,458899,1197120.7123749251,2036448,0.3128731066486345,52197526.67604365,503378.739112528,1533076.2547589142,7293.6653939009775,5662.93071809639,88.27611374442388,981.508231057443,5654.777777777777,5874.1157266203545,5435.4398289352,7.757615151723004,0.8333263190292004,0.0,0.0,5643.185185185185,5798.407407407407,5487.962962962963,5.501227307929589,1.0083512288236711,1.0,0.0,5394.0,5911.0,5652.5,9.142711178354586,0.7872340425531915,0.0,0.0,70.39512107239716,37.77510926984459,32.62001180255257,5654.777777777777,5654.777777777777,5647.657052304397,5577.261931232,0.6685160299806986,0.372809953347918,0.2957060766327805,0.0925669683969417,9.493042103680388,804.6742222222229,-124.5731406042219,-135.5869556889293,11.01381508470736,5652.5,5652.5,5652.5,5652.5,0.0,0.0,0.0,0.0,113.06193157210888,6471.053,6491.851,32.0,4.0,28.0,5523.0128,5644.0,0.0,0.0,78.71187886800658,0.0,0.0,0.0,93.99554674435706,57.1687290308888,78.72340425531915,84.02833413857003,-21.27659574468085,68.4111111111115,0.0,1.2621806531659003,0.680336228650088,0.5818444245158123,21.2370911615116,17.031972051792312,4.205119109719284,5633.78338925513,-0.360700790106494,-0.3613528839505164,5.838350665936876,0.3607060629316976,5169.23583984375,1,-0.2214743647352435,0.5401428439743938,-0.6648256414249261,0.3263208931374493,-1.6168566762959955,-0.340132238768021,-0.1604178477833642,2.134986225895318,1.1459583268350002,-0.7216392480127922
2021-09-29,5857.0,5950.0,5853.0,5950.0,5169.23583984375,560703,1757823.7123749251,2597151,0.4006964594016908,56675701.00803742,1652122.4248844755,1546303.6069950878,12746.531339199208,5695.489136762055,89.89932203746919,981.508231057443,5684.3,5957.566243798974,5411.033756201026,9.614772049292748,0.986155912099154,0.0,0.0,5670.633333333333,5820.033333333334,5521.233333333334,5.269252699580885,1.4349620705042374,1.0,0.0,5394.0,5950.0,5672.0,9.78132751614095,1.0,157.0,0.0,89.29919340172546,48.07992609622077,41.21926730550469,5684.3,5684.3,5694.171351949874,5604.872158548149,0.7280473983961437,0.3737867869160278,0.3542606114801159,0.1182426515028974,10.53591957777793,775.152,-120.00274945924208,-132.08992701081712,12.087177551575053,5700.0,5672.0,5686.0,5672.0,0.0,0.0,0.0,0.0,144.0931715663403,6471.053,6491.851,40.0,4.0,36.0,5546.292032,5644.0,0.0,0.0,84.54709628424192,0.0,0.0,0.0,93.30536698287212,61.40721142245992,100.0,88.28003481884214,-0.0,112.59999999999944,0.0,1.5932422877037924,0.8629174404608289,0.7303248472429635,23.243668971546043,18.27431143574306,4.969357535802985,5662.316568859071,2.568522668505424,2.5360903073611496,8.556832694763727,-2.568525749928426,5622.73876953125,2,1.3656603427506582,0.4706836319418244,0.5332685891703619,0.9094290480840924,2.0116322407705525,0.3389792610185651,1.7120505953568994,1.055594651653763,1.850715434692645,1.7616510945433248
2021-09-30,6199.0,6538.0,6039.0,6472.0,5622.73876953125,797115,2344078.6322146044,3394266,0.4521725219914762,108021176.5783178,24226491.78600328,3814322.4248959054,84333.55340588916,5796.077697827201,91.66059360937156,981.508231057443,5755.909090909091,6278.403426360216,5233.414755457966,18.15505864317264,1.1852618875500642,1.0,0.0,5759.1,5945.8,5572.4,6.48365195950757,2.40921264059989,1.0,0.0,5394.0,6538.0,5966.0,19.875227039406145,0.9423076923076924,200.1,0.0,144.73344729619475,67.41063033621558,77.32281695997918,5755.909090909091,5755.909090909091,5813.83729780374,5669.103850507545,0.8109891614139622,0.3315628458487815,0.4794263155651806,0.1645549948574991,11.916314614648062,703.5429090909092,-104.57462019724876,-128.0999555805327,23.525335383283945,5994.0,5966.0,5980.0,5966.0,0.0,0.0,0.0,0.0,239.2111022151057,6471.053,6491.851,44.0,4.0,40.0,5578.588669440001,5644.0,0.0,0.0,92.40330771095763,0.0,0.0,0.0,93.06539881929886,70.2390437982776,94.23076923076924,90.9847244953628,-5.769230769230769,182.409090909091,0.0,2.553021625864854,1.200938277541634,1.35208334832322,28.291095470063343,20.27766824260712,8.013427227456226,5907.297629202995,8.773109243697474,8.409396019865234,18.08064221857326,-8.773113545951276,5392.51220703125,3,-0.6216434483863083,-2.4008762451636585,1.6316992251836098,-2.165937308430045,-1.0882953539413336,-1.7006702406320215,-2.264426629296736,0.7112375533428121,-1.802739949031789,-0.3164486468708247
2021-10-01,6499.0,6517.0,6200.0,6207.0,5392.51220703125,353189,2006487.8845805349,3041077,0.3623634373861519,79218853.49570097,6282755.125442752,4038725.397672892,55470.23003838124,5828.730394075251,85.12674911499224,941.3197759847882,5793.5,6352.450504666261,5234.549495333739,19.29577991425773,0.8698896383024947,0.0,0.0,5830.3,6033.2,5627.4,6.960190727749861,1.428289797930015,1.0,0.0,5394.0,6538.0,5966.0,19.746267368602744,0.7106643356643356,211.79,0.0,165.37585764318737,87.00367579760993,78.37218184557744,5793.5,5793.5,5874.323867372395,5708.948009729208,0.8756895689264338,0.3997713249446763,0.4759182439817574,0.2128197595425299,13.281032252987233,-312.5,-95.39278626256636,-123.5771511579532,28.184364895386864,5994.0,5966.0,5980.0,5966.0,0.0,0.0,0.0,0.0,164.63858554342184,6471.053,6491.851,44.0,4.0,40.0,5674.529802496,5644.0,0.0,0.0,72.30601545616895,0.0,0.0,0.0,88.55043074860673,60.631449824201056,71.06643356643356,88.43240093240092,-28.93356643356644,256.14999999999964,0.0,2.8967833891875228,1.5401072998708116,1.3566760893167111,23.849629674030403,20.992060528891777,2.8575691451386263,5938.879058460301,-4.09456118665018,-4.180749232467562,13.245758073344271,4.094562666641423,5321.2724609375,4,2.752036973784726,2.522197705945615,2.156397939918648,2.012217460134707,2.275506104376319,2.006684441079173,2.9120764699379578,2.2206303724928347,3.6434001348766,3.3648805511869995
