Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,jpx_8830.T_2021-09-15_2023-09-15_Close_percent,asx_ANZ.AX_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,asx_ALQ.AX_2021-09-15_2023-09-15_Close_percent,jpx_6501.T_2021-09-15_2023-09-15_Close_percent,asx_ALL.AX_2021-09-15_2023-09-15_Close_percent,jpx_6594.T_2021-09-15_2023-09-15_Close_percent,jpx_6273.T_2021-09-15_2023-09-15_Close_percent,jpx_6723.T_2021-09-15_2023-09-15_Close_percent,asx_CBA.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,1175.0,1164.0,1145.0,1153.0,975.1770629882812,357500,-56447.36842105263,357500,-0.1578947368421052,0.0,0.0,0.0,-37976.44068508236,1154.0,50.0,1000.0,1153.0,1153.0,1153.0,0.0,0.0,0.0,0.0,1154.0,1173.0,1135.0,3.2928942807625647,0.4736842105263157,0.0,0.0,1145.0,1164.0,1154.5,1.647875108412836,0.4210526315789473,0.0,0.0,0.0,0.0,0.0,1153.0,1153.0,1153.0,1153.0,0.0,0.0,0.0,-10.995837496213072,1.0,149.62400000000002,-114.86353698381116,-114.86353698381116,0.0,1154.5,1154.5,1154.5,1154.5,0.0,0.0,0.0,0.0,0.0,1307.4255,1313.049,4.0,4.0,0.0,1167.0,1164.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,42.10526315789474,42.10526315789474,-57.89473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,-11.486353698381112,0.0,0.0,0.0,988.7094116210938,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-16,1165.0,1181.0,1155.0,1169.0,988.7094116210938,1745815,77846.0931174089,2103315,0.0370111434176093,27933040.0,20105.22306200829,20105.22306200829,-16837.31377787034,1165.8970997370022,100.0,1000.0,1161.0,1177.0,1145.0,2.756244616709733,0.75,0.0,0.0,1161.1666666666663,1183.6666666666663,1138.6666666666663,3.875412659681356,0.6740740740740775,0.0,0.0,1145.0,1181.0,1163.0,3.10077519379845,0.6666666666666666,0.0,0.0,1.2763532763533476,0.2552706552706695,1.021082621082678,1161.0,1161.0,1155.4615384615386,1154.1851851851852,0.1939404387363702,0.0484851096840925,0.1454553290522777,0.0027103209019947,2.0580912863070537,141.62400000000002,-108.72208711032502,-111.7928120470681,3.070724936743076,1163.0,1163.0,1163.0,1163.0,0.0,0.0,0.0,0.0,66.66666666666772,1307.4255,1313.049,8.0,4.0,4.0,1167.0,1164.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,34.04255319148936,66.66666666666667,54.38596491228071,-33.333333333333336,0.0,0.0,0.1105847911354503,0.02211695822709,0.0884678329083602,24.05813538901694,4.811627077803388,19.24650831121356,1158.2182497369995,1.3876843018213458,1.378144120300906,1.3876843018213458,-1.387681185952502,1003.0875244140624,3,1.6145354028339938,-0.9416850174973206,-1.039268734542972,-0.6245092379802202,0.6677789238660665,0.0423130350401379,0.0,0.7360390386603939,2.183098591549296,-1.4199743350752527
2021-09-17,1174.0,1200.0,1167.0,1186.0,1003.0875244140624,2742168,493326.0931174089,4845483,0.1018115414123646,30602156.57142857,18653.12409742948,19379.17357971888,64103.95073661376,1176.330579703475,100.0,1000.0,1169.3333333333333,1196.2818439085436,1142.384822758123,4.609209334414537,0.8092316849970598,0.0,0.0,1168.888888888889,1194.888888888889,1142.888888888889,4.448669201520913,0.8290598290598286,0.0,0.0,1145.0,1200.0,1172.5,4.703534777651083,0.7454545454545455,0.0,0.0,3.617925179178883,0.9278015600523124,2.6901236191265707,1169.3333333333333,1169.3333333333333,1160.1597633136096,1156.5418381344307,0.3704991217798594,0.1052034543325526,0.2652956674473067,0.0099940374556196,3.20363306959374,133.29066666666677,-102.32474349211029,-108.63678919541547,6.312045703305202,1172.5,1172.5,1172.5,1172.5,0.0,0.0,0.0,0.0,100.0,1307.4255,1313.049,12.0,4.0,8.0,1167.0,1164.0,0.0,1.0,100.0,0.0,0.0,0.0,100.0,43.75,74.54545454545455,61.10579479000532,-25.454545454545453,0.0,0.0,0.3128226805019701,0.080258102682066,0.232564577819904,43.81207635857246,12.611716933957204,31.200359424615257,1164.0003035652908,1.4542343883661155,1.4437618085603177,2.862098872506502,-1.4542303961074057,993.7841796875,4,-1.0000066379250967,0.6099710339211271,-0.172351340789632,-0.853370822601434,-0.8250574737656962,1.5453081178421115,0.5769839444433273,-1.4318557818413922,-3.383729301655862,-0.0291696193618378
2021-09-21,1170.0,1190.0,1170.0,1185.0,1002.2418823242188,562730,774691.0931174089,3356285,0.1038440282988497,20523295.6851312,17770.51161302934,11025.380535193106,-14242.181191919915,1176.3671101748166,71.17151532879123,999.1568296795954,1173.6,1197.7859463325294,1149.4140536674704,4.121667745829842,0.7356740530898178,0.0,0.0,1172.6666666666663,1198.2666666666669,1147.0666666666666,4.3661171119954565,0.7408854166666672,0.0,0.0,1145.0,1200.0,1172.5,4.686434901158828,0.7272727272727273,0.0,0.0,5.997361297237376,2.5186680204801792,3.4786932767571965,1173.6,1173.6,1165.9132033192116,1159.9158420219742,0.4988385252248495,0.3089820715944963,0.1898564536303532,0.0281797023588395,5.46655786761431,129.02400000000011,-99.04930355958436,-105.23937324456892,6.19006968498455,1172.5,1172.5,1172.5,1172.5,0.0,0.0,0.0,0.0,65.21739130434915,1307.4255,1313.049,12.0,4.0,8.0,1167.0,1164.0,0.0,0.0,78.5787438284343,0.0,0.0,0.0,97.28677086212562,50.0,72.72727272727273,67.27272727272727,-27.27272727272728,0.0,0.0,0.5170514170047655,0.2174231119005347,0.2996283051042308,38.74284814962359,23.372079962857025,15.370768186766568,1168.7444623499591,0.8510638297872353,0.8474626990971679,2.775368603642669,-0.8510603015816116,1045.376220703125,1,1.2947494417934848,-0.0368443594731644,1.013294724046219,-0.5464376820530532,2.3640053286474654,-1.3286106441003795,3.1918855581289165,2.5334052771321325,4.456824512534823,0.4662246950412196
2021-09-22,1200.0,1345.0,1192.0,1236.0,1045.376220703125,4497814,-1136144.9199544864,7854099,-0.0950116403644675,50361184.01582675,301046.24157424027,69029.55274300254,198365.9965526528,1206.9467772987382,82.80310243358136,999.1568296795954,1184.0,1235.4846255368209,1132.5153744631791,8.69672728662515,1.0050051297625786,1.0,0.0,1186.8333333333333,1233.6666666666667,1140.0,7.892149978935549,1.024911032028469,1.0,0.0,1145.0,1345.0,1245.0,16.89189189189189,0.455,0.0,0.0,11.144081848045971,4.243750785993338,6.900331062052633,1184.0,1184.0,1176.695787423948,1165.551705575902,0.7209115681809698,0.1983090074284221,0.5226025607525477,0.0476208614951773,7.296000250322601,118.62400000000002,-91.06541872405238,-102.8770474911495,11.81162876709712,1245.0,1245.0,1245.0,1245.0,0.0,0.0,0.0,0.0,200.00000000000065,1307.4255,1313.049,24.0,4.0,20.0,1160.0,1164.0,0.0,0.0,90.04514007849926,0.0,0.0,0.0,96.44416022296156,40.0,45.5,57.59090909090909,-54.5,6.75,0.0,0.9561207619304756,0.3651626419065229,0.5909581200239528,53.69869446323575,29.43740286293277,24.261291600302982,1172.3425764227725,4.303797468354431,4.213758444840465,7.198612315698183,-4.303785257793948,1074.1326904296875,2,-1.4660466542673731,0.2210005030335224,-0.3780493865914565,1.2422304606256347,1.909038672790885,-0.0874086647238954,2.8849750785527,0.6077835597668724,1.3848396501457785,0.6976309579242042
2021-09-27,1270.0,1297.0,1253.0,1289.0,1090.2021484375,3883073,3683718.534590968,14085989,0.2025151140425313,57318571.46060741,27761.517746382822,49003.127942662846,122704.68898402262,1228.9339079946349,75.55562226946532,1026.6417262889047,1207.875,1302.31247931833,1113.43752068167,15.636962321155773,0.929516970304468,0.0,0.0,1207.2083333333333,1252.7083333333333,1161.7083333333333,7.538052669726987,1.3988095238095246,1.0,0.0,1145.0,1345.0,1245.0,16.558004760426368,0.72,0.0,0.0,24.259639219035307,10.409794809632274,13.849844409403032,1207.875,1207.875,1206.1194691023534,1181.859829883318,0.8854158522665082,0.4221850421403217,0.4632308101261864,0.1178457137798471,10.184265645333696,94.74900000000002,-72.7370292578672,-96.45415257788822,23.717123320021017,1245.0,1245.0,1245.0,1245.0,0.0,0.0,0.0,0.0,111.8777643747489,1307.4255,1313.049,32.0,4.0,28.0,1174.504,1164.0,0.0,0.0,93.83822334263412,0.0,0.0,0.0,95.51831680123824,52.7769302840871,72.0,60.0,-28.0,22.924999999999955,0.0,2.0526663658100976,0.8864511231009353,1.1662152427091623,53.37920072298391,37.68814748617734,15.691053236806567,1177.7108144123524,1.4960629921259905,1.4849823486549951,11.79531656548136,-1.4960403077746631,1086.8192138671875,0,-1.5928305983911455,-1.313393900417566,-1.2206033591736087,-0.7843181149374772,-4.747309217526407,-0.4957975533104246,0.7933514358939675,2.580650160076118,-0.4149377593360981,-2.841689204940991
2021-09-28,1287.0,1294.0,1265.0,1285.0,1086.8192138671875,3879859,5155389.189763382,10206130,0.2335957559631693,46913141.82337779,3363.5242930219883,43298.17748645774,46053.31430883979,1238.1457389278987,80.07101644699898,1023.455871436185,1216.4444444444443,1317.8221150566924,1115.0667738321963,16.667866925652767,0.8381196033679287,0.0,0.0,1215.4444444444443,1259.111111111111,1171.7777777777778,7.185300301672908,1.2964376590330795,1.0,0.0,1145.0,1345.0,1245.0,16.441359152356597,0.7,0.0,0.0,28.75509290974537,14.078854429654893,14.67623848009048,1216.4444444444443,1216.4444444444443,1218.254935394299,1189.4998424845537,0.9137589156234276,0.4587291722158098,0.4550297434076178,0.160943684056258,11.383232496556005,86.17955555555568,-66.15842757046974,-93.08796091039729,26.92953333992753,1245.0,1245.0,1245.0,1245.0,0.0,0.0,0.0,0.0,92.41558441558443,1307.4255,1313.049,32.0,4.0,28.0,1181.32384,1164.0,0.0,0.0,90.88833996315732,0.0,0.0,0.0,94.73359114854732,53.88299948947416,70.0,68.16666666666667,-30.0,35.7555555555557,0.0,2.4174104008020305,1.1926429786411543,1.2247674221608762,53.11982537234974,40.77448306341182,12.345342308937916,1179.2158721810413,-0.3103180760279267,-0.310800560986646,11.448395490026009,0.310303421724214,1042.8388671875,1,-1.6168566762959955,0.5401428439743938,-0.1604178477833642,1.3229590312053006,-1.359659544088032,1.4586034205133274,1.5993916685559952,2.8079413622674707,2.134986225895318,0.5641042753145484
2021-09-29,1271.0,1294.0,1213.0,1233.0,1042.8388671875,2466365,3906982.21445474,7739765,0.1592342365215365,21889695.848609533,-85388.8212004306,28999.622076803484,-111846.11391812796,1239.0022623564244,71.86107565391153,982.0397583508296,1218.1,1314.7869174190594,1121.4130825809405,15.875037750440764,0.577052823679447,0.0,0.0,1218.5666666666666,1265.9666666666667,1171.1666666666663,7.77963180786171,0.6522503516174406,0.0,0.0,1145.0,1345.0,1245.0,16.419013217305643,0.44,48.3,0.0,27.801330497512254,16.823349643226365,10.977980854285889,1218.1,1218.1,1220.523406872099,1192.7220763745868,0.8413446070293296,0.5292588445748555,0.312085762454474,0.1952853470340185,12.686172261599973,84.52400000000011,-64.88748863831775,-87.5350666497869,22.64757801146915,1250.0,1245.0,1247.5,1245.0,0.0,0.0,0.0,0.0,40.81336238199002,1307.4255,1313.049,32.0,4.0,28.0,1187.8708864,1164.0,0.0,0.0,63.11244277620038,0.0,0.0,0.0,87.82514955506839,48.28845768537213,44.0,62.0,-56.0,46.600000000000136,0.0,2.3309143888757,1.4202972606880635,0.910617128187636,47.81445285156264,42.18247702104198,5.631975830520652,1181.5701421110325,-4.046692607003887,-4.13084941649764,6.938421509106685,4.046703087185392,1036.9185791015625,2,2.0116322407705525,0.4706836319418244,1.7120505953568994,-0.1577279889833107,3.870214205887464,-0.5659601374119347,2.909227061053514,3.352492438501756,1.055594651653763,1.3269253885147947
2021-09-30,1224.0,1249.0,1223.0,1226.0,1036.9185791015625,921832,3197880.675993202,6817933,0.1256144674297068,17840764.441665314,-49358.23447222487,21163.836421900643,-105039.64401778586,1238.7728500868946,69.23748716341112,976.4645123585703,1218.8181818181818,1311.1173719330889,1126.5189917032749,15.14568645131615,0.5389050985868744,0.0,0.0,1226.4333333333334,1274.5333333333333,1178.3333333333337,7.843883347375844,0.4954954954954949,0.0,0.0,1145.0,1345.0,1245.0,16.40933840531066,0.405,46.07,0.0,26.178851906759974,18.69445009593309,7.484401810826885,1218.8181818181818,1218.8181818181818,1221.3659596610069,1195.1871077542469,0.8631551641075685,0.6176423356762566,0.2455128284313119,0.2206670854140675,13.822195103315025,83.80581818181827,-60.08315191917497,-82.13074051743689,22.04758859826192,1252.5,1245.0,1248.75,1245.0,0.0,0.0,0.0,0.0,19.922928709055764,1307.4255,1313.049,32.0,4.0,28.0,1194.156050944,1164.0,0.0,0.0,60.43495493685813,0.0,0.0,0.0,81.7921637777171,46.05409116391878,40.5,51.5,-59.5,38.53636363636383,0.0,2.190355948195422,1.5743089981895353,0.6160469500058867,38.33784907889004,41.4135514326116,-3.07570235372156,1184.6530530768423,-0.5677210056772131,-0.5693386668187195,6.3313096270598335,0.5677088064337568,1015.7742309570312,3,-1.0882953539413336,-2.4008762451636585,-2.264426629296736,0.0787397997889201,-0.4994652348459709,-1.6233781410006571,0.7590963103789505,0.7787043435371288,0.7112375533428121,-1.6663463661318616
2021-10-01,1222.0,1219.0,1158.0,1201.0,1015.7742309570312,2242772,4117049.528452218,4575161,0.1486263358457831,7282183.807141699,-129192.8024783616,7495.051067331351,-50966.95755521421,1235.039884566463,63.75795875605688,976.4645123585703,1217.3333333333333,1306.2502733516574,1128.4163933150091,14.608478644850624,0.4081539843253307,0.0,0.0,1228.8666666666666,1280.4666666666667,1177.2666666666669,8.397981880323337,0.2299741602067184,0.0,0.0,1145.0,1345.0,1245.0,16.42935377875137,0.28,48.263,0.0,22.61504273273158,19.478568623292787,3.136474109438794,1217.3333333333333,1217.3333333333333,1218.232735097775,1195.6176923650437,0.7867259901847897,0.6861144958805182,0.1006114943042715,0.234291853231608,14.98470990532514,-64.33333333333326,-58.01127346127019,-77.20702162512133,19.19574816385113,1251.5,1245.0,1248.25,1245.0,0.0,0.0,0.0,0.0,-39.946559786238886,1307.4255,1313.049,32.0,4.0,28.0,1194.156050944,1345.0,0.0,1.0,51.9571320416466,0.0,0.0,0.0,74.42955108307649,47.675709926649176,28.0,37.5,-72.0,28.791666666666742,0.0,1.8914944866696408,1.6377460958855563,0.2537483907840843,34.99110423987417,40.12906199406412,-5.137957754189948,1185.0125386290276,-2.039151712887444,-2.060229441617345,4.163052905464015,2.0391522122066448,1014.9284057617188,4,2.275506104376319,2.522197705945615,2.9120764699379578,2.75807266312043,2.6957757130403337,4.238551647129739,2.133651528507372,3.01084021262173,2.2206303724928347,4.073617455826934
