Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,jpx_4689.T_2021-09-15_2023-09-15_Close_percent,jpx_9984.T_2021-09-15_2023-09-15_Close_percent,jpx_4901.T_2021-09-15_2023-09-15_Close_percent,jpx_6594.T_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,asx_SQ2.AX_2021-09-15_2023-09-15_Close_percent,asx_SEK.AX_2021-09-15_2023-09-15_Close_percent,asx_GMG.AX_2021-09-15_2023-09-15_Close_percent,asx_ANZ.AX_2021-09-15_2023-09-15_Close_percent,asx_SGP.AX_2021-09-15_2023-09-15_Close_percent
2022-01-20,5260.0,5260.0,5111.0,5144.0,4605.90625,255539,2005313.4774556577,3042216,0.1312152099140058,-12857506.102229198,-2798790.00857012,-22790.34098922973,-4474.360185908712,5392.889033273362,41.46649502533133,1123.5631981504066,5302.5,5553.377260826878,5051.622739173122,9.4626029543377,0.1841084770345619,0.0,0.0,5324.933333333333,5442.333333333334,5207.533333333334,4.409444875679198,-0.270584894946055,0.0,1.0,5101.0,5569.0,5335.0,8.826025459688825,0.0918803418803418,129.93028385421584,3.73042527418598,-6.97196318297938,15.997787114693002,-22.969750297672384,5348.166666666667,5273.038461538462,5282.9730531526975,5289.945016335677,0.9368600682593856,0.9823663253697384,-0.0455062571103527,0.0462704267710642,24.14686774406024,233.5,8.081843461566153,12.676149605206316,-4.594306143640162,5300.0,5212.0,5256.0,5246.0,8.33150870986367,17.53650411011636,21.805492700009925,20.699646388315827,-87.09949935647735,5212.0,5246.0,56.00000000000001,4.0,52.00000000000001,5250.1256922575885,5499.7935616,0.0,0.0,41.46000394910672,0.0,0.0372507948132135,0.0409257750174361,-1.2148894722785404,43.61205614667171,7.205240174672489,13.229311714892368,-92.79475982532752,4.379411764706674,-4.7407407407407405,-0.1317965151140423,0.3007393637568578,-0.4325358788709001,-17.714780450062637,-7.580502383161899,-10.134278066900738,5281.698986348565,-2.205323193916353,-2.230003981430073,6.061855670103089,2.205333947636717,4608.5927734375,3,-0.3690593615861246,-2.1249116615200165,-0.0633585886383372,0.342616577183648,0.5522451994127664,0.0,1.7497535466262375,0.3053978713613929,-0.0700348281307441,1.6706572770101644
2022-01-21,5154.0,5228.0,5100.0,5147.0,4608.5927734375,225424,1945435.2274556577,3267640,0.1328047623861816,-10924109.23048217,-1220810.5614309036,-291477.26893907075,-5503.992718305944,5389.823484635649,36.70339132760358,1124.218464401272,5301.9,5554.200535076716,5049.599464923283,9.517363023697776,0.1930248285979661,0.0,0.0,5293.733333333334,5417.933333333333,5169.533333333334,4.692340629171592,-0.090713902308107,0.0,1.0,5100.0,5569.0,5334.5,8.845885437296063,0.1002132196162046,129.73725546879425,4.176464758765687,-17.302374708671778,9.337754750020046,-26.640129458691824,5315.75,5280.615384615385,5262.054121898436,5279.356496607108,0.8976691301876066,1.0722001137009665,-0.1745309835133598,0.0308638763333039,24.092813862214363,198.1000000000004,4.542686311086001,12.809637872827162,-8.26695156174116,5286.0,5232.0,5259.0,5246.0,4.165754354931835,16.360228194373565,20.283745061660056,19.85480791149391,-95.41872699767444,5212.0,5246.0,52.0,24.0,28.0,5250.1256922575885,5460.91420544,0.0,0.0,41.66530472886484,0.0088832794365484,0.0402118879587297,0.0382378258617189,-3.455575682747994,42.60245127009858,10.021321961620467,12.93338873240222,-89.97867803837953,-17.10588235294108,-7.026734104046242,-0.3277364337830097,0.1750442042488842,-0.502780638031894,-20.26124436339041,-10.1166507792076,-10.14459358418281,5260.586591471667,0.0583203732503978,0.0583033735299665,6.123711340206195,-0.0583277924404086,4479.65576171875,4,0.3326794353142901,0.7237134902005522,1.2283173616528842,1.0313664219576992,3.76091331511158,2.338223840027979,2.956985703974709,0.9628122171170048,1.644502301396173,2.184457436336615
2022-01-24,5249.0,5159.0,5000.0,5003.0,4479.65576171875,349486,1609137.3783990538,2918154,0.0967911004514397,-16552948.483270433,-3844360.002975799,-638453.2622977014,-9646.26337587826,5374.606036648537,31.85401040455132,1124.218464401272,5296.8,5568.21451692936,5025.3854830706405,10.248244862156762,-0.0412385515039836,0.0,1.0,5252.433333333333,5387.633333333333,5117.233333333334,5.148090091576596,-0.422460552268246,0.0,1.0,5000.0,5569.0,5284.5,10.74233499471379,0.0052724077328646,132.66352992191483,4.905509144451899,-36.68600340021203,0.1330031199736305,-36.81900652018566,5274.333333333333,5276.7307692307695,5222.199641606369,5258.885645006581,0.8067318132464713,1.1199782844733983,-0.3132464712269273,0.008716539699882,23.83996722963977,178.19999999999982,-1.2090602162816502,11.829632529431317,-13.038692745712964,5215.0,5232.0,5223.5,5246.0,2.0828771774659174,16.036578672816724,18.551798131622867,23.529671998040584,-159.15817165406105,5212.0,5246.0,48.0,100.0,-52.0,5250.1256922575885,5417.6045007872,0.0,0.0,35.27114614415207,0.0,0.0029610931455161,0.0268079253058198,-7.568515434415211,33.92950331930284,0.5272407732864675,5.917934303193142,-99.47275922671352,-38.63529411764648,-9.036363636363635,-0.6976003259368482,0.0005152982117377,-0.698115624148586,-19.81141766246877,-12.055604155859836,-7.755813506608934,5208.956494481079,-2.7977462599572567,-2.837628816454973,3.154639175257734,2.797752330427258,4459.95703125,0,1.7217081139047536,2.405689872939704,0.3461551124724451,4.168492116162398,0.3462059970414088,3.6231884057970944,-1.2119064308517975,-3.535131594010508,1.2095327770797013,-0.4962817648889626
2022-01-25,5105.0,5047.0,4967.0,4981.0,4459.95703125,402671,1347401.2283990537,2515483,0.0765288286475697,-15453778.985660372,-1440381.8501953208,-877319.490773915,-11548.421480082612,5340.686150293387,21.964867586982948,1124.218464401272,5289.85,5585.090427448542,4994.609572551459,11.162525494996704,-0.0230482875754385,0.0,1.0,5216.866666666667,5341.866666666667,5091.866666666667,4.792148543825796,-0.4434666666666672,0.0,1.0,4967.0,5569.0,5268.0,11.380284885204684,0.0232558139534883,127.39717692972336,5.515829417011052,-53.20951871808302,-10.5355012476377,-42.67401747044532,5233.166666666667,5264.192307692308,5185.092004436158,5238.301523154241,0.7592165898617511,1.271889400921659,-0.5126728110599079,-0.0178250979802236,23.68043582175859,182.14999999999964,-6.131953940972792,9.805552007014194,-15.937505947986985,5198.5,5268.0,5233.25,5246.0,1.0414385887329587,16.009278947439096,17.731431871176838,24.31327039177605,-180.10719439290867,5211.75,5246.0,44.0,100.0,-56.0,5250.1256922575885,5359.139870676991,0.0,0.0,34.40249839996628,0.0,0.0029610931455161,0.0153780247499206,-11.166179908927994,33.149945388481214,2.3255813953488373,4.291381376751924,-97.67441860465117,-89.36470588235352,-9.02283105022831,-1.0157780815573008,-0.2027433777420699,-0.8130347038152308,-18.2141526145717,-13.287313847602208,-4.926838766969491,5173.972532276807,-0.4397361583050152,-0.4407058414921394,2.7010309278350464,0.4397375940599488,4485.0283203125,1,-0.3217652948207785,5.340805260812218,1.6081239455218537,4.440404258757226,2.294977069552118,4.21052631578948,1.4026702164721598,2.347424887156663,3.6010126344806537,-0.4938244311920954
2022-01-27,4991.0,5026.0,4852.0,4971.0,4451.00341796875,886620,2044110.598513996,3018599,0.0621850403081979,-11402067.662934154,-1138255.3969005889,-992321.1242608856,1086.0031590597282,5166.483680427509,25.480011583603115,1115.6897557473992,5264.55,5610.1326818577545,4918.967318142246,13.128669377544302,0.0752825366972112,0.0,0.0,5140.966666666667,5271.966666666667,5009.966666666667,5.096317813122045,-0.1487277353689585,0.0,1.0,4852.0,5569.0,5210.5,13.619397669316466,0.1659693165969316,128.69171331307592,6.439694395915995,-73.54272906760343,-31.581714341964155,-41.96101472563928,5167.166666666667,5244.769230769231,5129.231553472042,5202.774282539645,0.6551724137931034,1.2532504239683435,-0.5980780101752403,-0.0730759200254161,23.680838551486,79.44999999999982,-20.166827296994263,2.372929033287188,-22.539756330281453,5141.0,5210.5,5175.75,5245.5,0.2603596471832397,16.96838202038635,15.218549754368055,27.136111053701672,-158.11939117579695,5167.75,5246.0,36.0,100.0,-64.0,5250.1256922575885,5234.405942922312,0.0,0.0,34.87986397756228,0.0184756819094917,0.0335670622923966,0.0213122190312707,-15.997587498039598,39.83139334828496,18.68131868131868,10.48215350540932,-81.31868131868131,-169.84705882352955,-6.2075471698113205,-1.4135291110823436,-0.606482541391536,-0.8070465696908076,4.994485821670479,-7.486643305797672,12.48112912746815,5097.008800662632,-0.7586344579756488,-0.7615267262943703,2.494845360824738,0.7586329430664449,4523.5302734375,3,3.2085537273402736,8.99923566385361,2.8824838634823493,6.170433204477916,3.135435261997273,5.3500811757996445,6.557941644247251,3.7150215442523935,-1.120657298006705,4.176903985007556
2022-01-28,5090.0,5120.0,4960.0,5052.0,4523.5302734375,1410171,2255636.248513996,4428770,0.0635448805124389,6544492.146056438,1145960.3126145694,-904775.3891322992,16251.838017217768,5136.538664521702,39.232459982426,1115.6897557473992,5254.45,5612.266419410845,4896.633580589155,13.619557495488394,0.2171035354759018,0.0,0.0,5115.7,5250.7,4980.7,5.277870086205212,0.2640740740740747,0.0,0.0,4852.0,5569.0,5210.5,13.645576606495446,0.2789400278940028,131.82254198176832,6.655299127574222,-74.25604115153419,-40.11657970387816,-34.13946144765603,5142.833333333333,5238.961538461538,5117.349776014805,5191.605817166339,0.7319148936170212,1.1835106382978724,-0.4515957446808512,-0.0971789632679462,23.833656811126108,142.55000000000018,-24.75820979327936,-2.423079528291328,-22.335130264988027,5141.0,5210.5,5175.75,5245.5,0.1301798235916198,16.702443271962498,18.98820211072862,24.78623057880725,-98.45431664118856,5167.75,5246.0,32.0,96.0,-64.0,5250.1256922575885,5157.92475433785,0.0,0.0,41.04440616073272,0.3285254713175098,0.1430755527315666,0.0680170388932875,-16.366825962522935,39.48249972736653,32.25806451612903,20.45964787900272,-67.74193548387096,-192.1323529411765,-5.4640718562874255,-1.4303096915794795,-0.7712479714291247,-0.659061720150355,14.544484517903072,-3.080417741057524,17.624902258960596,5092.502681138611,1.6294508147254083,1.6163177375707605,4.1649484536082415,-1.6294495568338192,4575.46337890625,4,0.4051654803348299,-2.1952244450939418,-1.3161411766227502,-0.6367494888351075,-3.94883323644369,0.9686137440866248,-4.047529400201611,-4.085325977352028,-1.4776400536989769,-0.256412241821792
2022-01-31,5075.0,5158.0,5051.0,5110.0,4575.46337890625,271594,2283557.127018669,4700364,0.0486783994482701,7859914.982334089,2541109.155577811,-644714.2190693264,26096.105398006774,5091.259057145431,50.02261085518848,1128.4985455006354,5242.55,5602.951151496493,4882.148848503507,13.749078272844065,0.3161076907640097,0.0,0.0,5101.3,5240.1,4962.5,5.441750142120643,0.531340057636887,0.0,0.0,4852.0,5569.0,5210.5,13.676550533614368,0.3598326359832636,129.3402877835915,6.709308783496229,-69.34190057738851,-45.96164387858023,-23.38025669880828,5118.916666666667,5237.076923076923,5116.219041243296,5185.560941820684,0.8542936288088643,1.1606648199445984,-0.3063711911357341,-0.1153523768505191,24.029213226929905,19.44999999999981,-28.51552213007636,-7.478980469474211,-21.036541660602147,5072.0,5210.5,5141.25,5245.5,0.0650899117958099,16.065933613701663,19.958344501324813,23.33116341949712,-62.52340508395863,5167.75,5246.0,28.000000000000004,92.0,-64.0,4852.0,5157.92475433785,1.0,0.0,45.05528129721343,0.5269134483971483,0.2913048672080499,0.1559824940773377,-15.487803798711134,43.5342693339531,44.63667820069204,31.858687132713253,-55.36332179930796,-189.2205882352937,-5.317769130998703,-1.3372111784119178,-0.8844406128256834,-0.4527705655862344,8.122621808452807,-0.8398098311554576,8.962431639608265,5093.411918621448,1.1480601741884475,1.1415199727368377,5.360824742268044,-1.1480658319831465,4577.25390625,0,-6.712283597606586,-4.504698044720243,-1.1399794926294078,-4.657195279050526,1.7549533073020314,-8.132912870752932,-3.461805294336898,-1.1338938472638915,3.421906092172989,-3.324806763335758
2022-02-01,5061.0,5162.0,5061.0,5112.0,4577.25390625,204854,2285585.384444412,4905218,0.0229742792658018,6795599.699143506,345123.8442988665,-563257.1254138729,3198.240240287701,5077.119381592491,54.60595735850855,1128.9402279059195,5228.15,5585.235577978162,4871.064422021837,13.660112199464908,0.3373639161547112,0.0,0.0,5083.733333333334,5210.233333333334,4957.233333333334,4.976657574485942,0.6117259552042151,0.0,0.0,4852.0,5569.0,5210.5,13.71422013522948,0.3626220362622036,126.50625900523237,6.793195059202147,-64.54202519220416,-49.677720141305024,-14.86430505089914,5106.416666666667,5237.346153846154,5115.569957975096,5180.1119831673,0.8544548976203652,1.1184283342556725,-0.2639734366353072,-0.1284877192199137,24.23467705576958,33.850000000000364,-31.42857373292229,-12.43402577613035,-18.99454795679194,5056.0,5210.5,5133.25,5245.5,0.0325449558979049,15.433082611357523,19.057424347697445,22.01727524299167,-53.74652789397938,5167.75,5246.0,24.0,88.0,-64.0,4858.12,5157.92475433785,0.0,0.0,45.19374340833138,0.533762132834373,0.4630670175163437,0.2991491458186534,-14.735676759054533,44.85044703331124,44.982698961937714,40.6258138929196,-55.017301038062286,-173.14411764705892,-2.8506271379703536,-1.245958106734614,-0.9567441116074696,-0.2892139951271444,1.696264709147267,-0.3325949230949127,2.0288596322421792,5094.118877135494,0.03913894324854,0.0391312859621351,5.402061855670093,-0.0391332460883546,4575.46337890625,1,-0.3119073400740575,-1.1175453103786452,-0.3669757579327353,0.6937597593659319,-2.723011098882907,-6.065295250613389,-0.4139422071864942,-1.59550779522219,0.0,0.0
2022-02-02,5118.0,5157.0,5105.0,5110.0,4575.46337890625,196480,2126889.999829028,4708738,-0.0548743822031488,5768662.599265862,516083.0618892508,-491751.4511518817,3.307581256182445,5072.928624977321,55.01115726224702,1128.4985455006356,5206.85,5537.807565255726,4875.892434744274,12.712390994775188,0.3536821481552086,0.0,0.0,5071.9,5191.9,4951.9,4.731954494370946,0.6587500000000015,0.0,0.0,4852.0,5569.0,5210.5,13.77032178764512,0.3598326359832636,119.05563310470912,6.803911135762672,-60.205461569143154,-51.78326842687265,-8.422193142270501,5093.75,5236.961538461538,5114.713041363542,5174.918502932685,0.8807758128921849,1.1237877923559612,-0.2430119794637762,-0.1375160109204327,24.32034353331581,19.14999999999964,-34.84015821866843,-17.203137073934194,-17.637021144734234,5040.0,5210.5,5125.25,5245.5,0.0162724779489524,14.845435252037968,18.48039241056108,21.35062319431316,-42.27813536181,5168.25,5246.0,20.0,84.0,-64.0,4870.2752,5157.92475433785,0.0,0.0,45.07142523987175,0.8172779516306249,0.6259845109540487,0.4601187985594808,-14.147472748891497,47.31316588701608,44.63667820069204,44.75201845444061,-55.36332179930796,-152.19705882352991,-2.888635499809958,-1.1634088833480958,-0.9980770659555948,-0.1653318173925009,-3.995827375202806,-1.0652414135164914,-2.9305859616863144,5095.090558471331,-0.0391236306729214,-0.0391312859621351,5.360824742268044,0.0391179379694222,4586.20751953125,2,-5.994120442805155,-2.6445646682943504,-1.6714536701203997,-2.6946190823383347,-2.01992836384683,5.636678778330705,-1.7176275701357753,-0.7640128874879224,-1.3569447830722368,-0.4950467783503569
2022-02-03,5180.0,5196.0,5074.0,5122.0,4586.20751953125,239517,2075845.3932716504,4948255,-0.0847030206676643,5355168.513656454,203743.36685913737,-364888.7884253982,485.59642665735663,5067.360613183716,58.5956788333111,1128.4985455006356,5187.95,5491.852270475227,4884.047729524773,11.71569774092761,0.3914947231278158,0.0,0.0,5067.8,5185.1,4950.5,4.629227672757417,0.7310315430520022,0.0,0.0,4852.0,5498.0,5175.0,12.451931880607948,0.4179566563467492,119.3500697942382,6.711859604503281,-55.16450190356409,-52.45951512221095,-2.704986781353142,5085.083333333333,5233.538461538462,5115.834111922997,5170.998613826561,0.8960739030023095,1.1027713625866051,-0.2066974595842956,-0.142696360668522,24.44086835134543,72.05000000000018,-36.57748684065625,-21.77204520190556,-14.805441638750692,5024.0,5210.5,5117.25,5245.5,0.0081362389744762,13.856794312841354,19.438846409072088,19.833320442232434,-33.425758693495375,5178.25,5246.0,16.0,80.0,-64.0,4881.944192,5157.92475433785,0.0,0.0,46.01552410832913,0.8895993013715962,0.7468797952788647,0.611977107916419,-13.402186408934169,49.01676259797479,46.71280276816609,45.44405997693195,-53.28719723183391,-115.9676470588238,-1.9900497512437807,-1.0668055828918916,-1.0118227693428543,-0.0549828135490373,-8.186374947269965,-2.489468120267186,-5.6969068270027785,5095.351553643482,0.2348336594911959,0.2345583561721653,5.608247422680401,-0.2348208199967842,4463.53857421875,3,3.455007894716374,0.1153652036562391,0.9118966720245538,2.8182804021333965,1.543405662246343,9.749303437000847,0.5741263052446044,0.0421365918525395,-0.6694046746086855,0.7389154687150068
