Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,jpx_6594.T_2021-09-15_2023-09-15_Close_percent,ssx_600905.SS_2021-09-15_2023-09-15_Close_percent,ssx_003816.SZ_2021-09-15_2023-09-15_Close_percent,jpx_8267.T_2021-09-15_2023-09-15_Close_percent,jpx_6273.T_2021-09-15_2023-09-15_Close_percent,ssx_601985.SS_2021-09-15_2023-09-15_Close_percent,jpx_7741.T_2021-09-15_2023-09-15_Close_percent,jpx_6758.T_2021-09-15_2023-09-15_Close_percent,jpx_9101.T_2021-09-15_2023-09-15_Close_percent,asx_SQ2.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,3141.0,3205.0,3072.0,3095.0,2824.779052734375,1979013,-1294542.3383458648,1979013,-0.6541353383458647,0.0,0.0,0.0,-256181.6871551267,3124.0,50.0,1000.0,3095.0,3095.0,3095.0,0.0,0.0,0.0,0.0,3124.0,3257.0,2991.0,8.51472471190781,0.3909774436090225,0.0,0.0,3072.0,3205.0,3138.5,4.297253634894991,0.1729323308270676,0.0,0.0,0.0,0.0,0.0,3095.0,3095.0,3095.0,3095.0,0.0,0.0,0.0,-11.665224700856262,1.0,443.474732910156,-125.32934848609986,-125.32934848609986,0.0,3138.5,3138.5,3138.5,3138.5,0.0,0.0,0.0,0.0,0.0,3519.157836425781,3513.73879296875,4.0,4.0,0.0,3007.0,3205.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.293233082706767,17.293233082706767,-82.70676691729324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.0,-12.532934848609989,0.0,0.0,-0.0,2787.358642578125,2,-0.1120314418672159,-0.0617002592908986,0.0404591996407265,0.0086414407715575,-0.0060343457109082,0.0485917170905964,-0.0025607331010446,0.0214169365101025,0.0712868694127466,-0.0616314270951297
2021-09-16,3102.0,3124.0,3028.0,3054.0,2787.358642578125,1497680,-1980979.0050125315,481333,-0.5697883031410974,-61404880.0,-400619.625020031,-400619.625020031,-267868.4357836641,3100.163662806389,0.0,986.7528271405492,3074.5,3115.5,3033.5,2.667100341518946,0.25,0.0,0.0,3096.333333333333,3210.833333333333,2981.833333333333,7.395844547314027,0.315138282387192,0.0,0.0,3028.0,3205.0,3116.5,5.757033664010408,0.1468926553672316,0.0,0.0,-3.270655270655425,-0.654131054131085,-2.61652421652434,3074.5,3074.5,3088.692307692308,3091.962962962963,0.0924485971680188,0.3146808018988333,-0.2222322047308145,-0.0025873384491114,1.9549878345498783,463.974732910156,-131.12280514394635,-128.2260768150231,-2.896728328923245,3116.5,3116.5,3116.5,3116.5,0.0,0.0,0.0,0.0,-66.66666666666612,3519.157836425781,3513.73879296875,4.0,8.0,-4.0,3007.0,3205.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,11.353711790393016,14.689265536723164,15.991249309714966,-85.31073446327683,0.0,0.0,-0.1057792512340194,-0.0211558502468038,-0.0846234009872155,-1.975802737793939,-0.3951605475587877,-1.5806421902351508,3073.3415298414748,-1.3247172859450762,-1.3335699340119689,-1.3247172859450762,-1.3247198969429943,2812.00146484375,3,-0.0,-2.272724932056633,-2.3333334737234,0.2935534708996812,-0.7360390386603939,-1.1940206172504162,0.9832491901091772,0.8216934878597897,-2.801936998260615,-0.0616314270951297
2021-09-17,3084.0,3093.0,3007.0,3081.0,2812.00146484375,4604173,1338308.5066153756,5085506,0.1656144906517909,-34873801.28571429,-48564.63907850552,-224592.13204926823,20864.843503527776,3077.46984168116,0.0,986.7528271405492,3076.6666666666665,3110.6993307149337,3042.6340026184,2.212307522097541,0.5636643274118607,0.0,0.0,3084.333333333333,3189.333333333333,2979.333333333333,6.808602615367988,0.4841269841269834,0.0,0.0,3007.0,3205.0,3106.0,6.435536294691224,0.3737373737373737,0.0,0.0,-3.642015892728523,-1.2517080218505727,-2.39030787087795,3076.6666666666665,3076.6666666666665,3087.5088757396447,3091.1508916323733,0.1804233751328133,0.4533715580260437,-0.2729481828932304,-0.0050880380462186,2.8689930538862773,461.8080662434895,-130.51048858661298,-128.98754740555307,-1.522941181059906,3106.0,3106.0,3106.0,3106.0,0.0,0.0,0.0,0.0,-60.50420168067215,3519.157836425781,3513.73879296875,4.0,8.0,-4.0,3007.0,3205.0,0.0,1.0,41.49286498353458,0.0,0.0,0.0,-98.54721549636804,31.746031746031747,37.37373737373738,23.118745331055766,-62.62626262626262,0.0,0.0,-0.1178207088688979,-0.0404888219712227,-0.0773318868976752,8.398629617433075,1.363597485439585,7.03503213199349,3076.963330322886,0.8840864440078589,0.8802012818090788,-0.4523424878836835,0.8840922689027195,3221.7998046875,4,-0.5769839444433273,9.966773853624176,1.0238920801515974,-1.1382210093637752,1.4318557818413922,4.229608093999502,-2.2894710480952654,0.3667485208244727,2.8827086792979344,-0.0616314270951297
2021-09-20,3290.0,3629.0,3186.0,3530.0,3221.7998046875,6031785,4674171.542732757,11117291,0.3312043600265291,357004093.8979591,2625632.3791381824,725482.7050132152,919728.3893127216,3235.9778956247605,52.67617853592894,986.7528271405492,3190.0,3583.702933694937,2796.297066305063,24.68356951065437,0.9317976460183692,0.0,0.0,3175.333333333333,3364.833333333333,2985.833333333333,11.935754776401428,1.435795954265611,1.0,0.0,3007.0,3629.0,3318.0,19.49843260188088,0.8408360128617364,0.0,0.0,31.926200325223363,5.383873647564215,26.542326677659148,3190.0,3190.0,3155.584433318161,3123.658232992938,0.6176478112517667,0.3234502069748765,0.2941976042768902,0.0209231559084949,4.178512768627331,348.47473291015604,-98.48162251071358,-121.3610661818432,22.87944367112962,3318.0,3318.0,3318.0,3318.0,0.0,0.0,0.0,0.0,133.33333333333323,3519.157836425781,3513.73879296875,16.0,8.0,8.0,3007.0,3205.0,1.0,0.0,93.06038238504912,0.0,0.0,0.0,-75.83584637040875,63.615295480880654,84.08360128617363,45.38220139887806,-15.916398713826366,0.0,0.0,1.02207725505979,0.1720243934349798,0.8500528616248102,19.04439039227863,4.899756066807393,14.144634325471236,3111.5219042001368,14.57319052255761,13.604365133067551,14.05492730210016,14.573190838167662,3284.775390625,0,-0.5769839444433273,9.966773853624176,1.0238920801515974,-1.1382210093637752,1.4318557818413922,4.229608093999502,-2.2894710480952654,0.3667485208244727,2.8827086792979344,-0.0616314270951297
2021-09-21,3528.0,3707.0,3529.0,3599.0,3284.775390625,3369269,3954889.3966653408,14486560,0.226227405037052,339214874.91253644,1112080.988487414,822132.275881765,944881.7525389552,3308.3839316848494,63.82464862450564,1006.0406302772908,3271.8,3752.4885062075023,2791.111493792498,29.383734104010152,0.8403451463625752,0.0,0.0,3262.6,3449.8,3075.4,11.475510329185315,1.398504273504273,1.0,0.0,3007.0,3707.0,3357.0,21.39495079161318,0.8457142857142858,0.0,0.0,64.93347855495449,17.29379462904227,47.63968392591222,3271.8,3271.8,3223.802212807675,3158.8687342527205,0.9167138324414446,0.354317171745225,0.5623966606962196,0.069217171728624,5.406864026362499,266.67473291015585,-75.36431740769676,-112.1617164270139,36.79739901931714,3357.0,3357.0,3357.0,3357.0,0.0,0.0,0.0,0.0,108.78417684700406,3519.157836425781,3513.73879296875,20.0,8.0,12.0,3007.0,3205.0,0.0,0.0,93.94378043590366,0.0,0.0,0.0,-58.107996275401256,59.462055715658025,84.57142857142857,68.67625574377986,-15.428571428571429,0.0,0.0,2.0555928092502875,0.5487380765980414,1.506854732652246,18.66829366667248,7.653463586780411,11.014830079892068,3134.6542950555017,1.9546742209631816,1.9358158151687728,16.284329563812605,1.954670983773568,3300.291259765625,1,-3.1918855581289165,9.966773853624176,1.0238920801515974,-0.7236783818087105,-2.5334052771321325,4.229608093999502,-0.8079714064473507,0.2029966345696152,-2.801936998260615,-0.0616314270951297
2021-09-22,3656.0,3721.0,3578.0,3616.0,3300.291259765625,5597889,1332102.2428191868,20084449,0.0577172125999477,304350480.35360265,80467.83349937807,673799.3874052876,92300.05336145466,3388.411462503871,74.05469609038127,1006.0406302772908,3329.1666666666665,3837.467649243809,2820.865684089524,30.536229241180045,0.7821491037446519,0.0,0.0,3325.222222222222,3505.055555555555,3145.3888888888887,10.816319711297488,1.308464627741737,1.0,0.0,3007.0,3721.0,3364.0,21.4468085106383,0.8529411764705882,0.0,0.0,91.41002442092712,32.11704058741924,59.29298383350789,3329.1666666666665,3329.1666666666665,3284.1403339141866,3192.7303094932595,0.956852834851101,0.405937566300467,0.5509152685506339,0.1312210361167688,6.542820464826818,209.30806624348952,-59.152059020454736,-103.32677352592071,44.17471450546598,3364.0,3364.0,3364.0,3364.0,0.0,0.0,0.0,0.0,86.65436654366549,3519.157836425781,3513.73879296875,24.0,8.0,16.0,3035.0,3205.0,0.0,0.0,94.1416507613371,0.0,0.0,0.0,-45.22405125741961,55.48986486486486,85.29411764705883,84.649715834887,-14.705882352941176,36.94999999999982,0.0,2.863067517764613,1.011603964831356,1.8514635529332573,23.53048718902262,10.828868307228852,12.701618881793769,3158.9075346488776,0.4723534315087541,0.4712413433036744,16.833602584814212,0.4723570806365842,3366.0048828125,2,-2.8849750785527,9.969794131989502,8.783789090712887,-0.7952289751415265,-0.6077835597668724,10.000002171249804,-0.7874006423058404,0.1620827338910402,1.0934419144314518,-0.0616314270951297
2021-09-23,3550.0,3702.0,3573.0,3688.0,3366.0048828125,3292856,3910229.8087106594,23377305,0.148268284934824,294741216.303088,-47010.86230311924,553664.3457872197,92007.53759771028,3421.614114867294,77.76900428145152,1026.0724127385645,3380.428571428572,3913.839008032085,2847.018134825058,31.55874619637911,0.7883065342045864,0.0,0.0,3372.2380952380954,3544.809523809524,3199.666666666667,10.23483061976643,1.4148730684326714,1.0,0.0,3007.0,3721.0,3364.0,21.12158221696319,0.953781512605042,0.0,0.0,116.85563700058174,49.06475987005175,67.79087713052999,3380.428571428572,3380.428571428572,3346.272590235081,3229.4169532344995,0.9571965900833526,0.464021697223148,0.4931748928602045,0.203858619565123,7.6036142925692465,158.04616148158448,-44.665052999149815,-94.946527736382,50.2814747372322,3364.0,3364.0,3364.0,3364.0,0.0,0.0,0.0,0.0,76.20832873892745,3519.157836425781,3513.73879296875,28.000000000000004,8.0,20.000000000000004,3076.16,3205.0,0.0,0.0,94.90144260515504,0.0,0.0,0.0,-33.81494277430351,58.7966488956588,95.3781512605042,88.41456582633053,-4.621848739495798,104.35714285714266,0.0,3.618474749243581,1.532978121713801,2.08549662752978,21.23653395947145,12.910401437677372,8.326132521794083,3176.380084091978,1.9911504424778848,1.9715863164416088,19.159935379644576,1.9911461708849885,3314.89404296875,3,-2.8849750785527,-4.395605426905746,4.347818239064978,-0.7952289751415265,-0.6077835597668724,3.689058611900293,-0.7874006423058404,0.1620827338910402,1.0934419144314518,-0.0616314270951297
2021-09-27,3730.0,3765.0,3598.0,3632.0,3314.89404296875,2035294,2703678.275776528,21342011,0.095173267314858,236352976.2597897,361028.9226028279,526144.999618021,34661.03568617664,3439.0515461060286,79.58106403245057,1010.4921374909072,3411.875,3937.849749869231,2885.900250130769,30.83200585421394,0.7092543416340119,0.0,0.0,3408.833333333333,3580.708333333333,3236.958333333333,10.084095242751674,1.149212121212121,1.0,0.0,3007.0,3765.0,3386.0,22.21652317274226,0.8245382585751979,0.0,0.0,130.99273361426458,65.45035461889432,65.54237899537026,3411.875,3411.875,3390.230653275838,3259.2379196615734,0.974923977662936,0.4786391474046541,0.496284830258282,0.2763131623691627,8.653642899319516,126.59973291015604,-35.778051976094325,-87.55046826634604,51.77241629025172,3386.0,3386.0,3386.0,3386.0,0.0,0.0,0.0,0.0,70.17063288249722,3519.157836425781,3513.73879296875,28.000000000000004,8.0,20.000000000000004,3114.8504,3205.0,0.0,0.0,85.60225926842892,0.0,0.0,0.0,-26.18517517088488,57.53215353438071,82.45382585751979,87.70869825502761,-17.54617414248021,191.48750000000013,0.0,4.019121550594452,2.0302068074899315,1.9889147431045204,16.171590648208113,13.562639279783522,2.6089513684245915,3193.0155383158544,-1.5184381778741818,-1.5300844955300263,17.350565428109867,-1.5184422371082178,3333.14794921875,0,-0.7933514358939675,-3.234886512556073,-0.9146352972936428,-0.597409441827466,-2.580650160076118,-2.890941459519852,-1.0187687966218135,-0.2692310353745313,-6.551418454357162,-0.0616314270951297
2021-09-28,3775.0,3675.0,3605.0,3652.0,3333.14794921875,671765,2933997.7043479565,22013776,0.1008949639394086,204507593.93696263,-432442.89297596633,406321.5130437725,-27205.53465221172,3443.7860201378344,77.50780462557069,1016.0565215079278,3438.555555555556,3956.9085979342126,2920.2025131768987,30.14946444830137,0.7058871338585905,0.0,0.0,3434.962962962963,3595.5185185185187,3274.4074074074074,9.3483136375399,1.1758938869665507,1.0,0.0,3007.0,3765.0,3386.0,22.04413998125828,0.8509234828496042,0.0,0.0,142.17145337012107,80.79457436913968,61.37687900098139,3438.555555555556,3438.555555555556,3430.5028604641707,3288.3314070940496,0.9795724719647771,0.5457997296367431,0.4337727423280341,0.3459518677600017,9.59593278788638,99.91917735460038,-28.237923087393,-80.9601854686846,52.7222623812916,3386.0,3386.0,3386.0,3386.0,0.0,0.0,0.0,0.0,59.61761909791903,3519.157836425781,3513.73879296875,28.000000000000004,8.0,20.000000000000004,3166.862368,3205.0,0.0,0.0,86.12516856550775,0.0,0.0,0.0,-19.9650596683525,59.35901792037173,85.09234828496042,87.6414418009948,-14.907651715039576,212.13333333333367,0.0,4.323513532225155,2.488868152436976,1.8346453797881788,8.133356829783844,12.476782789783586,-4.343425959999742,3205.911605481724,0.5506607929515406,0.5491501993676096,17.996768982229394,0.5506633398650678,3362.3544921875,1,-1.5993916685559952,8.430226372213966,7.69231486964614,-0.7512477464702698,-2.8079413622674707,4.194861674395568,-0.7854811693731847,-0.3470886587282535,-8.179150496966088,-0.0616314270951297
2021-09-29,3775.0,3697.0,3617.0,3684.0,3362.3544921875,2447785,4586252.579347957,24461561,0.1454682822974678,186482097.6602537,55560.43525064497,367348.0599556472,25147.42687007541,3461.0386374218992,79.4686007508354,1016.0565215079278,3463.1,3976.430653672659,2949.7693463273404,29.6457309158072,0.7151634608410348,0.0,0.0,3458.0666666666666,3610.5666666666666,3305.5666666666666,8.819957201519154,1.240765027322405,1.0,0.0,3007.0,3765.0,3386.0,21.887903901129047,0.8931398416886543,163.0,0.0,151.86222863901048,95.00810522311384,56.85412341589664,3463.1,3463.1,3469.50242039276,3317.6401917537496,0.9865163872667124,0.5531010823808207,0.4334153048858916,0.4117127282481395,10.478043957231712,75.37473291015613,-21.3014755225242,-69.4015329171762,48.100057394652,3386.0,3386.0,3386.0,3386.0,0.0,0.0,0.0,0.0,61.28664623123479,3519.157836425781,3513.73879296875,28.000000000000004,8.0,20.000000000000004,3214.7133785599995,3205.0,0.0,0.0,86.94232027380319,0.0,0.0,0.0,-14.444918478055428,59.82211588127285,89.31398416886543,85.62005277044854,-10.686015831134563,197.54999999999973,0.0,4.5774170754404215,2.906577937037665,1.6708391384027563,6.542402825095279,11.289906796845926,-4.747503971750647,3216.854253043876,0.8762322015334112,0.8724155660337019,19.03069466882068,0.8762450216347446,3431.718505859375,2,-2.909227061053514,-5.36192847094317,-4.28571944290016,-1.026076480548312,-3.352492438501756,-5.454543449920422,-4.022982968879205,-3.49107821285601,1.1917487539481613,-0.0616314270951297
