Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,jpx_6920.T_2021-09-15_2023-09-15_Close_percent,asx_SQ2.AX_2021-09-15_2023-09-15_Close_percent,jpx_6594.T_2021-09-15_2023-09-15_Close_percent,jpx_4901.T_2021-09-15_2023-09-15_Close_percent,asx_XRO.AX_2021-09-15_2023-09-15_Close_percent,jpx_6723.T_2021-09-15_2023-09-15_Close_percent,jpx_6902.T_2021-09-15_2023-09-15_Close_percent,jpx_7741.T_2021-09-15_2023-09-15_Close_percent,asx_WES.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,2501.0,2588.0,2501.0,2576.0,2563.133056640625,195452,141534.20689655174,195452,0.7241379310344829,0.0,0.0,0.0,46148.48791134804,2555.0,50.0,1000.0,2576.0,2576.0,2576.0,0.0,0.0,0.0,0.0,2555.0,2642.0,2468.0,6.8101761252446185,0.6206896551724138,0.0,0.0,2501.0,2588.0,2544.5,3.377329192546584,0.8620689655172413,0.0,0.0,0.0,0.0,0.0,2576.0,2576.0,2576.0,2576.0,0.0,0.0,0.0,22.06651996456248,1.0,-488.2959999999998,233.891394565513,233.891394565513,0.0,2544.5,2544.5,2544.5,2544.5,0.0,0.0,0.0,0.0,0.0,2093.617,2115.466,4.0,4.0,0.0,2531.0,2588.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,86.20689655172414,86.20689655172414,-13.79310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2576.0,23.3891394565513,0.0,0.0,0.0,2616.863037109375,2,-0.014493428583670608,0.020757819750889386,0.061631427095129754,0.11203144186721595,0.0072997914732889505,0.0027976392910256634,-0.1319098804422668,-0.06509638582194176,0.0025607331010446695,-0.0133089841418221
2021-09-16,2590.0,2631.0,2590.0,2630.0,2616.863037109375,693285,801000.4264087469,888737,0.9012794858419836,37437390.0,390315.6710443757,390315.6710443757,60247.68914254411,2603.3648931011085,100.0,1000.0,2603.0,2657.0,2549.0,4.1490587783326935,0.75,0.0,0.0,2586.0,2650.0,2522.0,4.949729311678268,0.84375,0.0,0.0,2501.0,2631.0,2566.0,4.994237418363427,0.9923076923076924,0.0,0.0,4.307692307692378,0.8615384615384756,3.4461538461539023,2603.0,2603.0,2584.3076923076924,2580.0,0.2341093759004207,0.0036016827061603,0.2305076931942604,0.0040942837732919,1.9135744480976984,-515.2959999999998,246.8242624433348,240.35782850442388,6.466433938910882,2566.0,2566.0,2566.0,2566.0,0.0,0.0,0.0,0.0,66.66666666666667,2093.617,2115.466,8.0,4.0,4.0,2531.0,2588.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,38.0281690140845,99.23076923076924,92.71883289124668,-0.7692307692307693,0.0,0.0,0.1669648181276115,0.0333929636255223,0.1335718545020892,17.093542386621955,3.418708477324391,13.674833909297565,2598.5042418683724,2.0962732919254767,2.07460379475668,2.0962732919254767,-2.096261851469052,2518.357421875,3,-1.039268734542972,2.4879147060054123,0.061631427095129754,0.0,1.2581077664318627,-1.385058574443519,2.183098591549296,0.266871144927606,-0.9832491901091772,-0.582525276583084
2021-09-17,2628.0,2636.0,2531.0,2531.0,2518.357421875,2335359,-1534358.5735912533,-1446622,-0.4759035008855981,-939457.2857142836,-121394.61213457974,134460.52945489797,-73375.80265864488,2576.29980589908,23.240166990821866,1000.0,2579.0,2659.944425379392,2498.055574620608,6.277194678510448,0.2035002733355594,0.0,0.0,2579.333333333333,2657.0,2501.6666666666665,6.022227965882663,0.188841201716739,0.0,0.0,2501.0,2636.0,2568.5,5.234587049243893,0.2222222222222222,0.0,0.0,-0.2638614946304187,0.6364584703046968,-0.9003199649351156,2579.0,2579.0,2576.10650887574,2576.37037037037,0.266547124320002,0.1544761743218193,0.1120709499981826,0.0032411752842757,2.8954561127197613,-491.2959999999998,235.328379885271,238.6813456313729,-3.352965746101916,2568.5,2568.5,2568.5,2568.5,0.0,0.0,0.0,0.0,-35.398230088495914,2093.617,2115.466,8.0,12.0,-4.0,2531.0,2588.0,0.0,1.0,33.62068965517241,0.0,0.0,0.0,96.00725952813067,21.86234817813765,22.22222222222222,69.21996266823852,-77.77777777777777,0.0,0.0,-0.0102415979342475,0.0246660513135683,-0.0349076492478159,51.88408446704108,13.11178367526773,38.77230079177335,2585.4749712397697,-3.764258555133082,-3.8369364626686497,-1.7468944099378936,3.764263312121443,2604.923095703125,4,-0.172351340789632,-2.1615983886659222,0.061631427095129754,0.5769839444433273,0.8898816249018751,-1.6910956729860942,-3.383729301655862,0.0637188359807083,2.2894710480952654,-0.5264919402729618
2021-09-20,2614.0,2633.0,2560.0,2618.0,2604.923095703125,1508029,-646067.5187967326,61407,-0.1365279908702185,17937397.040816326,62929.82429382989,110616.96106787528,-36072.31602366398,2585.021050514656,48.92698428417915,1034.373765310154,2588.75,2666.562274096057,2510.9377259039425,6.0115711517958506,0.6879523528890282,0.0,0.0,2585.4166666666665,2661.9166666666665,2508.9166666666665,5.917808219178083,0.7129629629629639,0.0,0.0,2501.0,2636.0,2568.5,5.214872042491551,0.8666666666666667,0.0,0.0,3.0976147171631965,1.1286897196763968,1.9689249974868,2588.75,2588.75,2582.551661356395,2579.454046639232,0.364687732849182,0.2335050951336489,0.1311826377155331,0.0057003033528018,3.861346818317721,-501.0459999999998,239.99858217448443,239.0106547671508,0.9879274073336148,2568.5,2568.5,2568.5,2568.5,0.0,0.0,0.0,0.0,48.829431438127166,2093.617,2115.466,8.0,12.0,-4.0,2531.0,2588.0,1.0,0.0,59.23160467010589,0.0,0.0,0.0,92.98834670041776,40.40114613180516,86.66666666666667,69.37321937321938,-13.333333333333334,0.0,0.0,0.1200879977373148,0.0437504405983176,0.0763375571389972,55.135732163810935,21.51657337297637,33.61915879083456,2592.3538027295563,3.4373765310154125,3.3796185924720668,1.6304347826086918,-3.437386332702289,2651.68798828125,0,3.5966014881625483,-2.1615983886659222,0.061631427095129754,0.5769839444433273,0.8898816249018751,4.5258918789287605,-3.383729301655862,0.0637188359807083,2.2894710480952654,0.6633901367534776
2021-09-21,2629.0,2665.0,2629.0,2665.0,2651.68798828125,254281,-391786.5187967327,315688,-0.0785709223831217,17082227.034985423,714957.0750468969,261701.9895626307,56401.64905983226,2588.4876264922405,51.7037894940946,1052.9435005926512,2604.0,2696.546204676367,2511.453795323633,7.108003431364583,0.8295651086574343,0.0,0.0,2598.9333333333334,2667.333333333333,2530.5333333333333,5.2636979273548015,0.9829434697855772,0.0,0.0,2501.0,2665.0,2583.0,6.29800307219662,1.0,0.0,0.0,9.445237222504147,2.791999220241947,6.6532380022622,2604.0,2604.0,2595.236021147719,2585.790783925215,0.4732508254087504,0.2248868152072913,0.2483640102014591,0.0138241060569354,4.744736829444329,-516.2959999999998,247.3032575499208,240.6691753237048,6.63408222621598,2583.0,2583.0,2583.0,2583.0,0.0,0.0,0.0,0.0,117.23041341428164,2093.617,2115.466,20.0,12.0,8.0,2531.0,2588.0,0.0,0.0,66.70523484895865,0.0,0.0,0.0,90.71828447367712,47.474747474747474,100.0,69.62962962962963,-0.0,0.0,0.0,0.3652746108162059,0.1080552746418953,0.2572193361743106,44.49912419456791,26.11308353729468,18.386040657273224,2608.674178736034,1.79526355996944,1.779339013009995,3.454968944099379,-1.7952504108572214,2618.852783203125,1,1.013294724046219,1.109958005038962,0.061631427095129754,3.1918855581289165,1.0917247670272872,-0.8811534144147686,4.456824512534823,1.3132716240420024,0.8079714064473507,-0.861149788023809
2021-09-22,2599.0,2679.0,2599.0,2632.0,2618.852783203125,173830,-422206.7687967327,141858,-0.0818192750867853,13822424.601416076,-368175.8039463844,135726.43086082768,2412.522575702633,2590.1106070213327,49.86194922705994,1039.905175819834,2608.6666666666665,2695.689013732744,2521.644319600589,6.671787406037128,0.6340651804967756,0.0,0.0,2605.222222222222,2675.555555555555,2534.8888888888887,5.399411438563563,0.6903633491311238,0.0,0.0,2501.0,2679.0,2590.0,6.823409148990544,0.7359550561797753,0.0,0.0,11.678329074580688,4.569265191109695,7.109063883470993,2608.6666666666665,2608.6666666666665,2600.892017894224,2589.213688819644,0.4869019988845109,0.2788722764973642,0.2080297223871467,0.0228623838232526,5.665271287953472,-520.9626666666663,249.5385680473221,242.14740744430767,7.391160603014384,2590.0,2590.0,2590.0,2590.0,0.0,0.0,0.0,0.0,69.10866910866889,2093.617,2115.466,20.0,12.0,8.0,2536.36,2588.0,0.0,0.0,58.584563250784846,0.0,0.0,0.0,87.70560689663176,46.42857142857143,73.59550561797752,86.75405742821472,-26.40449438202247,11.800000000000182,0.0,0.4510376692742012,0.1766517535683565,0.2743859157058447,34.29326474166012,27.749119778167767,6.54414496349235,2612.936040883071,-1.23827392120075,-1.2460044154736671,2.1739130434782705,1.238275589859569,2695.46826171875,2,-0.3780493865914565,1.262726206955847,0.061631427095129754,2.8849750785527,0.9387217682045588,-0.7854314056021394,1.3848396501457785,1.7183493879378062,0.7874006423058404,0.2787906576186145
2021-09-23,2600.0,2719.0,2600.0,2709.0,2695.46826171875,2350462,1533219.6009511666,2492320,0.2041380975444847,37702874.515499495,103788.10633824328,130403.37677373028,66611.02440022354,2616.9895674587547,66.32465017549379,1039.905175819834,2623.0,2729.872420603794,2516.127579396206,8.148869279740307,0.9023488918568896,0.0,0.0,2615.333333333333,2692.619047619048,2538.047619047619,5.91019991988638,1.1059765865680862,1.0,0.0,2501.0,2719.0,2610.0,8.311094166984368,0.9541284403669724,0.0,0.0,19.437266234189792,7.542865399725715,11.894400834464076,2623.0,2623.0,2617.524015141267,2598.086748907077,0.5484500583162089,0.3243095281544309,0.2241405301617779,0.0379118252283866,6.6919752058584985,-535.2959999999998,256.4041645750546,244.1840870344144,12.220077540640204,2610.0,2610.0,2610.0,2610.0,0.0,0.0,0.0,0.0,116.66666666666713,2093.617,2115.466,28.000000000000004,12.0,16.000000000000004,2544.9184,2588.0,0.0,0.0,68.28614478896753,0.0,0.0,0.0,85.52791148662847,55.46218487394958,95.41284403669724,89.6694498848916,-4.587155963302752,13.599999999999907,0.0,0.7481376917982573,0.2909489412143367,0.4571887505839206,48.40142027644638,31.87957987782349,16.52184039862289,2636.493788941245,2.92553191489362,2.883554963988733,5.163043478260865,-2.925535906677297,2699.448486328125,3,-2.607500895103413,1.262726206955847,0.061631427095129754,2.8849750785527,0.9387217682045588,-2.83506956510864,1.3848396501457785,1.7183493879378062,0.7874006423058404,-0.4543106473202982
2021-09-27,2665.0,2740.0,2665.0,2713.0,2699.448486328125,242837,1601213.9609511667,2735157,0.2065140559694599,32455513.58471385,1328051.3266100306,301495.94103605894,69122.07926494036,2619.7773315440418,67.44151630853048,1041.4406578070175,2634.25,2750.6018371148475,2517.8981628851525,8.833773340787511,0.8384132212810192,0.0,0.0,2626.6666666666665,2703.6666666666665,2549.6666666666665,5.862944162436548,1.0606060606060617,1.0,0.0,2501.0,2740.0,2620.5,9.072791117016228,0.8870292887029289,0.0,0.0,25.613786615829667,11.157049642946507,14.45673697288316,2634.25,2634.25,2632.2126281964565,2606.598841580627,0.6397143532330961,0.3517044279679792,0.2880099252651169,0.056557867992341,7.697893612241216,-546.5459999999998,261.792859524147,246.38518359563096,15.407675928516028,2620.5,2620.5,2620.5,2620.5,0.0,0.0,0.0,0.0,128.21548821548845,2093.617,2115.466,32.0,12.0,20.0,2558.844928,2588.0,0.0,0.0,68.69637615047684,0.0,0.0,0.0,83.81780103322795,61.22884718773201,88.7029288702929,85.90375950832255,-11.297071129707112,26.02500000000009,0.0,0.9826516534587888,0.4292894836632271,0.5533621697955617,37.96719529022469,33.09710296030373,4.870092329920958,2654.100429395189,0.1476559616094608,0.1475470573836013,5.318322981366452,-0.147663567993078,2681.538330078125,0,-1.2206033591736087,2.3674933746512608,0.061631427095129754,0.7933514358939675,-0.6127342145188948,-0.0533808191507176,-0.4149377593360981,1.1611658383305894,1.0187687966218135,-0.2092060435491021
2021-09-28,2715.0,2722.0,2662.0,2695.0,2681.538330078125,290289,1630242.8609511666,2444868,0.2026701306432322,27072554.215469018,-217025.10257019728,236680.8105852769,-1567.4234230630395,2622.4198228769465,64.88154855776278,1041.4406578070175,2641.0,2757.153155598785,2524.846844401215,8.796149609904196,0.7324517130921793,0.0,0.0,2634.037037037037,2709.148148148148,2558.9259259259256,5.703117310423373,0.9058185404339272,0.0,0.0,2501.0,2740.0,2620.5,9.0496024233245,0.8117154811715481,0.0,0.0,28.72514832092247,14.6706693785417,14.05447894238077,2641.0,2641.0,2641.87222385854,2613.1470755376176,0.6559980967308554,0.4014708351992835,0.2545272615315718,0.0753192228286599,8.660223095101422,-553.2959999999998,265.02607649360243,248.4563939176278,16.56968257597464,2620.5,2620.5,2620.5,2620.5,0.0,0.0,0.0,0.0,90.95410398019436,2093.617,2115.466,32.0,12.0,20.0,2576.9604352,2588.0,0.0,0.0,64.64403962354743,0.0,0.0,0.0,81.78381670116975,58.82303606374055,81.17154811715481,88.42910700804832,-18.828451882845187,37.44444444444434,0.0,1.0992549401381353,0.5632825749582088,0.5359723651799265,29.37886165269483,32.35345469878195,-2.974593046087122,2663.372333704974,-0.6634721710283786,-0.6656829315834223,4.619565217391308,0.6634746445694191,2629.798095703125,1,-0.1604178477833642,3.1487459224164525,0.061631427095129754,1.5993916685559952,0.8729280285703851,6.402128069425814,2.134986225895318,-0.0645578984603076,0.7854811693731847,2.226869915974192
2021-09-29,2700.0,2687.0,2627.0,2643.0,2629.798095703125,179519,1546467.3276178332,2265349,0.1880582297999528,21871476.756116305,-1169792.61248113,80405.98580012057,-5389.804170259733,2623.07284725932,63.41541478937177,1021.3460699754906,2641.2,2751.3990925552475,2531.000907444752,8.344623092173839,0.5081670363986789,0.0,0.0,2635.866666666667,2709.4666666666667,2562.266666666667,5.58450098639283,0.5484601449275355,0.0,0.0,2501.0,2740.0,2620.5,9.048917158867182,0.5941422594142259,79.8,0.0,26.6873246047312,17.0740004237796,9.6133241809516,2641.2,2641.2,2642.045727880304,2615.358403275572,0.6398105830449371,0.4573613716218002,0.1824492114231369,0.0892498363850767,9.595083006351718,-553.4959999999996,265.1218755149197,251.92644735645075,13.195428158468928,2635.5,2620.5,2628.0,2620.5,0.0,0.0,0.0,0.0,27.199647615901327,2093.617,2115.466,32.0,12.0,20.0,2593.26439168,2588.0,0.0,0.0,54.62007568051223,0.0,0.0,0.0,78.24124699035839,61.61524500907441,59.41422594142259,76.42956764295677,-40.58577405857741,36.80000000000018,0.0,1.0204079322859538,0.6547076464237578,0.365700285862196,20.58349210125665,29.999462179276897,-9.415970078020248,2659.897488701532,-1.929499072356211,-1.9483568738808188,2.6009316770186253,1.9294982210264635,2617.858154296875,2,1.7120505953568994,0.8594865926938127,0.061631427095129754,2.909227061053514,0.8135001144581793,1.7812610554189234,1.055594651653763,1.6534315840327736,4.022982968879205,1.5836182262744103
