Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_LYC.AX_2021-09-15_2023-09-15_Close_percent,asx_AKE.AX_2021-09-15_2023-09-15_Close_percent,asx_SOL.AX_2021-09-15_2023-09-15_Close_percent,jpx_5401.T_2021-09-15_2023-09-15_Close_percent,asx_PLS.AX_2021-09-15_2023-09-15_Close_percent,asx_URW.AX_2021-09-15_2023-09-15_Close_percent,jpx_7201.T_2021-09-15_2023-09-15_Close_percent,jpx_8604.T_2021-09-15_2023-09-15_Close_percent,asx_S32.AX_2021-09-15_2023-09-15_Close_percent,asx_BHP.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,4200.0,4050.0,3773.0,3901.0,3699.323974609375,1950343,-147859.93862815882,1950343,-0.075812274368231,0.0,0.0,0.0,-350927.2588043745,3908.0,50.0,1000.0,3901.0,3901.0,3901.0,0.0,0.0,0.0,0.0,3908.0,4185.0,3631.0,14.176049129989766,0.4873646209386281,0.0,0.0,3773.0,4050.0,3911.5,7.100743399128429,0.4620938628158845,0.0,0.0,0.0,0.0,0.0,3901.0,3901.0,3901.0,3901.0,0.0,0.0,0.0,-18.15693297275936,1.0,868.6779999999999,-182.12508265757145,-182.12508265757145,0.0,3911.5,3911.5,3911.5,3911.5,0.0,0.0,0.0,0.0,0.0,4946.059,5280.5685,4.0,4.0,0.0,3583.0,4050.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,46.20938628158845,46.20938628158845,-53.79061371841155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3901.0,-18.212508265757144,0.0,0.0,0.0,3683.202880859375,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-16,4125.0,4019.0,3850.0,3884.0,3683.202880859375,1158133,-839998.5954328927,792210,-0.270228432013917,-19688261.0,335626.3917874717,335626.3917874717,-360253.35803998646,3911.601535178868,100.0,995.642143040246,3892.5,3909.5,3875.5,0.8734746307000641,0.25,0.0,0.0,3912.833333333333,4135.833333333333,3689.833333333333,11.398389913532396,0.4353512705530649,0.0,0.0,3773.0,4050.0,3911.5,7.116249197174053,0.4007220216606498,0.0,0.0,-1.3561253561256308,-0.2712250712251262,-1.0849002849005047,3892.5,3892.5,3898.3846153846152,3899.740740740741,0.2110359807768526,0.1715739681112623,0.0394620126655903,-0.0008511439374519,1.9366290156960533,877.1779999999999,-183.90717360794585,-183.01612813275864,-0.8910454751872123,3911.5,3911.5,3911.5,3911.5,0.0,0.0,0.0,0.0,66.66666666666981,4946.059,5280.5685,4.0,8.0,-4.0,3583.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,7.623318385650224,40.07220216606498,43.14079422382672,-59.92779783393502,0.0,0.0,-0.0347747567410863,-0.0069549513482172,-0.027819805392869,-3.340780760410903,-0.6681561520821807,-2.6726246083287224,3884.847870694856,-0.4357856959753881,-0.4367380095439799,-0.4357856959753881,0.4357848585484447,3537.164306640625,3,0.3851056882939332,4.0899757612646965,5.318076650868235,0.7585559671714179,4.8979665789806575,1.8416189280647608,0.1921773260415591,0.6137075018965135,-4.15431752431391,-0.9687029527514426
2021-09-17,3938.0,3886.0,3730.0,3730.0,3537.164306640625,3616199,-4456197.595432892,-2823989,-0.6626636373405246,-96432030.28571428,-545711.1182210934,-105042.36321681086,-148428.70967424707,3841.908212912396,24.910880724657986,995.642143040246,3838.3333333333335,3992.16729866248,3684.499368004188,8.015664715370175,0.147888770527557,0.0,0.0,3869.222222222222,4069.8888888888887,3668.555555555555,10.37245498664676,0.1531007751937992,0.0,0.0,3730.0,4050.0,3890.0,8.336951801997394,0.0,0.0,0.0,-14.688062596894724,-3.154592576359046,-11.533470020535676,3838.3333333333335,3838.3333333333335,3872.479289940828,3887.1673525377214,0.2133651312952171,0.3699842170331957,-0.1566190857379785,-0.00994470020703,2.82455277006932,931.3446666666664,-195.2636355466064,-187.09863060404123,-8.16500494256519,3890.0,3890.0,3890.0,3890.0,0.0,0.0,0.0,0.0,-100.0,4946.059,5280.5685,4.0,12.0,-8.0,3583.0,4050.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,5.647840531561462,0.0,28.760529482551146,-100.0,0.0,0.0,-0.3778603097009877,-0.0811360230187713,-0.2967242866822163,4.164409157669975,0.2983569098682503,3.8660522478017247,3760.995139907024,-3.964984552008244,-4.045731677335418,-4.383491412458341,3.964988596682346,3421.4716796875,4,2.8350549038644743,0.3198265736159555,1.3706028201954863,5.9620083156586645,1.7167264899171926,0.5628467804992425,-0.2450592737462358,-0.3528621284122266,3.4187975240349004,3.665448789519303
2021-09-21,3688.0,3688.0,3600.0,3636.0,3448.02392578125,996186,-5570208.587411502,-3303065,-0.6057127103901832,-88901886.08746357,-61835.841901010455,-429814.1756315973,-40521.60378426256,3787.255296570812,30.01024331453621,970.550893322878,3751.8,3995.604511853247,3507.9954881467534,12.9966688977689,0.2625146492988127,0.0,0.0,3777.1333333333337,3942.3333333333335,3611.933333333333,8.747374552129482,0.0728410008071023,0.0,0.0,3583.0,4050.0,3816.5,12.447358601204757,0.1134903640256959,0.0,0.0,-47.74647872506375,-17.11993434993226,-30.62654437513149,3751.8,3751.8,3801.668604040474,3849.4150827655376,0.2556726567729486,0.5852205786938597,-0.3295479219209111,-0.0557765421208715,4.453653771746207,1017.8779999999996,-213.4060202806143,-196.4076680508272,-16.998352229787145,3816.5,3816.5,3816.5,3816.5,0.0,0.0,0.0,0.0,-81.92567567567573,4946.059,5280.5685,4.0,16.0,-12.0,3583.0,4025.176,0.0,0.0,9.732949413542684,0.0,0.0,0.0,-97.29560766599845,11.350059737156512,11.349036402569594,5.56745182012848,-88.6509635974304,0.0,0.0,-1.2403567216960458,-0.4435834545668963,-0.7967732671291495,-2.881371456968352,-0.1609730496149397,-2.720398407353412,3663.730149185278,0.77605321507761,0.7730574114855671,-6.793129966675215,-0.7760475192995102,3576.044677734375,1,-1.5037579428341843,-1.4051508910433768,-0.0280062679848924,4.482126704458437,-0.9661830745521768,0.5736177762703818,2.863626452076033,3.111816942400779,0.9036186654013534,-0.5862040836891254
2021-09-22,3695.0,3773.0,3676.0,3771.0,3576.044677734375,652361,-4944749.071947585,-2650704,-0.5020822567156107,-63620368.789254494,1196959.9654179204,-104459.34742169376,31952.257738578737,3784.125118106164,35.77032479934593,1006.5861987680344,3755.0,3978.02167308732,3531.978326912681,11.878651029950388,0.5358709532094121,0.0,0.0,3770.944444444445,3924.777777777778,3617.1111111111113,8.158875613241594,0.5001805706031054,0.0,0.0,3583.0,4050.0,3816.5,12.436750998668442,0.4025695931477516,0.0,0.0,-46.656200851222366,-23.027187650190285,-23.62901320103208,3755.0,3755.0,3796.950357265017,3843.606558116239,0.3371361026121848,0.5449678156060361,-0.2078317129938512,-0.0768322169890683,5.2053529108490615,1014.678,-212.73511545223803,-199.12890928439563,-13.606206167842402,3816.5,3816.5,3816.5,3816.5,0.0,0.0,0.0,0.0,-20.99114377237635,4946.059,5280.5685,4.0,16.0,-12.0,3583.0,4007.48896,0.0,0.0,40.0364232531154,0.0,0.0,0.0,-84.07367698513336,23.613963039014376,40.25695931477516,18.986438258386865,-59.74304068522484,-26.516666666666424,0.0,-1.2138651588233498,-0.597639795418187,-0.6162253634051628,-8.07901898322597,-1.7445822363371457,-6.334436746888824,3673.7892088602944,3.712871287128716,3.645604196098695,-3.3324788515765147,-3.7128730748037952,3661.391845703125,2,-2.074072096082901,-2.540418832623331,0.252030246738073,1.2399613414915225,-2.8708239925753816,0.1923029309897401,1.815574259681924,-0.1814692412915803,-1.5197510711024904,-2.4105968826433326
2021-09-27,3866.0,3938.0,3847.0,3894.0,3692.685791015625,1793594,-4152890.333685847,-103295,-0.3350214731351623,-29978631.885982905,512434.80966149527,180162.79688964225,33320.67470371051,3801.735790636463,51.79851307131034,1006.5861987680344,3785.625,4006.602232990189,3564.647767009812,11.6745442557141,0.7452175695511852,0.0,0.0,3791.6666666666665,3936.2916666666665,3647.0416666666665,7.628571428571429,0.853788533563815,0.0,0.0,3583.0,4050.0,3816.5,12.336140003301963,0.6659528907922913,0.0,0.0,-28.313476652283043,-26.49462546877452,-1.8188511835085208,3785.625,3785.625,3820.21889484655,3848.532371498833,0.5063086262332195,0.5146087676468788,-0.0083001414136593,-0.093777218892421,6.718235579460049,984.053,-206.3143465869184,-201.3310125317633,-4.983334055155041,3816.5,3816.5,3816.5,3816.5,0.0,0.0,0.0,0.0,73.69696969696984,4946.059,5280.5685,4.0,16.0,-12.0,3583.0,3974.209025536,0.0,0.0,55.12362375078448,0.0,0.0,0.0,-57.565313079513736,40.48568339350878,66.59528907922912,55.46038543897216,-33.40471092077088,-53.98750000000018,0.0,-0.7356954267025224,-0.6881382173161865,-0.0475572093863359,-9.874029690805932,-5.01412143641784,-4.859908254388092,3680.601968222285,0.8547008547008517,0.8510689667909688,-0.1794411689310382,-0.8547007977096257,3773.29150390625,0,-2.745665536498308,0.1116096968667506,-1.2257472317223943,-0.6881716387347296,2.336461815937355,-0.3752341690955774,-1.3955897586021848,-1.208613131542819,0.8849673268448299,0.0
2021-09-28,3835.0,3998.0,3835.0,3979.0,3773.29150390625,1189022,-3241063.6465692827,1085727,-0.2385781321833285,-11257845.902271064,329009.8921634756,198768.6837988714,41284.3753177143,3813.603988664387,56.90558868152379,1028.558419336931,3807.1111111111113,4048.312630259533,3565.9095919626902,12.67110478832471,0.8563180064034308,0.0,0.0,3807.851851851852,3954.5185185185182,3661.1851851851848,7.703380928296312,1.0834595959595967,1.0,0.0,3583.0,4050.0,3816.5,12.266518795236983,0.8479657387580299,0.0,0.0,-13.549883098847658,-23.90567699478915,10.355793895941492,3807.1111111111113,3807.1111111111113,3844.64675717785,3858.1966402766975,0.5390595778020336,0.5237535383258446,0.015306039476189,-0.0881297562334158,7.513152885994489,962.5668888888886,-201.80961668458303,-201.3841907709656,-0.4254259136174596,3816.5,3816.5,3816.5,3816.5,0.0,0.0,0.0,0.0,90.04120879120899,4946.059,5280.5685,36.0,16.0,20.0,3583.0,3974.209025536,1.0,0.0,62.527302688256285,0.0,0.0,0.0,-45.19581862332205,50.18575061463464,84.79657387580299,70.30692362598144,-15.203426124197,-14.42222222222199,0.0,-0.351197317352801,-0.6207500373235094,0.2695527199707084,-11.139708802167194,-6.23923890956771,-4.900469892599483,3685.325624755431,2.182845403184386,2.1593624494782304,1.9994873109459024,-2.182847863382804,3793.205810546875,1,1.2658249071425018,2.011165981424128,-0.4036215326557055,0.0471359681643974,1.4354029454092796,-3.738323171353983,-1.0764056019693695,-0.986502551034917,-1.190471676205533,2.253472022673833
2021-09-29,3950.0,4013.0,3927.0,4000.0,3793.205810546875,2610757,-1419605.2744762597,3696484,-0.0876533727329288,-1817311.201946628,176232.41075289657,196264.6534604297,39733.325088197365,3840.427176449774,65.11034942546284,1028.558419336931,3826.4,4082.826519689365,3569.973480310636,13.403016918741605,0.838498530125315,0.0,0.0,3825.0666666666666,3965.6666666666665,3684.466666666666,7.35150585610709,1.1220957799905174,1.0,0.0,3583.0,4050.0,3816.5,12.204683253188374,0.892933618843683,145.7,0.0,-0.153336775229036,-19.155208950877128,19.00187217564809,3826.4,3826.4,3868.547256073565,3868.700592848794,0.599537460295,0.5356786809992108,0.0638587792957892,-0.0747215732022907,8.280479609569722,943.2779999999998,-197.76555146909288,-203.1220206389124,5.356469169819519,3801.0,3816.5,3808.75,3816.5,0.0,0.0,0.0,0.0,101.13141862489124,4946.059,5280.5685,40.0,16.0,24.0,3591.3,3974.209025536,0.0,0.0,64.10300072989703,0.0,0.0,0.0,-35.638422111867335,58.845386171904245,89.29336188436831,80.22840827980014,-10.70663811563169,34.59999999999991,0.0,-0.0039635213826698,-0.4973927341353415,0.4934292127526717,-4.94469886209313,-5.980330900072794,1.0356320379796644,3687.064554500922,0.5277707966825806,0.526382967509953,2.53781081773905,-0.527770160879669,3793.205810546875,2,4.843307030080879,3.192710057359648,3.844211102156336,-0.6096075836304209,3.883493005975837,2.8828886261368325,1.0998624280030356,1.6681031069352483,0.2941015553858364,1.3018574658669309
2021-09-30,3949.0,4041.0,3917.0,4000.0,3793.205810546875,1675184,-852204.242218195,5371668,-0.0476868171406111,-1557695.315954252,66619.54746463672,183300.1428608505,13778.813018346318,3854.07292821713,68.91368386141704,1028.558419336931,3842.181818181818,4106.264199518081,3578.099436845555,13.746480194486532,0.7988048294240954,0.0,0.0,3832.8666666666654,3958.1666666666665,3707.5666666666666,6.538187257579181,1.1669326948656564,1.0,0.0,3583.0,4050.0,3816.5,12.15455233768692,0.892933618843683,143.53,0.0,10.34428027917602,-13.2553111048665,23.59959138404252,3842.181818181818,3842.181818181818,3888.7707551391695,3878.4264748599935,0.6167747072819404,0.5485339539040232,0.0682407533779172,-0.0565226247481576,9.069931507620751,927.496181818182,-193.32920140200645,-204.16891261603024,10.839711214023794,3812.0,3816.5,3814.25,3816.5,0.0,0.0,0.0,0.0,91.88553237136242,4946.059,5280.5685,40.0,16.0,24.0,3608.168,3974.209025536,0.0,0.0,64.10300072989703,0.0,0.0,0.0,-28.67273540581332,64.72425818962822,89.29336188436831,87.79443254817987,-10.70663811563169,71.4454545454546,0.0,0.2667133268150824,-0.3445715219452567,0.6112848487603392,-4.612124986433955,-5.706689717345027,1.0945647309110722,3694.2511351946864,0.0,0.0,2.53781081773905,0.0,3809.326904296875,3,-0.4491049487917564,-2.355710419987404,-1.959755924236404,1.4057162385518325,-3.535354693378281,0.9276384997446456,0.7767042233729171,2.1735357485181623,-4.1297848847842005,-3.35257545411902
2021-10-01,4000.0,4065.0,3871.0,4017.0,3809.326904296875,1062859,-315296.0875790197,6434527,-0.0166526266809772,1246061.5863249267,-200779.2190685688,148383.83723090327,4517.150750000001,3861.385198625837,64.45740633024553,1032.929792619113,3856.75,4127.427083132897,3586.0729168671032,14.036537661652778,0.7960169330650734,0.0,0.0,3839.5333333333338,3967.3333333333335,3711.7333333333336,6.65705901758894,1.1943140323422008,1.0,0.0,3583.0,4065.0,3824.0,12.497569196862642,0.9004149377593361,148.577,0.0,19.8071508456851,-6.64281871475618,26.44996956044128,3856.75,3856.75,3908.498331271606,3888.6911804259207,0.628137178425432,0.5740219779867382,0.0541152004386938,-0.0349179121972769,9.951080689597555,44.25,-188.51392123560663,-203.4189443592525,14.90502312364586,3824.0,3824.0,3824.0,3824.0,0.0,0.0,0.0,0.0,82.3392418165352,4946.059,5280.5685,48.0,16.0,32.0,3634.13792,3974.209025536,0.0,0.0,65.4663270080726,0.0,0.0,0.0,-22.75392517529425,67.70856267669986,90.04149377593362,89.54273918155673,-9.95850622406639,95.94999999999982,0.0,0.5093526311728271,-0.1737866913216399,0.6831393224944671,-7.273873974153668,-6.020126568706756,-1.2537474054469122,3704.875012920098,0.4250000000000087,0.4240994257255437,2.973596513714427,-0.4249991842039264,3919.329833984375,4,3.1296577787347672,4.027611561518313,2.485903338952113,2.5073792734719405,5.365853598520431,4.494386537405106,1.2097440880360608,1.7882874258368844,0.5665700702931957,2.0207425070566387
