Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_LNW.AX_2021-09-15_2023-09-15_Close_percent,asx_SQ2.AX_2021-09-15_2023-09-15_Close_percent,jpx_6594.T_2021-09-15_2023-09-15_Close_percent,jpx_6098.T_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,jpx_4689.T_2021-09-15_2023-09-15_Close_percent,jpx_4901.T_2021-09-15_2023-09-15_Close_percent,asx_SVW.AX_2021-09-15_2023-09-15_Close_percent,asx_WBCPI.AX_2021-09-15_2023-09-15_Close_percent,ssx_000568.SZ_2021-09-15_2023-09-15_Close_percent
2021-09-15,3330.0,3786.0,3330.0,3510.0,2019.4039306640625,161912,-34086.73684210526,161912,-0.2105263157894736,0.0,0.0,0.0,-11737.159383419978,3542.0,50.0,1000.0,3510.0,3510.0,3510.0,0.0,0.0,0.0,0.0,3542.0,3998.0,3086.0,25.74816487859966,0.4649122807017544,0.0,0.0,3330.0,3786.0,3558.0,12.991452991452991,0.3947368421052631,0.0,0.0,0.0,0.0,0.0,3510.0,3510.0,3510.0,3510.0,0.0,0.0,0.0,-7.494360808206109,1.0,289.4720000000002,-76.18742814791113,-76.18742814791113,0.0,3558.0,3558.0,3558.0,3558.0,0.0,0.0,0.0,0.0,0.0,3800.074,3776.646,4.0,4.0,0.0,3333.0,3786.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,39.47368421052632,39.47368421052632,-60.526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,-7.618742814791113,0.0,0.0,0.0,1975.1033935546875,2,-0.383450506896145,0.061631427095129754,0.11203144186721595,0.0269390911577781,-0.014493428583670608,0.03423239730434684,0.0072997914732889505,-0.08630595351499382,-0.009508187774559433,-0.08168843097985154
2021-09-16,3575.0,3522.0,3350.0,3433.0,1975.1033935546875,612645,-55458.07405140759,-450733,-0.0715997325586207,-47173665.0,-3425148.3322315533,-3425148.3322315533,-25775.449464575184,3457.3670872511643,0.0,1000.0,3471.5,3548.5,3394.5,4.436122713524413,0.25,0.0,0.0,3488.5,3802.5,3174.5,18.002006593091586,0.411624203821656,0.0,0.0,3330.0,3786.0,3558.0,13.135532190695663,0.2258771929824561,0.0,0.0,-6.1424501424498885,-1.2284900284899778,-4.913960113959911,3471.5,3471.5,3498.153846153846,3504.296296296296,0.2993115833582758,0.6796867205427515,-0.3803751371844756,-0.0042846331908831,1.897804965815041,327.9720000000002,-86.32041504714344,-81.2539215975273,-5.066493449616146,3558.0,3558.0,3558.0,3558.0,0.0,0.0,0.0,0.0,-66.66666666666667,3800.074,3776.646,4.0,8.0,-4.0,3333.0,3786.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,13.21656050955414,22.587719298245613,31.03070175438597,-77.41228070175438,0.0,0.0,-0.1752834127908038,-0.0350566825581607,-0.1402267302326431,18.4106385148279,3.68212770296558,14.72851081186232,3308.224195022675,-2.1937321937321896,-2.218152300222087,-2.1937321937321896,2.193743234658712,1964.1722412109373,3,-0.383450506896145,0.061631427095129754,0.0,0.1866213861955117,-1.039268734542972,0.5138591435211595,1.2581077664318627,-0.5319145356937298,0.0095254810544673,-0.7693604899670135
2021-09-17,3574.0,3539.0,3388.0,3414.0,1964.1722412109373,704994,-517672.6833229308,-1155727,-0.3498849876232254,-42348125.14285714,589012.1050675609,-1418068.1135819962,-17341.59252080735,3452.427254619813,53.59108126148034,1000.0,3452.333333333333,3535.348726818853,3369.317939847814,4.8092339568708695,0.2691191252377783,0.0,0.0,3474.6666666666665,3734.3333333333335,3215.0,14.946277820414434,0.3831835686777919,0.0,0.0,3330.0,3786.0,3558.0,13.208458047697208,0.1842105263157894,0.0,0.0,-12.400581164113646,-3.462908255614712,-8.937672908498934,3452.333333333333,3452.333333333333,3485.207100591716,3497.6076817558296,0.480774084131679,0.7192683148426693,-0.2384942307109903,-0.0123049364984588,2.719093239032717,347.1386666666667,-91.36497562468332,-84.62427293991264,-6.740702684770682,3558.0,3558.0,3558.0,3558.0,0.0,0.0,0.0,0.0,-41.089108910890914,3800.074,3776.646,4.0,12.0,-8.0,3333.0,3786.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,13.992297817715018,18.42105263157895,26.82748538011696,-81.57894736842105,0.0,0.0,-0.3545446571608753,-0.0989542774787037,-0.2555903796821716,30.500817931812325,9.04586574873493,21.454952183077395,3461.1521330897444,-0.5534517914360659,-0.5549890103305088,-2.7350427350427364,0.5534470944367627,1967.624267578125,4,-0.383450506896145,0.061631427095129754,0.5769839444433273,-1.395081274156084,-0.172351340789632,-0.3262202529691791,0.8898816249018751,0.1442991784479801,0.0857217892458095,-4.47187940843061
2021-09-20,3333.0,3511.0,3333.0,3420.0,1967.624267578125,47862,-518748.2338847285,-1107865,-0.3396253887355473,-36257368.408163264,-15433955.956708873,-6090030.727957621,-3817.6859295466265,3451.4529161399046,51.723249119051,1001.7574692442884,3444.25,3521.4040666459,3367.0959333541,4.480166459804021,0.3428469097338976,0.0,0.0,3461.333333333333,3700.5833333333335,3222.083333333333,13.82415254237288,0.4136189481017064,0.0,0.0,3330.0,3786.0,3558.0,13.239457066124702,0.1973684210526315,0.0,0.0,-16.683725626510295,-6.107071729793828,-10.576653896716468,3444.25,3444.25,3475.175238962221,3491.8589645887314,0.5193349215639399,0.7996109109793995,-0.2802759894154596,-0.0221276107293606,3.5002825276639804,355.2220000000002,-93.4924642160806,-86.84132075895462,-6.651143457125968,3558.0,3558.0,3558.0,3558.0,0.0,0.0,0.0,0.0,-66.11570247933878,3800.074,3776.646,4.0,12.0,-8.0,3333.0,3778.04,0.0,0.0,6.664022213407378,0.0,0.0,0.0,-99.82437518093217,20.480668756530825,19.73684210526316,20.248538011695903,-80.26315789473684,0.0,0.0,-0.4777892175973176,-0.1747212655024264,-0.3030679520948911,20.68711734521804,11.374116068031553,9.31300127718649,3361.9099330945846,0.1757469244288323,0.1755926702264432,-2.564102564102566,-0.1757496768745454,1961.8709716796875,0,-0.383450506896145,0.061631427095129754,0.5769839444433273,-1.395081274156084,3.5966014881625483,-0.3262202529691791,0.8898816249018751,1.3487545104195109,0.4766494811367039,-4.47187940843061
2021-09-21,3403.0,3469.0,3403.0,3410.0,1961.8709716796875,82432,-583694.6581271527,-1190297,-0.3625781725117342,-31195504.349854227,1120923.9130434785,-4287292.067707347,-156.91324679595883,3450.217874598693,54.46159968677379,1001.7574692442884,3437.4,3511.649309761101,3363.1506902388987,4.320085515860904,0.3154865002236375,0.0,0.0,3454.5333333333338,3659.1333333333337,3249.9333333333334,11.845304720367446,0.3911697621375036,0.0,0.0,3330.0,3786.0,3558.0,13.265840460813404,0.175438596491228,0.0,0.0,-20.647058460279368,-9.015069075890938,-11.63198938438843,3437.4,3437.4,3465.14827912188,3485.795337582159,0.6174792951473844,0.8528932764223248,-0.2354139812749404,-0.0332533410945844,4.206281952220438,362.0720000000001,-95.2953463007492,-88.53212586731354,-6.763220433435663,3558.0,3558.0,3558.0,3558.0,0.0,0.0,0.0,0.0,-51.82926829268316,3800.074,3776.646,4.0,20.0,-16.0,3333.0,3760.2384,0.0,0.0,5.952088954296457,0.0,0.0,0.0,-99.67999318106034,19.843597262952105,17.54385964912281,18.567251461988302,-82.45614035087719,0.0,0.0,-0.5923198713840934,-0.2582409866787598,-0.3340788847053335,13.13248509971745,11.725789874368733,1.4066952253487166,3435.040129998092,-0.2923976608187106,-0.2928259779087838,-2.8490028490028463,0.29239809618322,2075.7861328125,1,-0.383450506896145,0.061631427095129754,3.1918855581289165,0.9503493599505362,1.013294724046219,0.4877350764075743,1.0917247670272872,-0.1464834033847921,0.143679692851478,-4.47187940843061
2021-09-22,3471.0,3733.0,3453.0,3608.0,2075.7861328125,102045,-572761.2652700099,-1088252,-0.3345783112641641,-23852588.01416077,43079033.75961585,5185973.097757293,5684.164308621015,3459.027101235087,57.58797242573485,1001.7574692442884,3465.833333333333,3609.9278239366254,3321.7388427300416,8.31514252098823,0.9933105563975624,0.0,0.0,3478.444444444445,3695.6111111111113,3261.277777777778,12.486424327604936,0.7982860066513171,0.0,0.0,3330.0,3786.0,3558.0,13.157008896369318,0.6096491228070176,0.0,0.0,-7.722067849012546,-8.75646883051526,1.0344009815027135,3465.833333333333,3465.833333333333,3487.125466949283,3494.847534798296,0.7135123047771487,0.6620217260818905,0.0514905786952581,-0.0336899089633997,4.963391684445204,333.6386666666667,-87.81185034832914,-88.41207994748281,0.6002295991536641,3558.0,3558.0,3558.0,3558.0,0.0,0.0,0.0,0.0,130.58252427184414,3800.074,3776.646,24.0,20.0,4.0,3333.0,3743.148864,0.0,0.0,71.30931618864528,0.0,0.0,0.0,-93.64091639863128,29.791976225854377,60.96491228070175,32.748538011695906,-39.03508771929825,-14.650000000000093,0.0,-0.2209557862574461,-0.2507839465944971,0.0298281603370509,7.303243959101274,10.84128069131524,-3.5380367322139668,3443.103319560809,5.8064516129032295,5.644131090495108,2.792022792022797,-5.806455306042992,2071.183349609375,2,-0.383450506896145,0.061631427095129754,2.8849750785527,0.5298616959088065,-0.3780493865914565,0.3403731978827693,0.9387217682045588,-0.4388171225716206,-0.0575482439124925,4.15957726123537
2021-09-23,3573.0,4125.0,3559.0,3600.0,2071.183349609375,113625,-669924.6928318474,-1201877,-0.3669784651628978,-20574932.58356637,124034323.43234324,24994031.48685495,5673.2534153494025,3477.8434602472907,60.72649647138051,1001.7574692442884,3485.0,3648.1371027256346,3321.8628972743654,9.362244058859948,0.8524642710904582,0.0,0.0,3518.8571428571427,3785.857142857143,3251.8571428571427,15.17538161740825,0.6519529159978602,0.0,0.0,3330.0,4125.0,3727.5,22.812051649928264,0.3396226415094339,0.0,0.0,1.8541734315986105,-6.634340378092486,8.488513809691096,3485.0,3485.0,3504.4907797263163,3502.6366062947177,0.8527779162719582,0.5577853118611955,0.2949926044107627,-0.0273185005421536,5.9025621076830745,314.4720000000002,-82.76728977078926,-87.6056813508123,4.838391580023043,3727.5,3727.5,3727.5,3727.5,0.0,0.0,0.0,0.0,164.10681399631707,3800.074,3776.646,24.0,20.0,4.0,3333.0,3743.148864,1.0,0.0,69.21634800305702,0.0,0.0,0.0,-88.82367706200768,23.117154811715483,33.9622641509434,37.49034536025599,-66.0377358490566,15.51428571428596,0.0,0.0529365058386704,-0.1900398561078636,0.242976361946534,2.79636303940141,9.232297160932474,-6.435934121531064,3444.720338867243,-0.2217294900221711,-0.2219756738313094,2.564102564102555,0.2217368702087157,2077.511962890625,3,-0.383450506896145,0.061631427095129754,2.8849750785527,0.5298616959088065,-2.607500895103413,0.3403731978827693,0.9387217682045588,-2.038830960238002,-0.0862885269854416,-1.5479924042490725
2021-09-27,3600.0,3638.0,3407.0,3611.0,2077.511962890625,115466,-581450.7447798993,-1086411,-0.299565397487095,-17454209.92877118,-63918815.92849843,12292196.141804468,100.8726447400838,3482.2549197201483,56.69996952388368,1001.7574692442884,3500.75,3674.62567397425,3326.8743260257493,9.933624164779015,0.8170368731865475,0.0,0.0,3523.0,3785.5,3260.5,14.902072097644051,0.6676190476190477,0.0,0.0,3330.0,4125.0,3727.5,22.7094194101264,0.3534591194968553,0.0,0.0,10.213289267614527,-3.264814448951084,13.478103716565611,3500.75,3500.75,3520.876813614575,3510.6635243469605,0.7980627617701505,0.8309869082464321,-0.0329241464762816,-0.015987166706111,6.807290062613518,298.7220000000002,-78.62197694837604,-86.48271830050777,7.860741352131725,3727.5,3727.5,3727.5,3727.5,0.0,0.0,0.0,0.0,21.402214022140225,3800.074,3776.646,32.0,20.0,12.0,3348.84,3743.148864,0.0,0.0,70.4985235445254,0.0,0.0,0.0,-84.58805235746212,34.800754440911206,35.34591194968554,43.4243627937769,-64.65408805031447,28.97499999999991,0.0,0.2909219068356704,-0.0938475035191568,0.3847694103548272,-0.9092617793159944,7.203985372882781,-8.113247152198776,3446.622085385646,0.3055555555555589,0.3050896833256544,2.877492877492882,-0.3055554344063012,2030.910400390625,0,-0.383450506896145,0.061631427095129754,0.7933514358939675,0.6306912370986595,-1.2206033591736087,1.742801843352666,-0.6127342145188948,-1.7408297267715795,-0.2679599956251479,-10.000003385201351
2021-09-28,3608.0,3611.0,3496.0,3530.0,2030.910400390625,140563,-638898.231736421,-1226974,-0.3069347713699162,-16587266.08180387,2536229.3064319915,11072700.287382908,-2800.22045401397,3486.5370033013955,52.47209011280148,1001.7574692442884,3504.0,3668.959254228296,3339.040745771704,9.415482547277156,0.5788073397931869,0.0,0.0,3525.5185185185187,3771.6296296296296,3279.4074074074074,13.961697254934917,0.5091045899172311,0.0,0.0,3330.0,4125.0,3727.5,22.68835616438356,0.2515723270440251,0.0,0.0,10.184524873979171,-0.574946584365033,10.759471458344205,3504.0,3504.0,3522.2803807507944,3512.095855876815,0.8474680735663921,0.8514302619622869,-0.0039621883958947,-0.0062995851784606,7.633002905526224,295.4720000000002,-77.76659493740188,-85.51426014905155,7.747665211649675,3727.5,3727.5,3727.5,3727.5,0.0,0.0,0.0,0.0,16.274431591543415,3800.074,3776.646,32.0,20.0,12.0,3364.3632,3743.148864,0.0,0.0,52.99458257295216,0.0,0.0,0.0,-81.33049634497573,33.83550084653727,25.15723270440252,31.48846960167715,-74.84276729559748,53.12222222222226,0.0,0.289984251339192,-0.017081152547487,0.3070654038866791,-2.8647123584886107,5.190245826608503,-8.054958185097114,3447.093854550167,-2.243145942952096,-2.2686871350114046,0.5698005698005604,2.2431429196277293,2068.306640625,1,-0.383450506896145,0.061631427095129754,1.5993916685559952,0.225678777133055,-0.1604178477833642,-0.9540402604340272,0.8729280285703851,0.2851786200030517,-0.0095385220532477,-3.896797522648143
2021-09-29,3550.0,3621.0,3497.0,3595.0,2068.306640625,79943,-592479.7156073888,-1147031,-0.2741074619497544,-13475328.78440332,853107.8393355266,9937190.015377644,-1680.9949881656855,3489.660882993976,54.418910295044405,1020.2034283096932,3513.1,3678.8454675096727,3347.354532490327,9.435852523963044,0.7470655796220202,0.0,0.0,3530.0666666666666,3763.966666666666,3296.1666666666665,13.251874374421629,0.6388057574462028,0.0,0.0,3330.0,4125.0,3727.5,22.629586405169224,0.3333333333333333,238.2,0.0,15.23111089179747,2.586264910867468,12.644845980930002,3513.1,3513.1,3533.468014481441,3518.236903589644,0.855781240607279,0.8549463320798573,0.0008349085274217,0.0055034322378804,8.410451969422517,286.3720000000003,-75.37152530667424,-85.42360427780302,10.05207897112878,3729.0,3727.5,3728.25,3727.5,0.0,0.0,0.0,0.0,35.0216746520649,3800.074,3776.646,32.0,20.0,12.0,3379.575936,3743.148864,0.0,0.0,61.2987143457072,0.0,0.0,0.0,-76.83635553233117,37.84598282682008,33.333333333333336,31.27882599580713,-66.66666666666667,75.44999999999982,0.0,0.432918854220909,0.0729188488061921,0.3600000054147168,-7.265905340769106,2.699015593132982,-9.96492093390209,3449.123086008952,1.8413597733710985,1.824612022780414,2.4216524216524205,-1.841353524369282,2209.262451171875,2,-0.383450506896145,0.061631427095129754,2.909227061053514,3.702120578958088,1.7120505953568994,1.504057947699394,0.8135001144581793,1.477603610483925,-0.380804123018521,0.718211146331285
