Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,jpx_6502.T_2021-09-15_2023-09-15_Close_percent,asx_URW.AX_2021-09-15_2023-09-15_Close_percent,jpx_8411.T_2021-09-15_2023-09-15_Close_percent,jpx_6723.T_2021-09-15_2023-09-15_Close_percent,jpx_6503.T_2021-09-15_2023-09-15_Close_percent,jpx_7733.T_2021-09-15_2023-09-15_Close_percent,asx_BSL.AX_2021-09-15_2023-09-15_Close_percent,jpx_8015.T_2021-09-15_2023-09-15_Close_percent,jpx_6501.T_2021-09-15_2023-09-15_Close_percent,jpx_7270.T_2021-09-15_2023-09-15_Close_percent
2021-09-15,6351.0,6400.0,6300.0,6354.0,5643.90625,82921,6633.68,82921,0.08,0.0,0.0,0.0,3368.655293121473,6351.333333333333,50.0,1000.0,6354.0,6354.0,6354.0,0.0,0.0,0.0,0.0,6351.333333333333,6451.333333333333,6251.333333333333,3.1489451033903646,0.5133333333333349,0.0,0.0,6300.0,6400.0,6350.0,1.5738117721120557,0.54,0.0,0.0,0.0,0.0,0.0,6354.0,6354.0,6354.0,6354.0,0.0,0.0,0.0,4.616886790087703,1.0,-252.59400000000005,41.39931025734069,41.39931025734069,0.0,6350.0,6350.0,6350.0,6350.0,0.0,0.0,0.0,0.0,0.0,6109.017,6081.347,4.0,4.0,0.0,6300.0,6400.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6354.0,4.139931025734067,0.0,0.0,-0.0,5659.89453125,2,0.004619458099248,-0.0429409064948773,0.1193521443413582,0.1319098804422668,0.0556917891505588,-0.0292308673135468,0.0091167687394759,0.1452433221557323,0.069515544173325,0.0999457908458755
2021-09-16,6402.0,6623.0,6300.0,6372.0,5659.89453125,78792,-37031.23640866873,161713,-0.2289935651967914,1418256.0,45708320.64168951,45708320.64168951,3656.079004715803,6390.474428978087,100.0,1002.8328611898016,6363.0,6381.0,6345.0,0.5657708628005658,0.75,0.0,0.0,6391.5,6603.0,6180.0,6.618164750058672,0.4539007092198581,0.0,0.0,6300.0,6623.0,6461.5,5.076221907905076,0.2229102167182662,0.0,0.0,1.4358974358974592,0.2871794871794919,1.1487179487179673,6363.0,6363.0,6356.769230769231,6355.333333333333,0.5196317853775937,0.1608767137391931,0.3587550716384006,0.0005532932011331,2.327579875137716,-261.59400000000005,42.87438010189784,42.136845179619264,0.7375349222785701,6461.5,6461.5,6461.5,6461.5,0.0,0.0,0.0,0.0,66.66666666666667,6109.017,6081.347,8.0,4.0,4.0,6300.0,6400.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,17.02127659574468,22.291021671826627,38.14551083591331,-77.70897832817337,0.0,0.0,0.0225935818089393,0.0045187163617878,0.0180748654471514,-0.3986907059565625,-0.0797381411913125,-0.31895256476525,6356.410256718102,0.2832861189801638,0.2828856200476792,0.2832861189801638,0.2832839622380305,5684.76513671875,3,0.4255289968564,-1.8416189280647608,0.062022332215065,-2.183098591549296,0.2524375708161273,0.0834988905882596,0.7142902455951656,0.408160558980839,-0.6677789238660665,-0.2866747724090857
2021-09-17,6310.0,6601.0,6305.0,6400.0,5684.76513671875,218306,-115208.38505731738,380019,-0.3031648024370291,2088872.0,-1152510.6959955292,22277904.97284699,1182.492423474514,6416.24410884719,100.0,1002.8328611898016,6375.333333333333,6413.186852177542,6337.479814489124,1.187499284038772,0.8258173535753126,0.0,0.0,6406.11111111111,6645.777777777777,6166.444444444444,7.482438643656226,0.4872508113120079,0.0,0.0,6300.0,6623.0,6461.5,5.066401756770888,0.3095975232198142,0.0,0.0,4.7781430345539775,1.185372196654389,3.5927708378995886,6375.333333333333,6375.333333333333,6363.420118343195,6358.641975308641,0.6800393202222333,0.4555391600206627,0.2245001602015706,0.0023130601678436,3.7597077577372966,-273.9273333333331,44.89577211110576,43.05648749011476,1.8392846209910017,6461.5,6461.5,6461.5,6461.5,0.0,0.0,0.0,0.0,53.34685598377307,6109.017,6081.347,12.0,4.0,8.0,6300.0,6400.0,0.0,1.0,100.0,0.0,0.0,0.0,100.0,23.22670375521557,30.959752321981423,35.75025799793602,-69.04024767801857,0.0,0.0,0.0751440803414954,0.0186437891577293,0.056500291183766,11.380225255498011,2.2122545381465524,9.16797071735146,6365.944792932769,0.439422473320783,0.4384598317823673,0.7239534151715521,0.4394181787563695,5650.1240234375,4,-0.0,-0.5628467804992425,0.7747109741443694,3.383729301655862,0.0944297786196699,-0.1251335244247116,-4.046719933027376,-0.4065013806732196,0.8250574737656962,0.3833402416539258
2021-09-20,6360.0,6370.0,6300.0,6361.0,5650.1240234375,81302,-54812.61362874595,298717,-0.1188166453049957,1337493.4285714286,-10159651.669085631,11465386.092202784,463.8515621076585,6403.453251279116,78.75277164905377,996.7218484419262,6371.75,6406.803530492663,6336.6964695073375,1.1002795305108488,0.3466630914359651,0.0,0.0,6390.5,6587.75,6193.25,6.173225882168844,0.4252217997465146,0.0,0.0,6300.0,6623.0,6461.5,5.069250990701142,0.1888544891640866,0.0,0.0,4.231148639944877,1.7945274853124866,2.43662115463239,6371.75,6371.75,6363.047792444242,6358.816643804297,0.6770873255935078,0.7065686314974341,-0.0294813059039262,0.0036020660298085,4.957680208978983,-270.34400000000005,44.30847578410616,43.369484563612616,0.9389912204935412,6461.5,6461.5,6461.5,6461.5,0.0,0.0,0.0,0.0,-72.60981912144656,6109.017,6081.347,12.0,4.0,8.0,6300.0,6623.0,0.0,0.0,51.56507413509062,0.0,0.0,0.0,95.348288539803,27.838827838827843,18.88544891640867,24.045407636738904,-81.11455108359134,0.0,0.0,0.0665398749005837,0.0282230063063002,0.0383168685942834,8.730429472330407,3.5158895249833235,5.214539947347083,6364.571048369254,-0.6093750000000009,-0.6112392668958577,0.1101668240478526,-0.6093675367078504,5791.3544921875,0,-0.0,-1.3207579083439782,0.7747109741443694,3.383729301655862,0.0944297786196699,-0.1251335244247116,-5.000003938692544,-0.4065013806732196,0.8250574737656962,0.3833402416539258
2021-09-21,6309.0,6588.0,6309.0,6520.0,5791.3544921875,94115,-6574.459506882158,392832,-0.0118365743431865,3284177.9387755105,33646602.56069702,17010690.20932634,1857.0710467595504,6415.124530999071,83.01507266316332,996.7218484419262,6401.4,6524.074202667064,6278.725797332935,3.8327304235656094,0.9833942158233486,0.0,0.0,6406.866666666667,6620.466666666667,6193.266666666666,6.667845956942042,0.7648252184769031,0.0,0.0,6300.0,6623.0,6461.5,5.045771237541788,0.6811145510835913,0.0,0.0,16.43813424371274,4.723248836992537,11.7148854067202,6401.4,6401.4,6387.194285914358,6370.7561516706455,0.753512664720028,0.601576129459183,0.1519365352608449,0.0094003333183812,6.248976112240623,-299.9939999999997,49.16801143867497,44.52918993862509,4.638821500049879,6461.5,6461.5,6461.5,6461.5,0.0,0.0,0.0,0.0,91.89593861126664,6109.017,6081.347,20.0,4.0,16.0,6300.0,6610.08,0.0,0.0,84.50851336478233,0.0,0.0,0.0,92.45409016339708,39.98178506375228,68.11145510835914,39.31888544891641,-31.888544891640866,0.0,0.0,0.2580248537593462,0.0741833757969094,0.1838414779624367,7.572279306519968,4.327167481290653,3.245111825229316,6386.552677008362,2.4996069800345966,2.46887782418952,2.6125275417060223,2.4995994453246766,5776.25439453125,1,0.2118685570919609,-0.5736177762703818,-1.4760115819720738,-4.456824512534823,-0.8490500292535614,-2.8607160865705623,-1.4187493752219638,-2.551019535155106,-2.3640053286474654,-1.8138445116399424
2021-09-22,6492.0,6668.0,6300.0,6503.0,5776.25439453125,116484,5453.779623552624,276348,0.0081167097624012,2532119.9475218668,11215274.200748602,15851607.007610794,2048.789158339305,6428.162723240862,86.4009046656619,996.7218484419262,6418.333333333333,6553.520446460124,6283.146220206542,4.212530141577486,0.8131462190011368,0.0,0.0,6420.777777777777,6660.11111111111,6181.444444444444,7.454963919220576,0.6717734447539472,0.0,0.0,6300.0,6668.0,6484.0,5.733575694624773,0.5516304347826086,0.0,0.0,24.45855733220651,8.670310536035332,15.788246796171178,6418.333333333333,6418.333333333333,6405.010549619841,6380.551992287635,0.8025981110108531,0.6415978911374185,0.1610002198734346,0.0174279963240749,7.654576032550088,-316.9273333333331,51.94332803510099,45.76487962137107,6.178448413729917,6484.0,6484.0,6484.0,6484.0,0.0,0.0,0.0,0.0,94.92039423805922,6109.017,6081.347,20.0,4.0,16.0,6300.0,6610.08,1.0,0.0,78.37087267259025,0.0,0.0,0.0,88.83723144392522,43.79263301500682,55.16304347826087,47.38664916767622,-44.83695652173913,14.399999999999636,0.0,0.3833298022141392,0.1360126610803554,0.2473171411337837,8.36595864280433,5.134925713593388,3.231032929210942,6403.4506246774845,-0.2607361963190224,-0.2610767051546503,2.3449795404469675,-0.2607351644009981,5827.77294921875,2,1.5856155783946375,-0.1923029309897401,-1.217232108446467,-1.3848396501457785,-1.7760872287138485,-0.5374027278941895,0.928478917399488,-1.5706756869614082,-1.909038672790885,-1.5070538082181315
2021-09-23,6506.0,6603.0,6503.0,6561.0,5827.77294921875,61321,15265.139623552624,337669,0.0208187207528665,2678476.8121616,11252262.68325696,15085049.620218487,243.203624660256,6438.825887623123,87.70422299881655,1005.6115712175116,6438.714285714285,6598.820372992919,6278.608198435652,4.973231616562476,0.8818896469342229,0.0,0.0,6440.047619047619,6659.476190476191,6220.619047619048,6.814501519509621,0.7756076388888883,0.0,0.0,6300.0,6668.0,6484.0,5.715426771094496,0.7092391304347826,0.0,0.0,35.090415223964555,13.954331473621178,21.13608375034337,6438.714285714285,6438.714285714285,6429.008926601404,6393.918511377439,0.9288255542068032,0.6987443003886447,0.2300812538181587,0.0283495283437223,8.848086236979944,-337.3082857142854,55.283697841822985,47.12471079572134,8.158987046101643,6484.0,6484.0,6484.0,6484.0,0.0,0.0,0.0,0.0,136.12045490949907,6109.017,6081.347,28.000000000000004,4.0,24.000000000000004,6300.0,6610.08,0.0,0.0,82.92682396502049,0.0,0.0,0.0,86.64034048925492,44.699872286079184,70.92391304347827,64.73280387669944,-29.07608695652174,13.985714285714494,0.0,0.5488092342985622,0.2185719757239967,0.3302372585745654,4.42989776784756,4.993920124444222,-0.564022356596662,6422.1427238785645,0.8918960479778582,0.8879421475725735,3.2577903682719622,0.8919024538856206,5951.23876953125,3,1.5856155783946375,3.46820474670713,-1.217232108446467,-1.3848396501457785,-1.7760872287138485,-0.5374027278941895,-0.2759830995076271,-1.5706756869614082,-1.909038672790885,-1.5070538082181315
2021-09-27,6300.0,6750.0,6408.0,6700.0,5951.23876953125,19936,29371.89985747075,357605,0.0389973404093204,2691709.267567086,44602728.73194221,19301860.921893302,969.279581677133,6443.603777067011,88.07925645809611,1026.916251662449,6471.375,6700.062423134724,6242.687576865276,7.067660988112225,0.9998635186538288,0.0,0.0,6462.458333333333,6697.208333333333,6227.708333333333,7.265037169807671,1.0059460418885346,1.0,0.0,6300.0,6750.0,6525.0,6.95369994784725,0.8888888888888888,0.0,0.0,54.10864673204833,21.98519452530661,32.12345220674172,6471.375,6471.375,6470.699860970418,6416.5912142383695,0.8952840461902009,0.6778714835416791,0.2174125626485217,0.0449488457429535,10.128497314780278,-369.9690000000001,60.63667948010673,48.81370688126952,11.822972598837213,6525.0,6525.0,6525.0,6525.0,0.0,0.0,0.0,0.0,145.33873769542575,6109.017,6081.347,32.0,4.0,28.0,6300.0,6610.08,0.0,0.0,88.9396661135472,0.0,0.0,0.0,85.9693527225439,53.634838473709735,88.88888888888889,71.65861513687601,-11.11111111111111,21.89999999999964,0.0,0.8432615531433828,0.343509891207874,0.4997516619355088,-2.641905482934593,3.46675500296846,-6.108660485903052,6440.062859285602,2.118579484834626,2.096449603417838,5.445388731507705,2.1185763650770184,5995.65087890625,0,0.2036699765145186,0.3752341690955774,2.3853776354285543,0.4149377593360981,-0.7846864178219022,0.8515831437616015,-0.8784156316324214,1.5706866612680417,4.747309217526407,0.6009614259113931
2021-09-28,6700.0,6750.0,6623.0,6750.0,5995.65087890625,67318,96689.89985747077,424923,0.1178433748620902,2788022.229343217,20280608.45539083,19424204.36358049,924.73314042499,6465.268973810525,89.20581624611117,1026.916251662449,6502.333333333333,6780.10382212659,6224.562844540076,8.543717295122475,0.9458116982524448,0.0,0.0,6489.703703703704,6712.481481481482,6266.925925925926,6.865576240426432,1.0842061512884449,1.0,0.0,6300.0,6750.0,6525.0,6.920592607781822,1.0,0.0,0.0,72.38095179699121,32.064345979643534,40.31660581734768,6502.333333333333,6502.333333333333,6513.669113128815,6441.288161331824,0.9974955161949756,0.6961874002168702,0.3013081159781052,0.0660701856534655,11.260097007272272,-400.9273333333331,65.71064658430097,50.69114462605079,15.019501958250189,6525.0,6525.0,6525.0,6525.0,0.0,0.0,0.0,0.0,157.8735580792271,6109.017,6081.347,36.0,4.0,32.0,6318.0,6610.08,0.0,0.0,90.26746243366377,0.0,0.0,0.0,85.80531453543568,60.68066197098456,100.0,86.60426731078906,-0.0,66.81111111111113,0.0,1.1237030541733355,0.4995485238009663,0.6241545303723693,-4.0415286252761,1.965098277319548,-6.006626902595647,6458.79057755415,0.746268656716409,0.7434978487518507,6.232294617563738,0.7462666361561219,6088.91650390625,1,-0.6097572762256362,3.738323171353983,0.9984870149506548,-2.134986225895318,0.5694301679293119,-1.1459583268350002,-2.2854521844210893,0.7216392480127922,1.359659544088032,2.054954078136035
2021-09-29,6703.0,6909.0,6703.0,6855.0,6088.91650390625,340126,258497.41442057752,765049,0.2227233648370807,7491623.339437043,7237611.943809059,18070138.539161447,5793.222023217247,6569.908535172119,92.73435648998098,1026.916251662449,6537.6,6875.557630480509,6199.642369519492,10.338889821356725,0.9695854914545352,0.0,0.0,6522.966666666666,6744.066666666668,6301.866666666667,6.779124018212583,1.2508668777325471,1.0,0.0,6300.0,6909.0,6604.5,9.31534508076358,0.9113300492610836,224.1,0.0,94.24807454819256,44.50109169335335,49.74698285483922,6537.6,6537.6,6566.181557262844,6471.933482714651,1.030499337184794,0.6566666420724104,0.3738326951123835,0.0923798686894877,12.36445476010013,-436.1940000000004,71.49073508630634,54.03463627371364,17.456098812592707,6604.5,6604.5,6604.5,6604.5,0.0,0.0,0.0,0.0,162.75234677974714,6109.017,6081.347,40.0,4.0,36.0,6335.28,6610.08,0.0,0.0,92.34561528592108,0.0,0.0,0.0,86.23536588029901,65.75597176265289,91.13300492610836,93.34063127166576,-8.866995073891626,106.05000000000018,0.0,1.4562583932593236,0.6908904976926379,0.7653678955666857,16.864397241804006,4.94495807021644,11.919439171587566,6477.356351379039,1.5555555555555545,1.5435808129840467,7.884796978281394,1.555554632577497,5910.3798828125,2,-1.4432981002303364,-2.8828886261368325,-1.7802378335394309,-1.055594651653763,-0.5395047654930352,-1.850715434692645,-3.866333358477249,-1.7616510945433248,-3.870214205887464,0.6642987027477716
