Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,15012.0,15188.0,14888.0,15092.0,13160.7197265625,1519968
2021-09-16,14986.0,15161.0,14388.0,14400.0,12557.2734375,8372727
2021-09-17,14600.0,14700.0,14103.0,14362.0,12524.1357421875,7204873
2021-09-20,14333.0,14298.0,13746.0,13895.0,12116.8974609375,3093805
2021-09-21,14144.0,14156.0,13886.0,14021.0,12226.7734375,1613535
2021-09-22,14200.0,14400.0,14200.0,14337.0,12502.3349609375,1131323
2021-09-23,14338.0,14564.0,14194.0,14483.0,12629.65234375,1802984
2021-09-27,14439.0,14509.0,13981.0,14128.0,12320.0810546875,2439709
2021-09-28,14180.0,14874.0,14180.0,14705.0,12823.2431640625,3664787
2021-09-29,14600.0,15100.0,14670.0,15043.0,13117.990234375,1390055
2021-09-30,15100.0,15396.0,14938.0,15267.0,13313.3251953125,3570984
2021-10-01,15001.0,16000.0,15076.0,15324.0,13363.0322265625,2421009
2021-10-04,15290.0,15424.0,14950.0,15129.0,13192.9853515625,2190455
2021-10-05,15125.0,15356.0,14947.0,15010.0,13089.2138671875,1767301
2021-10-06,15200.0,15250.0,14790.0,14938.0,13026.4267578125,1701131
2021-10-07,15075.0,15042.0,14630.0,14726.0,12841.556640625,2030505
2021-10-08,14860.0,14896.0,14340.0,14340.0,12504.9501953125,2795775
2021-10-11,14340.0,14497.0,14290.0,14300.0,12470.0703125,1055020
2021-10-12,14282.0,14590.0,14203.0,14494.0,12639.244140625,2030987
2021-10-13,14790.0,14678.0,14483.0,14510.0,12653.1962890625,1451144
2021-10-14,14799.0,14688.0,14304.0,14350.0,12513.671875,1530526
2021-10-15,14755.0,14686.0,14187.0,14269.0,12443.0361328125,1801673
2021-10-18,14300.0,14570.0,14305.0,14525.0,12666.2763671875,1118688
2021-10-19,14526.0,14567.0,14250.0,14321.0,12488.3828125,973078
2021-10-20,14317.0,14594.0,14181.0,14362.0,12524.1357421875,1806794
2021-10-21,14500.0,14489.0,14050.0,14130.0,12321.8251953125,1220153
2021-10-22,14150.0,14318.0,14071.0,14138.0,12328.80078125,1257866
2021-10-25,14380.0,14468.0,14172.0,14323.0,12490.126953125,1255650
2021-10-26,14451.0,14499.0,14251.0,14461.0,12610.4677734375,1550633
2021-10-27,14300.0,14417.0,14192.0,14258.0,12433.4453125,1564332
2021-10-28,14115.0,14300.0,13995.0,13995.0,12204.099609375,1839325
2021-10-29,13970.0,14046.0,13825.0,14000.0,12208.4599609375,3016732
2021-11-02,14119.0,14477.0,13954.0,14477.0,12624.419921875,3128011
2021-11-03,14040.0,14534.0,14122.0,14279.0,12451.7568359375,1592988
2021-11-04,14500.0,14707.0,14267.0,14385.0,12544.1923828125,1722437
2021-11-05,14050.0,14436.0,13981.0,14110.0,12304.3837890625,2259549
2021-11-08,14000.0,14285.0,13939.0,14099.0,12294.791015625,1277699
2021-11-09,13851.0,14332.0,13988.0,14053.0,12254.677734375,1556003
2021-11-10,13900.0,14209.0,13920.0,13967.0,12179.68359375,1081188
2021-11-11,13905.0,14050.0,13716.0,13845.0,12073.294921875,2411833
2021-11-12,13860.0,13911.0,13506.0,13550.0,11816.044921875,1374264
2021-11-15,13601.0,13976.0,13601.0,13866.0,12091.607421875,2032193
2021-11-16,14070.0,14043.0,13773.0,13783.0,12019.2294921875,1927947
2021-11-17,13700.0,14059.0,13739.0,13910.0,12129.9775390625,1677417
2021-11-18,14069.0,14070.0,13730.0,14034.0,12238.109375,2334499
2021-11-19,14070.0,14165.0,13370.0,13525.0,11794.2451171875,2103012
2021-11-22,13500.0,13836.0,13515.0,13672.0,11922.43359375,1816633
2021-11-23,13500.0,13832.0,13554.0,13771.0,12008.7646484375,1924119
2021-11-24,13800.0,13993.0,13239.0,13410.0,11693.9609375,1921660
2021-11-25,13280.0,13718.0,13280.0,13717.0,11961.67578125,2111628
2021-11-26,13250.0,13306.0,12300.0,12495.0,10896.0517578125,7581382
2021-11-29,12700.0,13321.0,12651.0,13192.0,11503.857421875,5468282
2021-11-30,12910.0,13411.0,12978.0,13400.0,11685.240234375,7839800
2021-12-01,13500.0,13928.0,13489.0,13847.0,12075.0390625,2615400
2021-12-02,13830.0,14100.0,13760.0,13955.0,12169.21875,2816638
2021-12-03,14233.0,14769.0,14229.0,14547.0,12685.462890625,4815314
2021-12-06,14581.0,15164.0,14350.0,14926.0,13015.962890625,5213616
2021-12-07,14961.0,15118.0,14663.0,15015.0,13093.5732421875,4142442
2021-12-08,15005.0,15238.0,14934.0,15153.0,13213.9140625,2521213
2021-12-09,15200.0,15301.0,15031.0,15147.0,13208.681640625,3220585
2021-12-10,14900.0,15244.0,14739.0,14876.0,12972.361328125,1904877
2021-12-13,14800.0,14989.0,14454.0,14548.0,12686.3349609375,2448646
2021-12-14,14548.0,14798.0,14476.0,14612.0,12742.14453125,2244760
2021-12-15,14351.0,14817.0,14460.0,14666.0,12789.234375,6442188
2021-12-17,14800.0,15114.0,14723.0,14887.0,12981.953125,3590063
2021-12-20,14680.0,14763.0,14194.0,14454.0,12604.36328125,1817824
2021-12-21,14500.0,14982.0,14500.0,14787.0,12894.7490234375,1605252
2021-12-22,14507.0,14893.0,14508.0,14813.0,12917.4228515625,609461
2021-12-23,15000.0,15001.0,14833.0,15001.0,13081.3642578125,596199
2021-12-24,15060.0,15049.0,14867.0,14931.0,13020.322265625,171754
2021-12-28,14951.0,15168.0,14883.0,15124.0,13188.625,653281
2021-12-29,15050.0,15244.0,15039.0,15192.0,13247.923828125,407212
2021-12-30,15305.0,15500.0,15178.0,15500.0,13516.509765625,813614
2021-12-31,15171.0,15491.0,15264.0,15255.0,13302.861328125,646694
2022-01-03,15400.0,15708.0,15364.0,15671.0,13665.626953125,742477
2022-01-04,15680.0,16009.0,15679.0,15957.0,13915.0283203125,914654
2022-01-05,15973.0,16202.0,15838.0,16096.0,14036.2412109375,1252885
2022-01-06,16000.0,16440.0,15840.0,16404.0,14304.8271484375,2557890
2022-01-07,16200.0,16545.5,16092.0,16500.0,14388.5419921875,1552399
2022-01-10,16280.0,16642.0,16418.0,16501.0,14389.4140625,1158654
2022-01-11,16305.0,16636.0,16248.5,16367.0,14272.5615234375,2820839
2022-01-12,16367.0,16429.0,16093.0,16261.0,14180.126953125,2261118
2022-01-13,16101.0,16639.0,16080.0,16467.0,14359.7646484375,1980612
2022-01-14,16600.0,16539.0,16231.0,16242.0,14163.55859375,1593180
2022-01-17,16242.0,16500.0,16231.0,16289.0,14204.54296875,1147404
2022-01-18,16050.0,16395.0,15797.0,16139.0,14073.73828125,1500768
2022-01-19,16145.0,16348.0,15975.0,16141.0,14075.482421875,1038494
2022-01-20,16200.0,16272.0,15889.0,16139.0,14073.73828125,1859196
2022-01-21,16500.0,16350.0,15971.0,16198.0,14125.1884765625,1606429
2022-01-24,16000.0,16354.0,15725.0,15820.0,13795.5595703125,2555388
2022-01-25,15608.0,16039.0,15638.0,15931.0,13892.35546875,2966615
2022-01-26,15650.0,16256.0,15834.0,16119.0,14056.296875,1296805
2022-01-27,15616.0,16584.0,15632.0,16529.0,14413.83203125,2343328
2022-01-28,16589.0,16860.0,16267.0,16835.0,14680.673828125,2088510
2022-01-31,16900.0,17285.0,16739.0,16988.0,14814.09375,2915894
2022-02-01,17200.0,17252.0,16807.0,16915.0,14750.435546875,1582720
2022-02-02,17100.0,17100.0,16687.0,16756.0,14611.7822265625,1567855
2022-02-03,16900.0,17015.0,16705.0,16957.0,14787.0615234375,1076242
2022-02-04,17100.0,17130.0,16800.0,16969.0,14797.5263671875,896092
2022-02-07,16801.0,17327.0,16855.0,17123.0,14931.8193359375,1143925
2022-02-08,16980.0,17599.0,16980.0,17450.0,15216.97265625,2707976
2022-02-09,16856.0,17565.0,17168.0,17295.0,15081.8076171875,2401976
2022-02-10,17550.0,17575.0,17277.0,17527.0,15284.119140625,1642752
2022-02-11,17350.0,17599.0,17315.0,17571.0,15322.490234375,1921272
2022-02-14,17250.0,17581.0,17075.0,17577.0,15327.720703125,2142526
2022-02-15,17900.0,18513.0,17920.0,18089.0,15774.203125,3033752
2022-02-16,18001.0,18350.0,17950.0,18105.0,15788.1552734375,2324852
2022-02-17,18031.0,18208.0,17423.0,17600.0,15347.779296875,3249354
2022-02-18,17681.0,17704.0,17205.0,17343.0,15123.666015625,2442052
2022-02-21,17300.0,17706.0,17379.0,17418.0,15189.0693359375,1347708
2022-02-22,17418.0,17576.0,16878.0,17376.0,15152.443359375,1995438
2022-02-23,17001.0,18128.0,17156.0,17653.0,15393.99609375,2121675
2022-02-24,17260.0,17350.0,16650.0,17241.0,15034.71875,3827557
2022-02-25,17126.0,17825.0,16976.0,17720.0,15452.421875,1840664
2022-02-28,17850.0,17803.0,17274.0,17664.0,15403.5888671875,6739887
2022-03-01,17477.0,18270.0,17637.0,17821.0,15540.498046875,2982312
2022-03-02,17481.0,17875.0,17297.0,17738.0,15468.1201171875,4514172
2022-03-03,17799.0,18400.0,17650.0,18400.0,16045.404296875,2797519
2022-03-04,18343.0,18599.0,17074.0,17074.0,14889.0888671875,4344086
2022-03-07,16900.0,16911.0,15642.0,16060.0,14004.8486328125,4544543
2022-03-08,15640.0,16222.0,15653.0,15958.0,13915.900390625,3523684
2022-03-09,15631.0,16425.0,15798.0,16360.0,14266.45703125,3735152
2022-03-10,16699.0,16847.0,16491.0,16650.0,14519.34765625,2154977
2022-03-11,16651.0,17518.0,16738.0,17311.0,15095.7607421875,2144869
2022-03-14,17455.0,17974.0,17378.0,17745.0,15474.2236328125,4206274
2022-03-15,17600.0,17634.0,17140.0,17477.0,15240.517578125,3055653
2022-03-16,17800.0,18796.0,17385.0,18780.0,16376.77734375,5999216
2022-03-17,18780.0,19258.0,18480.0,18593.0,16213.7080078125,7817955
2022-03-18,18888.0,18885.0,18220.0,18465.0,16102.087890625,6314432
2022-03-22,18650.0,19124.0,18618.0,18859.0,16445.66796875,2375519
2022-03-23,18850.0,19180.0,18693.0,18845.0,16433.458984375,2389601
2022-03-24,18700.0,19078.0,18672.0,18750.0,16350.6142578125,1550618
2022-03-25,18750.0,19061.0,18682.0,18802.0,16395.9609375,2082542
2022-03-28,18746.0,19382.0,18801.0,19200.0,16743.03125,1741681
2022-03-29,19091.0,19536.0,18979.0,19236.0,16774.423828125,2512028
2022-03-30,19480.0,19350.0,18817.0,18860.0,16446.541015625,2234041
2022-03-31,18932.0,19226.0,18802.0,19044.0,16606.994140625,2313378
2022-04-01,19050.0,19492.0,18994.0,19100.0,16655.826171875,2448713
2022-04-04,19101.0,19154.0,18745.0,18854.0,16441.306640625,2107860
2022-04-05,18800.0,18955.0,18055.0,18192.0,15864.0224609375,2803357
2022-04-06,18200.0,18638.0,18337.0,18607.0,16225.9150390625,2385249
2022-04-07,18610.0,18712.0,18202.0,18494.0,16127.3740234375,1907599
2022-04-08,18321.0,18671.0,18130.0,18238.0,15904.1337890625,2492795
2022-04-11,18100.0,18428.0,17974.0,18256.0,15919.8310546875,2016152
2022-04-12,18053.0,18204.0,17846.0,17902.0,15611.1318359375,1867047
2022-04-13,18075.0,18090.0,17550.0,17651.0,15392.2529296875,2265287
2022-04-14,17757.0,17874.0,17434.0,17758.0,15485.55859375,2215751
2022-04-19,17980.0,18448.0,17619.0,18310.0,15966.9228515625,3424111
2022-04-20,17401.0,18270.0,17555.0,17700.0,15846.0615234375,2938437
2022-04-21,16550.0,17220.0,16400.0,16845.0,15080.6171875,103046442
2022-04-22,16750.0,17003.0,16556.0,16605.0,14865.75390625,5481388
2022-04-25,16450.0,16812.0,16291.0,16560.0,14825.4677734375,20043873
2022-04-26,16850.0,17188.0,16497.0,16972.0,15194.3134765625,6559321
2022-04-28,17088.0,17219.0,16914.0,17155.0,15358.1455078125,4122560
2022-04-29,17295.0,17400.0,17184.0,17184.0,15384.109375,2790045
2022-05-03,17180.0,17290.0,16683.0,16860.0,15094.044921875,2598620
2022-05-04,16701.0,16988.0,16570.0,16664.0,14918.57421875,2607183
2022-05-05,16751.0,16855.0,16202.0,16283.0,14577.4814453125,3167537
